geom,path,alpha,level,h_wall,n_nodes,status,converged,res_final,m_max,cl_p,cd_p,sawtooth,wall_s,note
naca2.5d,conforming,0.0,xcoarse,0.04,1676,NOT_CONVERGED,False,1.5439318558389572e-11,0.62803,0.00236096,0.008153983134674043,0.1376059963706495,0.6,
naca2.5d,conforming,0.0,coarse,0.02,6106,OK,True,2.370558943709079e-11,0.6193,5.077e-05,0.0042694376245860635,0.08708528464587675,1.8,
naca2.5d,conforming,0.0,medium,0.01,21874,OK,True,1.951276132979547e-11,0.62003,0.00096392,0.0013456605617126374,0.055059879770109184,6.5,
naca2.5d,conforming,1.25,xcoarse,0.04,1676,OK,True,1.2083163626510374e-11,0.69087,0.16412326,0.008955794816207025,0.153464192990149,0.5,
naca2.5d,conforming,1.25,coarse,0.02,6106,OK,True,2.6934103352320752e-11,0.68001,0.1733993,0.004565914951539846,0.10202109715472055,1.9,
naca2.5d,conforming,1.25,medium,0.01,21874,OK,True,2.5614136578327367e-11,0.67597,0.17796675,0.0014291414974545434,0.0666010502112192,7.1,
m6wing,conforming,0.0,xcoarse_ss,0.06,2461,OK,True,1.1712090037194753e-11,0.66559,0.03313201,0.010562875065625902,0.15705415249285654,0.4,
m6wing,conforming,0.0,coarse_ss,0.03,11352,OK,True,5.2996889916921e-12,0.71821,0.00308825,0.00890693832311081,0.1518682938953143,1.1,
m6wing,conforming,0.0,medium,0.015,70663,OK,True,6.646674566897451e-12,0.90211,-0.00650934,0.003356768004412629,0.13436366415795506,8.4,
m6wing,conforming,1.0,xcoarse_ss,0.06,2461,OK,True,1.0618054707505452e-11,0.66498,0.09264534,0.011614017801205554,0.15603994384857528,0.3,
m6wing,conforming,1.0,coarse_ss,0.03,11352,OK,True,7.2244106855655355e-12,0.72629,0.06759436,0.009485170764046777,0.16869703559791488,1.0,
m6wing,conforming,1.0,medium,0.015,70663,OK,True,5.895538214789695e-12,0.9016,0.06148943,0.0037153766711684054,0.14823798267975546,8.5,
m6wing,conforming,2.0,xcoarse_ss,0.06,2461,OK,True,1.1574001362198035e-11,0.66413,0.15213559,0.013970041055033872,0.15545326206630278,0.3,
m6wing,conforming,2.0,coarse_ss,0.03,11352,OK,True,9.600192250316594e-12,0.73417,0.1320712,0.01107663928421282,0.18640951824641255,1.1,
m6wing,conforming,2.0,medium,0.015,70663,OK,True,5.526030716731297e-12,0.9007,0.12947163,0.004936648818053331,0.16504508895805078,8.2,
m6wing,conforming,3.06,xcoarse_ss,0.06,2461,OK,True,1.5109277796189505e-11,0.66933,0.21512225,0.017877928173817944,0.1560383683154546,0.3,
m6wing,conforming,3.06,coarse_ss,0.03,11352,OK,True,7.211260108822789e-11,0.78413,0.20036069,0.013857877508733043,0.2065181200048275,1.0,
m6wing,conforming,3.06,medium,0.015,70663,OK,True,7.736955333908872e-15,0.95571,0.20150553,0.007164989860302428,0.1866693213981266,9.1,
m6wing,level-set,0.0,xcoarse_ss,0.06,1314,OK,True,4.085620730620576e-14,0.59653,0.00084789,0.02180665136209032,0.11687738861520411,0.4,
m6wing,level-set,0.0,coarse_ss,0.03,7282,OK,True,5.46229728115577e-14,0.62786,-0.00040139,0.0135678703343954,0.14364171883479349,5.0,
m6wing,level-set,0.0,medium,0.015,59399,OK,True,9.514611321037592e-14,0.76065,-0.00040932,0.0051966327963827285,0.10606964126492441,329.7,
m6wing,level-set,1.0,xcoarse_ss,0.06,1314,OK,True,5.773159728050814e-14,0.60288,0.06367444,0.0225504725773224,0.1140215288382221,0.5,
m6wing,level-set,1.0,coarse_ss,0.03,7282,OK,True,7.510658761589184e-14,0.6479,0.06579737,0.014112342752271936,0.16648128795199518,5.2,
m6wing,level-set,1.0,medium,0.015,59399,OK,True,1.1080025785759062e-13,0.76028,0.06837705,0.0056439841560723784,0.12633596037423633,328.6,
m6wing,level-set,2.0,xcoarse_ss,0.06,1314,OK,True,6.217248937900877e-14,0.63097,0.12576888,0.02487086696691654,0.1121745009873245,0.5,
m6wing,level-set,2.0,coarse_ss,0.03,7282,OK,True,7.593925488436071e-14,0.70305,0.13190414,0.015722907451900452,0.19233581591516363,5.5,
m6wing,level-set,2.0,medium,0.015,59399,OK,True,1.1612932837579137e-13,0.83221,0.13714895,0.006991227951906978,0.14898438444195491,398.0,
m6wing,level-set,3.06,xcoarse_ss,0.06,1314,OK,True,7.860379014346108e-14,0.66322,0.19169056,0.028713216164559397,0.11223803670247375,0.5,
m6wing,level-set,3.06,coarse_ss,0.03,7282,OK,True,4.451994328746878e-14,0.77248,0.20154795,0.01848949234419831,0.2234390505407178,5.9,
m6wing,level-set,3.06,medium,0.015,59399,OK,True,9.314771176605063e-14,1.10075,0.20999213,0.009413288469940686,0.17584309759247105,483.0,
wingbody,conforming,0.0,xcoarse,0.044,8947,OK,True,9.990647544393061e-12,0.63234,0.00354223,0.011221499188520287,0.12661035423677386,1.0,
wingbody,conforming,0.0,coarse,0.03,21625,OK,True,6.1903053802252735e-12,0.63852,0.00094423,0.009061696966306978,0.11389782257741603,2.8,
wingbody,conforming,0.0,medium,0.015,135051,OK,True,3.3913295942630683e-12,0.72285,-0.00061157,0.0034679524519411107,0.08559417225167487,46.0,
wingbody,conforming,1.0,xcoarse,0.044,8947,OK,True,1.0058877092211897e-11,0.65783,0.06839166,0.011731823738983143,0.12131416521294962,1.0,
wingbody,conforming,1.0,coarse,0.03,21625,OK,True,6.175135359726018e-12,0.65467,0.06811989,0.009560450374287415,0.12634550858910804,2.8,
wingbody,conforming,1.0,medium,0.015,135051,OK,True,3.1763716845546654e-12,0.81094,0.06951883,0.0038115936677589218,0.10079453411242756,45.6,
