geom,path,alpha,band,d1_cp,d2_cp,R_field,R_first_order,R_falsify_ceiling,verdict,d1_cl,d2_cl,R_cl,note
naca2.5d,conforming,0.0,LE,0.07308731,0.0325844,0.44583,0.5,1.0,"converging, order at or above first",-0.00231019,0.00091315,-0.39527,
naca2.5d,conforming,0.0,MID,0.01706203,0.00504574,0.29573,0.5,1.0,"converging, order at or above first",-0.00231019,0.00091315,-0.39527,
naca2.5d,conforming,0.0,TE,0.01105581,0.0067612,0.61155,0.5,1.0,"converging, order far below first",-0.00231019,0.00091315,-0.39527,
naca2.5d,conforming,1.25,LE,0.07667171,0.0365478,0.47668,0.5,1.0,first-order signature,0.00927604,0.00456745,0.49239,
naca2.5d,conforming,1.25,MID,0.01777497,0.00578308,0.32535,0.5,1.0,"converging, order at or above first",0.00927604,0.00456745,0.49239,
naca2.5d,conforming,1.25,TE,0.01119094,0.00682055,0.60947,0.5,1.0,"converging, order far below first",0.00927604,0.00456745,0.49239,
m6wing,conforming,0.0,LE,0.19803301,0.16416423,0.82897,0.5,1.0,"converging, order far below first",-0.03004376,-0.00959759,0.31945,
m6wing,conforming,0.0,MID,0.07853849,0.03001306,0.38214,0.5,1.0,"converging, order at or above first",-0.03004376,-0.00959759,0.31945,
m6wing,conforming,0.0,TE,0.20415898,0.11468422,0.56174,0.5,1.0,"converging, order far below first",-0.03004376,-0.00959759,0.31945,
m6wing,conforming,1.0,LE,0.20036838,0.16518311,0.8244,0.5,1.0,"converging, order far below first",-0.02505098,-0.00610493,0.2437,
m6wing,conforming,1.0,MID,0.07612413,0.02932525,0.38523,0.5,1.0,"converging, order at or above first",-0.02505098,-0.00610493,0.2437,
m6wing,conforming,1.0,TE,0.20237757,0.11672901,0.57679,0.5,1.0,"converging, order far below first",-0.02505098,-0.00610493,0.2437,
m6wing,conforming,2.0,LE,0.20941927,0.17557176,0.83837,0.5,1.0,"converging, order far below first",-0.02006439,-0.00259957,0.12956,
m6wing,conforming,2.0,MID,0.07486395,0.02909279,0.38861,0.5,1.0,"converging, order at or above first",-0.02006439,-0.00259957,0.12956,
m6wing,conforming,2.0,TE,0.20062087,0.11900411,0.59318,0.5,1.0,"converging, order far below first",-0.02006439,-0.00259957,0.12956,
m6wing,conforming,3.06,LE,0.22641216,0.19618924,0.86651,0.5,1.0,"converging, order far below first",-0.01476156,0.00114484,-0.07756,
m6wing,conforming,3.06,MID,0.07485485,0.02933296,0.39186,0.5,1.0,"converging, order at or above first",-0.01476156,0.00114484,-0.07756,
m6wing,conforming,3.06,TE,0.19880204,0.12164804,0.61191,0.5,1.0,"converging, order far below first",-0.01476156,0.00114484,-0.07756,
m6wing,level-set,0.0,LE,0.19575459,0.16148021,0.82491,0.5,1.0,"converging, order far below first",-0.00124928,-7.93e-06,0.00635,
m6wing,level-set,0.0,MID,0.08920577,0.03053721,0.34232,0.5,1.0,"converging, order at or above first",-0.00124928,-7.93e-06,0.00635,
m6wing,level-set,0.0,TE,0.1546722,0.10247382,0.66252,0.5,1.0,"converging, order far below first",-0.00124928,-7.93e-06,0.00635,
m6wing,level-set,1.0,LE,0.1959326,0.1707351,0.8714,0.5,1.0,"converging, order far below first",0.00212293,0.00257968,1.21515,
m6wing,level-set,1.0,MID,0.09147627,0.03061913,0.33472,0.5,1.0,"converging, order at or above first",0.00212293,0.00257968,1.21515,
m6wing,level-set,1.0,TE,0.15547733,0.10210013,0.65669,0.5,1.0,"converging, order far below first",0.00212293,0.00257968,1.21515,
m6wing,level-set,2.0,LE,0.20267994,0.18822119,0.92866,0.5,1.0,"converging, order far below first",0.00613526,0.00524481,0.85486,
m6wing,level-set,2.0,MID,0.09694596,0.03069103,0.31658,0.5,1.0,"converging, order at or above first",0.00613526,0.00524481,0.85486,
m6wing,level-set,2.0,TE,0.1581045,0.10126317,0.64048,0.5,1.0,"converging, order far below first",0.00613526,0.00524481,0.85486,
m6wing,level-set,3.06,LE,0.21775764,0.21509774,0.98779,0.5,1.0,"converging, order far below first",0.00985739,0.00844418,0.85663,
m6wing,level-set,3.06,MID,0.101359,0.0309264,0.30512,0.5,1.0,"converging, order at or above first",0.00985739,0.00844418,0.85663,
m6wing,level-set,3.06,TE,0.16210274,0.09601636,0.59232,0.5,1.0,"converging, order far below first",0.00985739,0.00844418,0.85663,
wingbody,conforming,0.0,LE,0.12108714,0.15132741,1.24974,1.0714,1.8098,"converging, order far below first",-0.002598,-0.0015558,0.59885,
wingbody,conforming,0.0,MID,0.03413013,0.02576989,0.75505,1.0714,1.8098,"converging, order at or above first",-0.002598,-0.0015558,0.59885,
wingbody,conforming,0.0,TE,0.03100553,0.02428451,0.78323,1.0714,1.8098,"converging, order at or above first",-0.002598,-0.0015558,0.59885,
wingbody,conforming,1.0,LE,0.12471705,0.15002087,1.20289,1.0714,1.8098,"converging, order far below first",-0.00027177,0.00139894,-5.14751,
wingbody,conforming,1.0,MID,0.03334436,0.02609338,0.78254,1.0714,1.8098,"converging, order at or above first",-0.00027177,0.00139894,-5.14751,
wingbody,conforming,1.0,TE,0.03068259,0.02437081,0.79429,1.0714,1.8098,"converging, order at or above first",-0.00027177,0.00139894,-5.14751,
wingbody,conforming,2.0,LE,0.13304356,0.15970075,1.20036,1.0714,1.8098,"converging, order far below first",0.00203905,0.0043737,2.14497,
wingbody,conforming,2.0,MID,0.03328006,0.02678508,0.80484,1.0714,1.8098,"converging, order at or above first",0.00203905,0.0043737,2.14497,
wingbody,conforming,2.0,TE,0.03042006,0.02444397,0.80355,1.0714,1.8098,"converging, order at or above first",0.00203905,0.0043737,2.14497,
wingbody,conforming,3.06,LE,0.14732303,0.18138668,1.23122,1.0714,1.8098,"converging, order far below first",0.00448944,0.00757515,1.68733,
wingbody,conforming,3.06,MID,0.03395163,0.0278761,0.82105,1.0714,1.8098,"converging, order at or above first",0.00448944,0.00757515,1.68733,
wingbody,conforming,3.06,TE,0.03021039,0.02450651,0.81119,1.0714,1.8098,"converging, order at or above first",0.00448944,0.00757515,1.68733,
wingbody,level-set,0.0,LE,0.14001329,0.13072026,0.93363,1.0714,1.8098,"converging, order at or above first",-0.00064929,0.00054242,-0.8354,
wingbody,level-set,0.0,MID,0.02929846,0.02435637,0.83132,1.0714,1.8098,"converging, order at or above first",-0.00064929,0.00054242,-0.8354,
wingbody,level-set,0.0,TE,0.05951537,0.08185022,1.37528,1.0714,1.8098,"converging, order far below first",-0.00064929,0.00054242,-0.8354,
wingbody,level-set,1.0,LE,0.13986421,0.13795184,0.98633,1.0714,1.8098,"converging, order at or above first",0.00190095,0.0033284,1.75091,
wingbody,level-set,1.0,MID,0.02926956,0.02475481,0.84575,1.0714,1.8098,"converging, order at or above first",0.00190095,0.0033284,1.75091,
wingbody,level-set,1.0,TE,0.05870568,0.08193709,1.39573,1.0714,1.8098,"converging, order far below first",0.00190095,0.0033284,1.75091,
wingbody,level-set,2.0,LE,0.14289897,0.15308769,1.0713,1.0714,1.8098,first-order signature,0.00453372,0.00612668,1.35136,
wingbody,level-set,2.0,MID,0.02989651,0.02566544,0.85848,1.0714,1.8098,"converging, order at or above first",0.00453372,0.00612668,1.35136,
wingbody,level-set,2.0,TE,0.05788579,0.08202686,1.41705,1.0714,1.8098,"converging, order far below first",0.00453372,0.00612668,1.35136,
wingbody,level-set,3.06,LE,0.14971317,0.17720705,1.18364,1.0714,1.8098,"converging, order far below first",0.0073638,0.00912365,1.23899,
wingbody,level-set,3.06,MID,0.03125499,0.02713486,0.86818,1.0714,1.8098,"converging, order at or above first",0.0073638,0.00912365,1.23899,
wingbody,level-set,3.06,TE,0.0570264,0.08213916,1.44037,1.0714,1.8098,"converging, order far below first",0.0073638,0.00912365,1.23899,
naca2.5d,conforming,0.0,LE,0.07308731,0.0325844,0.44583,0.5,1.0,"converging, order at or above first",-0.00231019,0.00091315,-0.39527,
naca2.5d,conforming,0.0,MID,0.01706203,0.00504574,0.29573,0.5,1.0,"converging, order at or above first",-0.00231019,0.00091315,-0.39527,
naca2.5d,conforming,0.0,TE,0.01105581,0.0067612,0.61155,0.5,1.0,"converging, order far below first",-0.00231019,0.00091315,-0.39527,
naca2.5d,conforming,1.25,LE,0.07667171,0.0365478,0.47668,0.5,1.0,first-order signature,0.00927604,0.00456745,0.49239,
naca2.5d,conforming,1.25,MID,0.01777497,0.00578308,0.32535,0.5,1.0,"converging, order at or above first",0.00927604,0.00456745,0.49239,
naca2.5d,conforming,1.25,TE,0.01119094,0.00682055,0.60947,0.5,1.0,"converging, order far below first",0.00927604,0.00456745,0.49239,
