station,side,x_over_c,cp
0.20,upper,0.0,0.551115371101938
0.20,upper,0.0010777362433470432,0.5126419719436216
0.20,upper,0.003611670485084745,-0.25108285514435946
0.20,upper,0.0062361218698929605,-0.12392624558567114
0.20,upper,0.009477710652191716,-0.996650757142718
0.20,upper,0.012087241160251302,-1.057242776713675
0.20,upper,0.015437523108291726,-1.137955730516957
0.20,upper,0.01938131842347633,-1.1474675927532347
0.20,upper,0.020614970615004953,-1.240082499245532
0.20,upper,0.021184957783568218,-0.7067145570813904
0.20,upper,0.02673936012997244,-0.5976291116820879
0.20,upper,0.034006962923839076,-0.7735095497000986
0.20,upper,0.04180272098035918,-0.7684266319285296
0.20,upper,0.055661555359848486,-0.680976909071012
0.20,upper,0.06422685294542908,-0.7224596752875939
0.20,upper,0.0649954101504212,-0.5870420372213996
0.20,upper,0.07380728308860822,-0.56533435562896
0.20,upper,0.08790364711116568,-0.4956859627008732
0.20,upper,0.09670360031115859,-0.5010194610384545
0.20,upper,0.10431590067614728,-0.5106478384927108
0.20,upper,0.11316489445389318,-0.49382605349097014
0.20,upper,0.120327233681782,-0.45855116151475755
0.20,upper,0.1291968328803756,-0.4542101314430327
0.20,upper,0.14388689413176525,-0.4588738543115534
0.20,upper,0.15276733099685919,-0.4633710529916476
0.20,upper,0.15328438602038993,-0.4494410907617999
0.20,upper,0.1621661474413319,-0.44312987187831515
0.20,upper,0.17632302729978366,-0.4173808021516871
0.20,upper,0.18521229143356235,-0.4249828120888715
0.20,upper,0.19358388715402708,-0.41550474497521955
0.20,upper,0.2024771304357855,-0.4169818679995374
0.20,upper,0.20878547640725534,-0.4186133943347311
0.20,upper,0.2176789710172651,-0.4218117132859265
0.20,upper,0.23236445468257436,-0.4068765236922432
0.20,upper,0.24126656422424217,-0.4077797192250403
0.20,upper,0.242851785526915,-0.40126535479907305
0.20,upper,0.2517531372228414,-0.3956205306569651
0.20,upper,0.26484542360186686,-0.40434788952528433
0.20,upper,0.27374570054183334,-0.40198957636966504
