cell,path,geom,level,n_nodes,n_tets,m_inf,alpha,status,converged,n_limited,n_floored,res_final,n_newton,m_max,cl_p,cl_kj,wall_s,note
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.5,1.25,CLEAN,True,0,0,2.6934103352320752e-11,3,0.68001,0.1733993,nan,1.9,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.6,1.25,CLEAN,True,0,0,3.1612095347209023e-13,4,0.84424,0.19231773,nan,2.3,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.65,1.25,CLEAN,True,0,0,3.1401633850955144e-13,4,0.94537,0.20714822,nan,2.4,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.7,1.25,CLEAN,True,0,0,3.646630926193201e-11,5,1.07167,0.22947733,nan,3.3,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.75,1.25,CLEAN,True,0,0,2.57396826783287e-13,10,1.23664,0.27403717,nan,9.3,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.78,1.25,CLEAN,True,0,0,7.709684075041643e-13,13,1.33556,0.3318383,nan,13.2,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.8,1.25,NOT_CONVERGED,False,0,0,9.403371949823555e-08,60,1.39498,0.41126375,nan,157.8,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.5,3.06,CLEAN,True,0,0,6.049322830112234e-11,3,0.82909,0.20647389,0.24708704,2.7,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.6,3.06,CLEAN,True,0,0,1.1553080690822286e-13,6,1.03514,0.21552908,0.25735356,6.5,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.65,3.06,CLEAN,True,0,0,1.4325594897530938e-11,3,1.13805,0.22102737,0.26391548,6.9,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.7,3.06,CLEAN,True,0,0,2.768547781028518e-11,6,1.25316,0.22742189,0.27193992,8.3,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.75,3.06,CLEAN,True,0,0,1.6379855271696858e-11,4,1.37893,0.23549796,0.28214461,9.3,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.78,3.06,CLEAN_OVER_MMAX,True,0,0,2.986251378770516e-13,12,1.4649,0.24152291,0.2897998,11.7,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.5,3.06,CLEAN,True,0,0,3.561485696119303e-11,3,0.81938,0.19894058,0.20234899,1.2,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.6,3.06,CLEAN,True,0,0,1.3891344686531081e-12,4,1.0066,0.20784399,0.21102042,1.2,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.65,3.06,CLEAN,True,0,0,2.868570871324509e-13,5,1.09121,0.21360133,0.21678,1.3,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.7,3.06,CLEAN,True,0,0,1.370145065407408e-13,5,1.17513,0.22034993,0.22388725,1.4,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.75,3.06,CLEAN,True,0,0,4.771763264381287e-13,11,1.25743,0.22889897,0.23297958,2.3,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.78,3.06,CLEAN,True,0,0,8.676185554392573e-11,13,1.30612,0.23528918,0.23982769,3.1,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.8,3.06,CLEAN,True,0,0,2.3434196937003746e-12,13,1.33844,0.2405487,0.24547179,3.2,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.82,3.06,CLEAN,True,0,0,4.502953784201082e-12,13,1.37072,0.24710284,0.25250721,3.7,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.84,3.06,CLEAN,True,0,0,6.9348711696548136e-12,13,1.39756,0.25575642,0.26179515,3.7,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.5,1.25,CLEAN,True,0,0,3.285549610154703e-11,7,0.67646,0.17252005,nan,2.5,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.6,1.25,CLEAN,True,0,0,2.773958840407431e-11,14,0.84542,0.19195653,nan,4.9,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.65,1.25,CLEAN,True,0,0,6.082245818106458e-11,14,0.9489,0.20731102,nan,6.3,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.7,1.25,CLEAN,True,0,0,5.633182809106074e-11,15,1.07358,0.23068347,nan,7.8,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.75,1.25,CLEAN,True,0,0,5.3887561080046e-11,27,1.22727,0.28060805,nan,10.4,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.78,1.25,CLEAN,True,0,0,6.440359356929548e-11,52,1.33045,0.37126797,nan,16.0,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.8,1.25,CLEAN_OVER_MMAX,True,0,0,8.850520316627808e-11,54,1.4077,0.52470252,nan,17.2,
