geom,path,m_inf,h_xcoarse,h_coarse,h_medium,cl_xcoarse,cl_coarse,cl_medium,delta1,delta2,order_p,monotone,note
naca2.5d,conforming,0.5,0.04,0.02,0.01,0.16412326,0.1733993,0.17796675,0.00927604,0.00456745,1.0221,True,
naca2.5d,conforming,0.6,0.04,0.02,0.01,0.18137418,0.19231773,0.19778756,0.01094355,0.00546983,1.0005,True,
naca2.5d,conforming,0.65,0.04,0.02,0.01,0.19458859,0.20714822,0.21355254,0.01255963,0.00640432,0.9717,True,
naca2.5d,conforming,0.7,0.04,0.02,0.01,0.21278828,0.22947733,0.23796916,0.01668905,0.00849183,0.9748,True,
naca2.5d,conforming,0.75,0.04,0.02,0.01,0.24174205,0.27403717,0.27558582,0.03229512,0.00154865,4.3822,True,
naca2.5d,level-set,0.5,0.04,0.02,0.01,0.1632002,0.17252005,0.17663473,0.00931985,0.00411468,1.1795,True,
naca2.5d,level-set,0.6,0.04,0.02,0.01,0.17935394,0.19195653,0.19643856,0.01260259,0.00448203,1.4915,True,
naca2.5d,level-set,0.65,0.04,0.02,0.01,0.19151192,0.20731102,0.21221275,0.0157991,0.00490173,1.6885,True,
naca2.5d,level-set,0.7,0.04,0.02,0.01,0.20885729,0.23068347,0.23670404,0.02182618,0.00602057,1.8581,True,
naca2.5d,level-set,0.75,0.04,0.02,0.01,0.24050745,0.28060805,0.29739024,0.0401006,0.01678219,1.2567,True,
m6wing,conforming,0.5,0.06,0.03,0.015,0.21512225,0.20036069,0.20150553,-0.01476156,0.00114484,,True,non-monotone: coarsest level outside the asymptotic range
m6wing,conforming,0.6,0.06,0.03,0.015,0.22185898,0.20865771,0.21048891,-0.01320127,0.0018312,,True,non-monotone: coarsest level outside the asymptotic range
m6wing,conforming,0.65,0.06,0.03,0.015,0.22639313,0.213939,0.21628836,-0.01245413,0.00234936,,True,non-monotone: coarsest level outside the asymptotic range
m6wing,level-set,0.5,0.06,0.03,0.015,0.19169056,0.20154795,0.20999213,0.00985739,0.00844418,0.2232,True,
m6wing,level-set,0.6,0.06,0.03,0.015,0.20098998,0.21047993,0.21936636,0.00948995,0.00888643,0.0948,True,
m6wing,level-set,0.65,0.06,0.03,0.015,0.20724107,0.21626191,0.22543313,0.00902084,0.00917122,,False,non-monotone: coarsest level outside the asymptotic range
wingbody,conforming,0.5,0.044,0.03,0.015,0.20198445,0.20647389,0.21404904,0.00448944,0.00757515,0.1307,False,
wingbody,conforming,0.6,0.044,0.03,0.015,0.2105649,0.21552908,0.22326543,0.00496418,0.00773635,0.28,False,
wingbody,conforming,0.65,0.044,0.03,0.015,0.21601416,0.22102737,0.22897814,0.00501321,0.00795077,0.247,False,
wingbody,conforming,0.7,0.044,0.03,0.015,0.22213924,0.22742189,0.23599712,0.00528265,0.00857523,0.2032,False,
wingbody,level-set,0.5,0.044,0.03,0.015,0.1984433,0.2058071,0.21493075,0.0073638,0.00912365,0.7175,False,
