at_target,cl_p,committed_cl,entropy,gamma,group,level,m1_detected,m_inf,m_max,n_halvings,n_newton,n_shock_cells,n_solves,note,off_vs_committed_rel,reached,res_final,sigma_min,usable,wall_s,x_shock
True,0.242797,0.242797,False,0.12183263,m1a,coarse,,0.72,1.13586,0,6,,3,,-1e-06,0.72,6.852545389775154e-11,,True,2.4,0.28742349362224123
True,0.242997,0.242797,True,0.12193115,m1a,coarse,1.1301273646805576,0.72,1.13559,0,10,47,3,,,0.72,2.8461310516113275e-13,0.9977620126286114,True,2.4,0.28706288360668364
True,0.253351,0.253351,False,0.12678563,m1a,medium,,0.72,1.15396,0,11,,3,,0.0,0.72,2.7226536896484543e-13,,True,11.0,0.29149744097039826
True,0.253237,0.253351,True,0.12672897,m1a,medium,1.132508497683842,0.72,1.15372,0,12,85,3,,,0.72,3.3444823107400133e-12,0.9976468264755811,True,10.9,0.2856812119571189
True,0.255662,0.255662,False,0.12788993,m1a,fine,,0.72,1.16583,0,18,,3,,-0.0,0.72,2.56852111900841e-13,,True,46.9,0.28752672008733443
True,0.254939,0.255662,True,0.12753669,m1a,fine,1.1369608760595573,0.72,1.16509,0,16,192,3,,,0.72,1.7209162621539802e-12,0.9974218914724907,True,53.8,0.2836255942049491
True,0.458974,0.458974,False,0.23382646,m1,coarse,,0.8,1.40765,1,20,,7,,1e-06,0.8,1.1836146759690122e-11,,True,6.0,0.6580805923954532
True,0.411992,0.458974,True,0.21011405,m1,coarse,1.3053535571889692,0.8,1.39494,0,22,84,5,,,0.8,2.1486080875414695e-12,0.9784348318122231,True,4.0,0.6200283455531477
False,0.792893,,False,0.40253149,m1,medium,,0.8,1.47249,5,54,,19,,,0.79625,4.518736827012912e-11,,True,148.4,0.8231884827105742
True,0.531151,,True,0.26986259,m1,medium,1.352380989958374,0.8,1.42872,3,26,165,12,,,0.8,3.6147673731111553e-12,0.9692300829604821,True,68.6,0.7097562393422452
