amg_setup_s,cg_iters,cg_s,complexity,config,dim,dofs,info,level,levels,note,rel_res,total_s
0.0257,14,0.0153,1.214,2-D reference (default),2D,10356,0,naca0012_2.5d/medium,4,,3.3628133460300336e-09,0.041
0.0238,278,0.6216,1.072,default,2.5D,20712,0,naca0012_2.5d/medium,4,,9.916604314595966e-09,0.6454
0.0232,278,0.635,1.072,theta0.0,2.5D,20712,0,naca0012_2.5d/medium,4,,9.916604314595966e-09,0.6581
0.0509,34,0.2415,2.214,theta0.25,2.5D,20712,0,naca0012_2.5d/medium,4,,9.321957334509431e-09,0.2923
0.0417,40,0.2317,1.958,theta0.5,2.5D,20712,0,naca0012_2.5d/medium,3,,9.808850591586006e-09,0.2734
0.1745,6,0.0364,2.304,evolution,2.5D,20712,0,naca0012_2.5d/medium,5,,4.216134954198544e-09,0.2109
0.1963,7,0.0578,2.72,affinity,2.5D,20712,0,naca0012_2.5d/medium,6,,7.558147655211262e-09,0.2542
0.0534,275,0.6499,1.072,energy,2.5D,20712,0,naca0012_2.5d/medium,4,,9.902382556631719e-09,0.7033
0.0567,40,0.1234,1.238,energy+theta0.25,2.5D,20712,0,naca0012_2.5d/medium,5,,9.582544679892828e-09,0.1801
0.0261,200,0.677,1.072,gs2sweep,2.5D,20712,0,naca0012_2.5d/medium,4,,9.7096103472584e-09,0.7031
0.0236,278,0.6358,1.072,blockgs,2.5D,20712,0,naca0012_2.5d/medium,4,,9.916604314595966e-09,0.6594
0.0402,274,0.788,1.229,lloyd,2.5D,20712,0,naca0012_2.5d/medium,5,,9.77514284591478e-09,0.8282
0.1341,8,0.0264,1.3,evolution+energy,2.5D,20712,0,naca0012_2.5d/medium,5,,5.271071072733018e-09,0.1606
0.0058,12,0.006,1.187,2-D reference (default),2D,2759,0,naca0012_2.5d/coarse,4,,2.3917468309121154e-09,0.0118
0.0099,200,0.1508,1.063,default,2.5D,5518,0,naca0012_2.5d/coarse,4,,9.494717499709146e-09,0.1607
0.0105,200,0.1525,1.063,theta0.0,2.5D,5518,0,naca0012_2.5d/coarse,4,,9.494717499709146e-09,0.163
0.017,31,0.057,2.273,theta0.25,2.5D,5518,0,naca0012_2.5d/coarse,4,,8.778962937619764e-09,0.074
0.0126,42,0.0684,1.967,theta0.5,2.5D,5518,0,naca0012_2.5d/coarse,3,,9.927380946560613e-09,0.081
0.0543,6,0.0125,2.357,evolution,2.5D,5518,0,naca0012_2.5d/coarse,5,,5.62648110142406e-09,0.0667
0.0548,7,0.0198,2.849,affinity,2.5D,5518,0,naca0012_2.5d/coarse,6,,1.4616379967038055e-09,0.0746
0.0161,198,0.1469,1.063,energy,2.5D,5518,0,naca0012_2.5d/coarse,4,,9.785021252065753e-09,0.163
0.019,38,0.0367,1.251,energy+theta0.25,2.5D,5518,0,naca0012_2.5d/coarse,5,,9.12786771314524e-09,0.0557
0.018,142,0.1676,1.063,gs2sweep,2.5D,5518,0,naca0012_2.5d/coarse,4,,9.65649060704995e-09,0.1856
0.0097,200,0.1568,1.063,blockgs,2.5D,5518,0,naca0012_2.5d/coarse,4,,9.494717499709146e-09,0.1665
0.0153,218,0.214,1.234,lloyd,2.5D,5518,0,naca0012_2.5d/coarse,4,,9.594674472689417e-09,0.2292
0.0465,8,0.0103,1.297,evolution+energy,2.5D,5518,0,naca0012_2.5d/coarse,5,,3.1885257174713973e-09,0.0567
0.0275,12,0.0214,1.15,default,3D,10824,0,onera_m6/coarse,3,,5.11831066975517e-09,0.0489
0.0232,12,0.0217,1.15,theta0.0,3D,10824,0,onera_m6/coarse,3,,5.11831066975517e-09,0.0449
0.0269,29,0.081,1.506,theta0.25,3D,10824,0,onera_m6/coarse,3,,7.297044808252258e-09,0.1079
0.0155,41,0.0575,1.0,theta0.5,3D,10824,0,onera_m6/coarse,2,,7.254726901476416e-09,0.0731
0.0817,9,0.0224,1.309,evolution,3D,10824,0,onera_m6/coarse,4,,2.800773060902282e-09,0.1041
0.1111,9,0.0349,2.011,affinity,3D,10824,0,onera_m6/coarse,5,,1.955346073459626e-09,0.1461
0.0502,10,0.0184,1.15,energy,3D,10824,0,onera_m6/coarse,3,,3.894523108299149e-09,0.0686
