state,arm,mean_patch_nodes,n_cross,n_comp,max_comp,n_ge50,C,pca_l2l1,pca_l3l1
rc0.05,P0,4.0,18746,6273,47,0,0.1914,0.222,0.065
rc0.05,P1,7.7,13295,3050,118,8,0.4281,0.119,0.033
rc0.05,P2,14.3,11681,3468,44,0,0.2843,0.358,0.08
rc0.05,P3,24.6,9858,3617,59,1,0.2135,0.1,0.022
rc0.05,N1,32.4,9755,4641,34,0,0.0911,0.275,0.052
rc0.05,S1,,10360,4334,27,0,0.1516,0.176,0.035
rc0.025,P0,4.0,19433,6422,43,0,0.2027,0.392,0.103
rc0.025,P1,7.7,13853,3203,120,11,0.4131,0.12,0.033
rc0.025,P2,14.3,11880,3434,46,0,0.3027,0.105,0.05
rc0.025,P3,24.6,9924,3678,40,0,0.201,0.156,0.041
rc0.025,N1,32.4,9808,4644,25,0,0.0794,0.273,0.042
rc0.025,S1,,10753,4415,31,0,0.1447,0.158,0.043
rc0.045,P0,4.0,18911,6286,44,0,0.1932,0.358,0.094
rc0.045,P1,7.7,13449,3066,120,11,0.4307,0.121,0.033
rc0.045,P2,14.3,11757,3470,48,0,0.298,0.315,0.117
rc0.045,P3,24.6,9841,3627,52,1,0.2054,0.075,0.022
rc0.045,N1,32.4,9779,4645,27,0,0.0924,0.168,0.056
rc0.045,S1,,10428,4342,27,0,0.1497,0.176,0.035
