level,role,n_tets,h_median,arm,patch_radius,radius_over_h,n_cross,n_comp,max_comp,n_ge50,C
xcoarse,binding,33459,0.069918,P0,0.042097,0.602,2106,760,37,0,0.1676
xcoarse,binding,33459,0.069918,P1,0.050527,0.723,1588,324,66,1,0.4666
xcoarse,binding,33459,0.069918,P2,0.064064,0.916,1284,348,48,0,0.3801
xcoarse,binding,33459,0.069918,P3,0.075853,1.085,1010,340,26,0,0.2495
xcoarse,binding,33459,0.069918,N1,0.082969,1.187,930,463,18,0,0.0591
xcoarse,binding,33459,0.069918,S1,nan,nan,1225,485,28,0,0.1804
coarse,binding,90099,0.045961,P0,0.027226,0.592,5190,1663,63,2,0.2212
coarse,binding,90099,0.045961,P1,0.033211,0.723,3849,749,223,6,0.4786
coarse,binding,90099,0.045961,P2,0.044077,0.959,3275,812,43,0,0.396
coarse,binding,90099,0.045961,P3,0.052803,1.149,2504,792,32,0,0.2911
coarse,binding,90099,0.045961,N1,0.057281,1.246,2442,1063,21,0,0.1327
coarse,binding,90099,0.045961,S1,nan,nan,2905,1123,38,0,0.18
medium,anchor,679391,0.023551,P0,0.013762,0.584,18746,6273,47,0,0.1914
medium,anchor,679391,0.023551,P1,0.017048,0.724,13295,3050,118,8,0.4281
medium,anchor,679391,0.023551,P2,0.022751,0.966,11681,3468,44,0,0.2843
medium,anchor,679391,0.023551,P3,0.027115,1.151,9858,3617,59,1,0.2135
medium,anchor,679391,0.023551,N1,0.029496,1.252,9755,4641,34,0,0.0911
medium,anchor,679391,0.023551,S1,nan,nan,10360,4334,27,0,0.1516
