C_P0,C_P1,C_P2,C_P3,R21,face_nb_mean,geom,kstar,label,m_inf,n_cross,status,sup_frac
0.1284,0.2639,0.3378,0.2415,1.2799,,wing,P2,W M0.76,0.76,849,OK,0.01077
0.0574,0.1435,0.1336,0.0299,0.9308,,wingbody,P1,WB M0.78,0.78,1062,OK,0.01202
0.0721,0.3051,0.2165,0.1417,0.7096,,wing,P1,W M0.78,0.78,1374,OK,0.02308
0.1136,0.2809,0.2914,0.1541,1.0372,,wingbody,P2,WB M0.82,0.82,2455,OK,0.04755
0.1061,0.257,0.2682,0.1361,1.0433,,wing,P2,W M0.8,0.8,1979,OK,0.0529
0.1024,0.3015,0.224,0.1691,0.7431,,wing,P1,W M0.82,0.82,2559,OK,0.0873
0.2432,0.4572,0.3013,0.2224,0.659,,wingbody,P1,WB M0.86,0.86,4079,OK,0.10905
0.2079,0.4185,0.3089,0.2472,0.7382,,wingbody,P1,WB a1.53,0.88,4405,OK,0.13811
0.2212,0.4786,0.396,0.2911,0.8275,,wingbody,P1,WB M0.88,0.88,5190,OK,0.15395
0.2201,0.5036,0.3487,0.2569,0.6924,,wing,P1,W M0.86,0.86,4034,OK,0.16711
0.2064,0.4819,0.3689,0.2448,0.7654,,wing,P1,W M0.88,0.88,5053,OK,0.2333
0.0,0.0,0.0,0.0,0.0,3.255,naca2.5d,None,NACA coarse,0.8,100,RECORDED,0.09313
,,,,,,naca2.5d,,NACA medium,,,NOT_CONVERGED,
