geom,path,alpha,band,d1,d2,R,R_first_order,R_falsify_ceiling,verdict,note
naca2.5d,conforming,0.0,LE,-0.0003460842,0.0002283743,-0.65988,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
naca2.5d,conforming,0.0,MID,-0.0019905458,0.0005739993,-0.28836,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
naca2.5d,conforming,0.0,TE,2.64339e-05,0.0001107789,4.19078,0.5,1.0,FALSIFIED: R >= this ladder's p->0 ceiling,
naca2.5d,conforming,0.0,TOTAL,-0.0023101961,0.0009131524,-0.39527,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
naca2.5d,conforming,3.06,LE,0.0149938472,0.0083206434,0.55494,0.5,1.0,"converging, order far below first",
naca2.5d,conforming,3.06,MID,0.0106867937,0.0009611837,0.08994,0.5,1.0,"converging, order at or above first",
naca2.5d,conforming,3.06,TE,0.0007050608,0.0006417477,0.9102,0.5,1.0,"converging, order far below first",
naca2.5d,conforming,3.06,TOTAL,0.0263857017,0.0099235748,0.3761,0.5,1.0,"converging, order at or above first",
naca2.5d,level-set,0.0,LE,-0.0003166302,0.0003645982,-1.1515,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
naca2.5d,level-set,0.0,MID,0.000109025,0.0002812312,2.57951,0.5,1.0,FALSIFIED: R >= this ladder's p->0 ceiling,
naca2.5d,level-set,0.0,TE,-0.0003914436,4.41403e-05,-0.11276,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
naca2.5d,level-set,0.0,TOTAL,-0.0005990488,0.0006899697,-1.15178,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
naca2.5d,level-set,3.06,LE,0.0134154962,0.0079649496,0.59371,0.5,1.0,"converging, order far below first",
naca2.5d,level-set,3.06,MID,0.0105183302,0.0004173988,0.03968,0.5,1.0,"converging, order at or above first",
naca2.5d,level-set,3.06,TE,0.0001884923,0.0006000476,3.18341,0.5,1.0,FALSIFIED: R >= this ladder's p->0 ceiling,
naca2.5d,level-set,3.06,TOTAL,0.0241223188,0.008982396,0.37237,0.5,1.0,"converging, order at or above first",
m6wing,conforming,0.0,LE,-0.0039131729,-0.0012251893,0.31309,0.5,1.0,"converging, order at or above first",
m6wing,conforming,0.0,MID,-0.0160923594,-0.0061799132,0.38403,0.5,1.0,"converging, order at or above first",
m6wing,conforming,0.0,TE,-0.0100382301,-0.0021924866,0.21841,0.5,1.0,"converging, order at or above first",
m6wing,conforming,0.0,TOTAL,-0.0300437623,-0.0095975891,0.31945,0.5,1.0,"converging, order at or above first",
m6wing,conforming,3.06,LE,0.0075232858,0.0058148717,0.77292,0.5,1.0,"converging, order far below first",
m6wing,conforming,3.06,MID,-0.0144296177,-0.003046508,0.21113,0.5,1.0,"converging, order at or above first",
m6wing,conforming,3.06,TE,-0.0078552226,-0.0016235282,0.20668,0.5,1.0,"converging, order at or above first",
m6wing,conforming,3.06,TOTAL,-0.0147615546,0.0011448356,-0.07756,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
m6wing,level-set,0.0,LE,-0.0023776081,0.000850057,-0.35753,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
m6wing,level-set,0.0,MID,0.0007037691,-0.0005842005,-0.8301,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
m6wing,level-set,0.0,TE,0.0004245682,-0.0002737903,-0.64487,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
m6wing,level-set,0.0,TOTAL,-0.0012492709,-7.9339e-06,0.00635,0.5,1.0,"converging, order at or above first",
m6wing,level-set,3.06,LE,0.0091508097,0.0075688796,0.82713,0.5,1.0,"converging, order far below first",
m6wing,level-set,3.06,MID,0.0001798422,0.0009077953,5.04773,0.5,1.0,FALSIFIED: R >= this ladder's p->0 ceiling,
m6wing,level-set,3.06,TE,0.000526731,-3.24896e-05,-0.06168,0.5,1.0,non-monotone: coarsest level outside the asymptotic range,
m6wing,level-set,3.06,TOTAL,0.009857383,0.0084441852,0.85664,0.5,1.0,"converging, order far below first",
wingbody,conforming,0.0,LE,-0.0010663261,-0.0009596058,0.89992,1.0714,1.8098,"converging, order at or above first",
wingbody,conforming,0.0,MID,-0.0012493397,-1.23972e-05,0.00992,1.0714,1.8098,"converging, order at or above first",
wingbody,conforming,0.0,TE,-0.0002823247,-0.000583294,2.06604,1.0714,1.8098,FALSIFIED: R >= this ladder's p->0 ceiling,
wingbody,conforming,0.0,TOTAL,-0.0025979904,-0.001555808,0.59885,1.0714,1.8098,"converging, order at or above first",
wingbody,conforming,3.06,LE,0.0055683079,0.0054097026,0.97152,1.0714,1.8098,"converging, order at or above first",
wingbody,conforming,3.06,MID,-0.0008451718,0.0028106489,-3.32554,1.0714,1.8098,non-monotone: coarsest level outside the asymptotic range,
wingbody,conforming,3.06,TE,-0.000233696,-0.0006460893,2.76466,1.0714,1.8098,FALSIFIED: R >= this ladder's p->0 ceiling,
wingbody,conforming,3.06,TOTAL,0.0044894402,0.007575147,1.68733,1.0714,1.8098,"converging, order far below first",
wingbody,level-set,0.0,LE,-0.0005744291,-0.0006326533,1.10136,1.0714,1.8098,first-order signature,
wingbody,level-set,0.0,MID,-0.0002097561,0.0012298244,-5.86312,1.0714,1.8098,non-monotone: coarsest level outside the asymptotic range,
wingbody,level-set,0.0,TE,0.0001348977,-5.49091e-05,-0.40704,1.0714,1.8098,non-monotone: coarsest level outside the asymptotic range,
wingbody,level-set,0.0,TOTAL,-0.0006492874,0.0005424222,-0.83541,1.0714,1.8098,non-monotone: coarsest level outside the asymptotic range,
wingbody,level-set,3.06,LE,0.0056009875,0.0048437653,0.86481,1.0714,1.8098,"converging, order at or above first",
wingbody,level-set,3.06,MID,0.0013884555,0.0041306285,2.97498,1.0714,1.8098,FALSIFIED: R >= this ladder's p->0 ceiling,
wingbody,level-set,3.06,TE,0.0003743575,0.0001472056,0.39322,1.0714,1.8098,"converging, order at or above first",
wingbody,level-set,3.06,TOTAL,0.0073638005,0.0091236437,1.23899,1.0714,1.8098,"converging, order far below first",
