geom,path,eta_lo,eta_hi,d1,d2,R,n_tri_min,readable,R_first_order,R_falsify_ceiling
m6wing,conforming,0.0,0.2,0.0025275633,0.0009499374,0.37583,76,True,0.5,1.0
m6wing,conforming,0.2,0.4,0.0016423177,0.0007349435,0.4475,75,True,0.5,1.0
m6wing,conforming,0.4,0.6,0.0009647145,0.0016041236,1.6628,72,True,0.5,1.0
m6wing,conforming,0.6,0.8,0.0017923207,0.0013434879,0.74958,65,True,0.5,1.0
m6wing,conforming,0.8,1.0001,0.0005963696,0.0011823792,1.98263,69,True,0.5,1.0
m6wing,level-set,0.0,0.2,0.003025258,0.0013913468,0.45991,76,True,0.5,1.0
m6wing,level-set,0.2,0.4,0.002055818,0.0010372077,0.50452,75,True,0.5,1.0
m6wing,level-set,0.4,0.6,0.0014044746,0.0017642107,1.25614,73,True,0.5,1.0
m6wing,level-set,0.6,0.8,0.0024079064,0.0016936553,0.70337,64,True,0.5,1.0
m6wing,level-set,0.8,1.0001,0.0002573526,0.0016824591,6.53756,71,True,0.5,1.0
wingbody,conforming,0.0,0.2,0.0003996009,0.0002854134,0.71425,82,True,1.0714,1.8098
wingbody,conforming,0.2,0.4,0.0013200688,0.0009968168,0.75512,144,True,1.0714,1.8098
wingbody,conforming,0.4,0.6,0.0016764638,0.0014300296,0.853,130,True,1.0714,1.8098
wingbody,conforming,0.6,0.8,0.001307974,0.0012493627,0.95519,130,True,1.0714,1.8098
wingbody,conforming,0.8,1.0001,0.0008735947,0.00143632,1.64415,179,True,1.0714,1.8098
wingbody,level-set,0.0,0.2,0.0004509289,0.0004119507,0.91356,82,True,1.0714,1.8098
wingbody,level-set,0.2,0.4,0.0014576114,0.0007360636,0.50498,144,True,1.0714,1.8098
wingbody,level-set,0.4,0.6,0.0015787013,0.0013687676,0.86702,130,True,1.0714,1.8098
wingbody,level-set,0.6,0.8,0.0012534934,0.0010008293,0.79843,130,True,1.0714,1.8098
wingbody,level-set,0.8,1.0001,0.0008130287,0.0013156914,1.61826,179,True,1.0714,1.8098
