level,form,r_c,leg,m_inf,alpha,converged,m_attained,n_limited,n_floored,res_final,cl_p,wall_s,note
coarse,none,0.0,ceiling_M086,0.86,3.06,True,0.86,0,0,1.6269044887709473e-12,0.27029713027903085,14.7,
coarse,vanish_smooth,0.05,ceiling_M086,0.86,3.06,True,0.86,0,0,1.6250360302210118e-12,0.2674624707576866,14.0,
coarse,none,0.0,ceiling_M088,0.88,3.06,True,0.88,0,0,1.8765109256066666e-14,0.2800410839009721,15.2,
coarse,vanish_smooth,0.05,ceiling_M088,0.88,3.06,True,0.88,0,0,3.403671902772946e-11,0.2770886683855443,14.5,
coarse,none,0.0,alpha_4,0.84,4.0,False,0.84,1,0,7.15758959081653e-06,0.3303916428671728,57.6,
coarse,vanish_smooth,0.05,alpha_4,0.84,4.0,False,0.84,0,0,3.860630618815791e-11,0.3385490448195646,19.7,
coarse,none,0.0,alpha_5,0.84,5.0,False,0.84,0,0,7.373177089498385e-06,0.3606419813994917,77.9,
coarse,vanish_smooth,0.05,alpha_5,0.84,5.0,False,0.84,0,0,2.98447336008079e-14,0.3172930225199905,3.8,
medium,none,0.0,ceiling_M086,0.86,3.06,True,0.86,0,0,1.5806405790824094e-14,0.28952895590171873,517.9,
medium,vanish_smooth,0.05,ceiling_M086,0.86,3.06,True,0.86,0,0,2.1892350353778947e-14,0.2858313954265152,439.2,
medium,none,0.0,ceiling_M088,0.88,3.06,False,0.88,6,6,8.003666941856927e-05,0.30657652066702845,1357.5,
medium,vanish_smooth,0.05,ceiling_M088,0.88,3.06,True,0.88,0,0,1.7750076975313234e-14,0.302439084240615,467.5,
