all_ar_med,all_dih_med,all_dwall_med,converged,dev_enrich_ar,dev_frac_in_wall_layer,dev_max,dev_median,dev_rho_dwall,dm_max_confounded,dm_median_confounded,dm_p99_confounded,dual_agree_wall,enrich_ar,enrich_dih,frac_of_top,frac_top_in_wall_layer,level,m_inf,m_max,n_faces,n_nodes,n_sensor_gt_0p5,n_supersonic,n_tets,n_unfittable,near_enrich_ar,near_frac_in_shock_band,near_gmag_med,near_n,near_rho_ar,near_rho_dwall,near_rho_gmag,ratio_ar,ratio_dih,ratio_dwall,res_final,rho_ar,rho_dih,rho_dwall,rho_gmag,rho_h,sensor_max,sensor_median,sensor_p99,top_ar_med,top_dih_med,top_dwall_med,top_k,wall_s
2.2748,35.584,1.99015,True,0.0,0.0676,0.12350482,4.461e-05,0.1018,0.218614,1.9e-05,0.01539,True,0.0,0.0,,0.0184,coarse,0.5,0.68001,26668,6106,84,0,16386,0,8.108,0.0,0.00325722,7422,0.0513,-0.0914,0.167,1.4747,0.5824,0.1786,4.201047960836841e-13,0.2087,-0.1701,0.7976,0.8603,-0.3813,0.691608,0.044774,0.46109,3.3546,20.723,0.355522,163,1.6
2.3591,,0.025516,,,,,0.00118845,,,,,,,,0.10429,,coarse:dwall_decile0,,,,,,,1639,,,,,,,,,,,,,,,,,,0.691608,0.217673,0.460668,,,,,
2.2894,,0.062597,,,,,0.00107942,,,,,,,,0.00613,,coarse:dwall_decile1,,,,,,,1638,,,,,,,,,,,,,,,,,,0.464537,0.209127,0.395526,,,,,
2.2937,,0.098735,,,,,0.00097608,,,,,,,,0.0,,coarse:dwall_decile2,,,,,,,1639,,,,,,,,,,,,,,,,,,0.457201,0.216945,0.403846,,,,,
2.0115,,0.161025,,,,,0.0014004,,,,,,,,0.34969,,coarse:dwall_decile3,,,,,,,1638,,,,,,,,,,,,,,,,,,0.559381,0.255961,0.514796,,,,,
3.2168,,0.949189,,,,,0.00017472,,,,,,,,0.52147,,coarse:dwall_decile4,,,,,,,1639,,,,,,,,,,,,,,,,,,0.654222,0.131334,0.542832,,,,,
2.1952,,3.144546,,,,,1.15e-05,,,,,,,,0.0184,,coarse:dwall_decile5,,,,,,,1639,,,,,,,,,,,,,,,,,,0.520526,0.021409,0.340315,,,,,
2.0901,,5.771119,,,,,3.64e-06,,,,,,,,0.0,,coarse:dwall_decile6,,,,,,,1638,,,,,,,,,,,,,,,,,,0.342625,0.007149,0.163683,,,,,
2.1432,,8.363152,,,,,1.69e-06,,,,,,,,0.0,,coarse:dwall_decile7,,,,,,,1638,,,,,,,,,,,,,,,,,,0.16826,0.003346,0.105974,,,,,
2.1767,,10.848388,,,,,1.13e-06,,,,,,,,0.0,,coarse:dwall_decile8,,,,,,,1639,,,,,,,,,,,,,,,,,,0.164222,0.002246,0.101229,,,,,
2.284,,13.340833,,,,,6.8e-07,,,,,,,,0.0,,coarse:dwall_decile9,,,,,,,1639,,,,,,,,,,,,,,,,,,0.169633,0.001351,0.065061,,,,,
2.2361,36.538,1.955093,True,0.0,0.0679,0.09919748,1.992e-05,0.0984,0.144036,9e-06,0.008019,True,0.0,0.0,,0.0065,medium,0.5,0.67597,101704,21874,60,0,61788,0,5.357,0.0,0.00170103,28085,0.0956,-0.0171,0.1511,1.3812,0.6369,0.1496,5.779053308525301e-11,0.3325,-0.1784,0.8252,0.8758,-0.4147,0.850182,0.025602,0.40539,3.0885,23.27,0.292388,617,6.2
2.3403,,0.021626,,,,,0.00059363,,,,,,,,0.07293,,medium:dwall_decile0,,,,,,,6179,,,,,,,,,,,,,,,,,,0.850182,0.194267,0.391677,,,,,
2.2671,,0.058122,,,,,0.0005459,,,,,,,,0.00162,,medium:dwall_decile1,,,,,,,6179,,,,,,,,,,,,,,,,,,0.434414,0.191859,0.353064,,,,,
2.2762,,0.092259,,,,,0.00049545,,,,,,,,0.00648,,medium:dwall_decile2,,,,,,,6179,,,,,,,,,,,,,,,,,,0.4849,0.186587,0.362918,,,,,
1.8778,,0.149994,,,,,0.00069408,,,,,,,,0.43112,,medium:dwall_decile3,,,,,,,6178,,,,,,,,,,,,,,,,,,0.517148,0.221693,0.451433,,,,,
2.9284,,0.919108,,,,,7.364e-05,,,,,,,,0.4846,,medium:dwall_decile4,,,,,,,6179,,,,,,,,,,,,,,,,,,0.604452,0.077596,0.487368,,,,,
1.875,,3.137429,,,,,4.67e-06,,,,,,,,0.00324,,medium:dwall_decile5,,,,,,,6179,,,,,,,,,,,,,,,,,,0.477452,0.009049,0.227738,,,,,
1.8824,,5.664612,,,,,1.6e-06,,,,,,,,0.0,,medium:dwall_decile6,,,,,,,6178,,,,,,,,,,,,,,,,,,0.372432,0.003174,0.10621,,,,,
1.871,,8.248715,,,,,8.4e-07,,,,,,,,0.0,,medium:dwall_decile7,,,,,,,6179,,,,,,,,,,,,,,,,,,0.168796,0.00167,0.074423,,,,,
1.9058,,10.798591,,,,,4.9e-07,,,,,,,,0.0,,medium:dwall_decile8,,,,,,,6179,,,,,,,,,,,,,,,,,,0.111395,0.000973,0.04987,,,,,
1.9109,,13.330933,,,,,3.4e-07,,,,,,,,0.0,,medium:dwall_decile9,,,,,,,6179,,,,,,,,,,,,,,,,,,0.075163,0.000686,0.043269,,,,,
