adopted_index,adopted_m1_max,adopted_score,adopted_sigma_min,arm,case,cl_p,converged,gm_bit_identical,last_m1_max,last_sigma_min,n_floored,n_limited,n_newton,res_final,seed,selection_churn,wall_s,x_shock
,,,,off,hybrid_R0,0.26136660393520345,True,,1.9522072408943194,0.7431680620675367,0,0,48,1.2776876278769266e-13,0,False,4.8,0.7140866212755519
,,,,off,hybrid_R0,0.25822257846600266,True,,1.858105056362594,0.7858545933688468,0,0,31,9.45577175714882e-14,5,False,3.7,0.6050839087194283
,,,,off,hybrid_R0,0.35146662521990407,True,,1.2472820705529526,0.9874183427010786,0,0,37,3.264176358110929e-11,12,False,6.1,0.5457863792675912
6,1.4917471529325712,0.5197663031930857,0.9323813916901321,rel,hybrid_R0,0.2958081100489896,True,True,1.9522072408943194,0.7431680620675367,0,0,31,1.4702039038975722e-13,0,False,2.3,0.5102093145570662
4,1.4216361094385512,0.41740158790998644,0.952630213062342,rel,hybrid_R0,0.31875311727310457,True,True,1.858105056362594,0.7858545933688468,0,0,26,6.608831604391195e-12,5,False,3.7,0.5419352576221933
2,2.3414722088560875,0.5375421127011863,0.0,rel,hybrid_R0,0.49374954498748547,False,True,1.2472820705529526,0.9874183427010786,147,0,80,3.094089097474413e-05,12,False,9.1,0.7476813998313929
2,1.2286201954673532,0.009743514859773872,0.9897462263755336,abs,hybrid_R0,0.35748809507931545,True,True,1.9522072408943194,0.7431680620675367,0,0,40,1.2667246672547462e-11,0,False,2.5,0.5601219722837868
4,1.4216361094385512,0.019772224286736195,0.952630213062342,abs,hybrid_R0,0.31875311727310457,True,True,1.858105056362594,0.7858545933688468,0,0,26,6.608831604391195e-12,5,False,3.5,0.5419352576221933
8,1.2472820705529526,0.01954219946782254,0.9874183427010786,abs,hybrid_R0,0.35146662521990407,True,True,1.2472820705529526,0.9874183427010786,0,0,37,3.264176358110929e-11,12,False,5.9,0.5457863792675912
,,,,off,unstr_coarse,0.40797770675544015,True,,1.3899894439526634,0.9606541474646304,0,0,28,2.904495138539988e-13,0,False,0.6,0.6194677102667253
,,,,off,unstr_coarse,0.4071081255343819,True,,1.3384717069905012,0.9721305566366263,0,0,21,8.670928062013865e-13,5,False,2.4,0.6072503529432096
,,,,off,unstr_coarse,0.5091541277042915,False,,2.9689962906464524,0.3372097873256942,580,2600,80,0.022493491660774273,12,False,12.0,0.8817572003555676
6,1.3696875837060962,0.5518879625088726,0.9654154319338049,rel,unstr_coarse,0.40612013106123823,True,True,1.3899894439526634,0.9606541474646304,0,0,26,2.260610311157787e-11,0,False,0.6,0.6202938512789615
8,1.3384717069905012,0.486241718501224,0.9721305566366263,rel,unstr_coarse,0.4071081255343819,True,True,1.3384717069905012,0.9721305566366263,0,0,21,8.670928062013865e-13,5,False,2.4,0.6072503529432096
8,2.9689962906464524,0.8958722034509116,0.3372097873256942,rel,unstr_coarse,0.5091541277042915,False,True,2.9689962906464524,0.3372097873256942,580,2600,80,0.022493491660774273,12,False,11.9,0.8817572003555676
6,1.3696875837060962,0.01908680680430186,0.9654154319338049,abs,unstr_coarse,0.40612013106123823,True,True,1.3899894439526634,0.9606541474646304,0,0,26,2.260610311157787e-11,0,False,0.6,0.6202938512789615
8,1.3384717069905012,0.013551286034679366,0.9721305566366263,abs,unstr_coarse,0.4071081255343819,True,True,1.3384717069905012,0.9721305566366263,0,0,21,8.670928062013865e-13,5,False,2.3,0.6072503529432096
4,2.0391325834802605,0.3503659565871665,0.7025851862858502,abs,unstr_coarse,0.016621935921238624,False,True,2.9689962906464524,0.3372097873256942,218,4306,58,0.5999737240765437,12,False,10.4,0.9623246464697164
