eta,band,side,n,bias,sd,rms,f_bias,identity_rel
0.2,LE,upper,7,-0.026030427031653886,0.17981676796560428,0.18169109271795972,0.020525574041941615,2.1019528672295587e-16
0.2,LE,lower,3,0.09291667772257299,0.012365549198639376,0.09373588323574096,0.9825973627517347,1.974324359649904e-16
0.2,MID,upper,13,-0.03502019752890041,0.045122752990071555,0.057118097590572944,0.37591505097496575,1.329299361725969e-16
0.2,MID,lower,7,0.01901869608588396,0.015827869955813315,0.02474332775002901,0.5908064955526664,1.770900079752239e-16
0.2,TE,upper,3,0.07092573558773148,0.0559214613059036,0.09031981954836088,0.6166540311128572,0.0
0.2,TE,lower,1,0.07826585444760639,0.0,0.07826585444760639,1.0,0.0
0.44,LE,upper,8,0.024138314817200517,0.20290685806644596,0.20433759148186886,0.013954598777751332,0.0
0.44,LE,lower,3,0.10586817689038652,0.04434205941364287,0.11477930611019221,0.8507533714755928,1.3167492085097148e-16
0.44,MID,upper,13,-0.017422805582861016,0.055784780918689575,0.05844224445146136,0.08887557181141663,0.0
0.44,MID,lower,7,0.01781583899505562,0.012493443360969905,0.0217598310221267,0.6703498576885053,2.2898088849546724e-16
0.44,TE,upper,2,0.06393793316614534,0.06083264604615425,0.08825344255345031,0.5248725691604762,0.0
0.44,TE,lower,1,0.048233262632727064,0.0,0.048233262632727064,1.0,0.0
0.65,LE,upper,7,0.038708000656489175,0.20866921157716908,0.2122290017294058,0.033265343852558714,1.540567687768807e-16
0.65,LE,lower,3,0.03413177820787439,0.04075510387686545,0.05315972888988076,0.4122420744971856,3.069267532551854e-16
0.65,MID,upper,13,-0.0070673508893914026,0.10524764642675397,0.1054846648900436,0.004488845455601827,0.0
0.65,MID,lower,7,0.020205362451708064,0.010734424699253434,0.022879784645595688,0.779882950451674,2.0711254648355108e-16
0.65,TE,upper,3,0.02596282491439322,0.045488626629054243,0.052376363277082734,0.2457158710366182,3.161764943647732e-16
0.65,TE,lower,1,0.030109157974363976,0.0,0.030109157974363976,1.0,0.0
0.8,LE,upper,6,0.06937575959595213,0.1946942904634225,0.2066854198016175,0.112666763783399,1.6243161582093028e-16
0.8,LE,lower,4,0.0790437421795386,0.06560527178221284,0.10272275728076706,0.5921089824169374,1.6439814749571422e-16
0.8,MID,upper,13,-0.007402040445699831,0.10195622990373927,0.10222457150286282,0.005243150332253194,0.0
0.8,MID,lower,7,0.018023048196129123,0.008410031576039317,0.019888662533965717,0.8211931735661383,0.0
0.8,TE,upper,3,0.04009166138680405,0.05354860145100396,0.0668939012923646,0.3591989490326781,0.0
0.8,TE,lower,1,0.03923352484193349,0.0,0.03923352484193349,1.0,0.0
0.9,LE,upper,10,0.06380504962332403,0.3243557211769117,0.330571804934464,0.03725447807509282,1.2699558550606351e-16
0.9,LE,lower,5,0.03636805598427785,0.08486699266187542,0.09233115367819458,0.15514709551633535,2.0348562368117933e-16
0.9,MID,upper,17,0.004189884378176075,0.13270203245862405,0.13276816090370536,0.0009959010681894215,1.9682142533177944e-16
0.9,MID,lower,8,0.024725989237239274,0.02693251659745329,0.03656138665357441,0.4573640598095686,1.6221647182514214e-16
0.9,TE,upper,4,0.038515749274634456,0.04790469834829684,0.06146806541634297,0.39262469520534704,1.1478130943686982e-16
0.9,TE,lower,1,0.029988958090972462,0.0,0.029988958090972462,1.0,0.0
