delta,n_LE_upper,n_MID_upper,n_TE_upper,rms_LE_upper,rms_MID_upper,rms_TE_upper,valid,valid_LE,valid_MID,valid_TE
-0.02,38,69,15,0.6120655728509037,0.10801080266718792,0.03040422399514914,False,False,True,True
-0.019,38,69,15,0.6070321734272798,0.10735483712272637,0.030118231443862196,False,False,True,True
-0.018,38,69,15,0.5861855852034096,0.10669432339294976,0.03199128816539474,False,False,True,True
-0.017,38,69,15,0.5020596947708239,0.10588501498263295,0.03147713146851763,False,False,True,True
-0.016,38,69,15,0.4360670249935044,0.10500522070874856,0.031049357030390093,False,False,True,True
-0.015,38,69,15,0.4165681409095702,0.10423012869884703,0.030876110542879275,False,False,True,True
-0.014,38,69,15,0.4097191766379612,0.10359612489764194,0.03067896648090407,False,False,True,True
-0.013,38,69,15,0.4076947653934135,0.1029954244295494,0.031094653412698205,False,False,True,True
-0.012,38,69,15,0.4038779535970737,0.10234764482405419,0.032018737122343766,False,False,True,True
-0.011,38,69,15,0.4018069139196626,0.1016932069205815,0.03392334472080199,False,False,True,True
-0.01,38,69,15,0.39417623885723096,0.10103255268236802,0.03690628723169587,False,False,True,True
-0.009,38,69,15,0.3579698533863089,0.10040199561025864,0.04041483687981001,False,False,True,True
-0.008,38,69,15,0.345848332354326,0.09995230440037886,0.04389369905313964,False,False,True,True
-0.007,38,69,15,0.3291746638593452,0.09953951530235515,0.04754738937657579,False,False,True,True
-0.006,38,69,15,0.27649083997286406,0.09916757456008835,0.050688799129243726,False,False,True,True
-0.005,38,69,15,0.2456354813919797,0.0988504255798019,0.05364703805126487,False,False,True,True
-0.004,38,69,15,0.2422483747526839,0.09859543495677248,0.05621769805302859,False,False,True,True
-0.003,38,69,15,0.22447307226196292,0.09855588565169654,0.05950911212754793,False,False,True,True
-0.002,38,69,15,0.2423121655514345,0.09861528533701588,0.06424154430469298,False,False,True,True
-0.001,38,69,15,0.2407962194202327,0.09845126637493563,0.06871115479239111,False,False,True,True
0.0,38,69,15,0.24222058158810056,0.09831763037661224,0.0715625014932931,True,True,True,True
0.001,38,69,15,0.25626346532720984,0.09819376115042379,0.0724209446192138,True,True,True,True
0.002,38,69,15,0.3440494065795946,0.09800402855314252,0.07428658740767517,True,True,True,True
0.003,38,69,15,0.4405998997367252,0.09781557620336262,0.07641546991331313,True,True,True,True
0.004,38,69,15,0.49907135535421354,0.09757824576571315,0.07866256478840403,True,True,True,True
0.005,38,69,15,0.5139978668036855,0.09729882851256211,0.08337015095391827,True,True,True,True
0.006,38,69,15,0.5208104544771617,0.0970388022462907,0.08880130231404214,True,True,True,True
0.007,38,69,15,0.5303547226967338,0.09679678890723716,0.0945354028359928,True,True,True,True
0.008,38,69,15,0.5491538469579518,0.09664259601546313,0.10035491069310723,True,True,True,True
0.009,38,69,15,0.5726033090010196,0.09653259926648317,0.10522881777246466,True,True,True,True
0.01,38,69,15,0.5979611195024122,0.09633579495279103,0.1093637201538844,True,True,True,True
0.011,38,69,15,0.6194447444401533,0.0961879551292967,0.11179764438245951,True,True,True,True
0.012,38,69,15,0.6357633573885529,0.09632861751414838,0.11271988062121802,True,True,True,True
0.013,38,69,15,0.6528540412511418,0.09645142389402377,0.11367641580634534,True,True,True,True
0.014,38,69,15,0.6659315320998468,0.0967509938233411,0.11462315415204641,True,True,True,False
0.015,38,69,15,0.6782913945278729,0.09710771370872966,0.1153038727492496,True,True,True,False
0.016,38,69,15,0.6856661005269562,0.0975152290849277,0.11579393475187899,True,True,True,False
0.017,38,69,15,0.6910460584626595,0.0978417434916643,0.11626029067178763,True,True,True,False
0.018,38,69,15,0.6961180769148051,0.0980486727906837,0.11672839385654682,True,True,True,False
0.019,38,69,15,0.7010526999669794,0.09828409743451412,0.11721550519538053,True,True,True,False
0.02,38,69,15,0.7066203604720914,0.09851463402355029,0.11775042253110833,True,True,True,False
