case,churn_period,cl_p,converged,eps,m1_max,n_floored,n_limited,n_newton,n_shock_cells,q,res_final,seed,selection_churn,sigma_min,wall_s,x_shock
hybrid_R0,,0.26136660393520345,True,0.0,1.9522072408943194,0,0,48,153,1.0,1.2776876278769266e-13,0,False,0.7431680620675367,4.9,0.7140866212755519
hybrid_R0,,0.25822257846600266,True,0.0,1.858105056362594,0,0,31,176,1.0,9.45577175714882e-14,5,False,0.7858545933688468,3.6,0.6050839087194283
hybrid_R0,,0.35146662521990407,True,0.0,1.2472820705529526,0,0,37,159,1.0,3.264176358110929e-11,12,False,0.9874183427010786,6.1,0.5457863792675912
hybrid_R0,,0.32505015761758554,True,0.05,1.3745912453202844,0,0,22,146,1.0,2.2276425788100824e-11,0,False,0.9642935276924249,1.7,0.5208591408810495
hybrid_R0,,0.33208155335731554,True,0.05,1.3207963570892658,0,0,17,148,1.0,1.641620932930883e-13,5,False,0.9756012644734133,2.9,0.5261665898700894
hybrid_R0,,0.33925563673166353,True,0.05,1.3513523360552318,0,0,18,148,1.0,1.7647277978065475e-13,12,False,0.9802471203271071,4.7,0.5404881998641899
hybrid_R0,,0.32508866630503325,True,0.05,1.3737103662990477,0,0,27,147,0.5,1.5826713124630884e-13,0,False,0.9644963903269048,1.7,0.5209140511763497
hybrid_R0,,0.33299455301954695,True,0.05,1.3182384922807733,0,0,21,151,0.5,9.476256888741009e-12,5,False,0.9760834500366006,3.1,0.5265479551854219
hybrid_R0,,1.0192443356302454,False,0.05,2.923867317382958,525,3908,23,415,0.5,0.28960778614631416,12,False,0.0,11.4,0.9566423661711164
hybrid_R0,,0.32999410567216103,True,0.05,1.3519115783136295,0,0,29,153,0.25,2.5481599777001796e-11,0,False,0.9693303822657264,1.8,0.5254029976306142
hybrid_R0,,0.31710038853903083,True,0.05,1.428999634249053,0,0,26,154,0.25,1.738321538917829e-13,5,False,0.9506608320625053,3.3,0.508117725268916
hybrid_R0,,0.14940852129421997,False,0.05,2.9647753111081396,229,1640,29,214,0.25,0.09246069737385684,12,False,0.0,13.9,0.6144870545076239
hybrid_R0,,0.27240535728707815,True,0.05,1.6694269860139175,0,0,35,153,0.1,1.0490619845676535e-13,0,False,0.8682298457153323,3.7,0.6412403949036695
hybrid_R0,,0.3292905986517782,True,0.05,1.3256824932598246,0,0,70,152,0.1,2.931817297631854e-11,5,False,0.9746660357698752,5.7,0.5275018879235619
hybrid_R0,,0.25981981063018744,True,0.05,1.4919284385400258,0,0,35,297,0.1,1.232509704834473e-13,12,False,0.8987622273466572,7.2,0.6478676838875105
unstr_coarse,,0.40797770675544015,True,0.0,1.3899894439526634,0,0,28,86,1.0,2.904495138539988e-13,0,False,0.9606541474646304,0.6,0.6194677102667253
unstr_coarse,,0.4071081255343819,True,0.0,1.3384717069905012,0,0,21,84,1.0,8.670928062013865e-13,5,False,0.9721305566366263,2.3,0.6072503529432096
unstr_coarse,,0.5091541277042915,False,0.0,2.9689962906464524,580,2600,80,119,1.0,0.022493491660774273,12,False,0.3372097873256942,11.9,0.8817572003555676
unstr_coarse,,0.40246813091664707,True,0.05,1.2883661409087799,0,0,16,82,1.0,1.3136043734241055e-12,0,False,0.9813363672728598,0.5,0.6069414404956686
unstr_coarse,,0.4099357695744705,True,0.05,1.2979118001775638,0,0,19,83,1.0,1.0710127191810702e-11,5,False,0.9797337576323599,2.3,0.6202624997157521
unstr_coarse,,1.637869851858326,False,0.05,2.992280350156812,313,3276,80,147,1.0,0.030442780079370624,12,False,0.28806938085485456,13.1,0.8814840571713249
unstr_coarse,,0.3733387683898724,True,0.05,1.774188561115973,0,0,55,86,0.5,3.2694327014890807e-12,0,False,0.8240605567979166,1.6,0.7016730393613305
unstr_coarse,,0.4085053270431887,True,0.05,1.2998723899620508,0,0,19,83,0.5,2.9407076557165763e-12,5,False,0.9793957532172874,2.3,0.6199142657298594
unstr_coarse,,-0.13781625213486157,False,0.05,2.8520822771603953,72,415,80,106,0.5,0.005127739303913753,12,False,0.3659916144467402,9.0,0.6233702978399672
unstr_coarse,,0.4213816121372669,True,0.05,1.361524270863428,0,0,49,87,0.25,4.893694397062754e-13,0,False,0.9672430053821368,1.2,0.6259432561136375
unstr_coarse,,0.40937637326018933,True,0.05,1.316354856702742,0,0,19,84,0.25,2.928903357200389e-12,5,False,0.9764352793334673,2.3,0.6199122564806346
unstr_coarse,,0.6323388450535428,False,0.05,2.995561191047451,936,3071,57,132,0.25,0.10327949766608556,12,False,0.05133583908047633,9.5,0.9579904722371326
unstr_coarse,,0.40707040364341474,True,0.05,1.3318850702161715,0,0,17,84,0.1,5.255881874999132e-12,0,False,0.9739731655723609,0.5,0.6037982892371576
unstr_coarse,,0.4061510684060164,True,0.05,1.330206180932687,0,0,18,86,0.1,6.825686108410965e-11,5,False,0.9737836674867445,2.3,0.618210957789892
unstr_coarse,,0.5206513534152838,False,0.05,2.9905637703064905,395,5287,75,123,0.1,0.7160169287185454,12,False,0.28638779263098535,12.8,nan
