kind,region,n,e_S2,e_S4,d_self,R,conv_ratio,sumsq,band,side,eta,x_split,inner_n,inner_R,outer_n,outer_R
binding,inner,15,0.36907778227315025,0.27408940594555015,0.39269993628829886,1.432743943289481,0.7426331768263951,2.3131985994125097,,,,,,,,
binding,outer,21,0.3478347969702756,0.21068052614401783,0.19196208576545087,0.9111524889311728,0.6056913453716986,0.7738382897998687,,,,,,,,
binding,full,36,0.3568397596403046,0.23915284529148648,0.2928327589262237,1.2244586033225344,0.6701967447028693,3.0870368892123787,,,,,,,,
control,inner,7,0.21747418331561327,0.10431816577828738,0.18358926070414747,1.7598973231022765,0.47968068755496274,0.23593511652126797,LE,lower,,,,,,
control,outer,10,0.22346837174331344,0.08661635794802904,0.14906144358315027,1.7209387131307128,0.38760007634333493,0.22219313963092682,LE,lower,,,,,,
control,outer,69,0.13087197455638636,0.09831763037661119,0.06269913262799971,0.6377201361325245,0.7512504545749855,0.2712515050289413,MID,upper,,,,,,
sensitivity,inner,21,0.3835821442685696,0.249012506066583,0.36604399835303836,1.4699823881743614,0.6491764796336138,2.8137523833358626,,,,,,,,
sensitivity,outer,15,0.3156163933987232,0.22462341983383824,0.13497765392254524,0.6009064149339054,0.7116975687320142,0.2732845058765159,,,,,,,,
station,,,,,,,,,,,0.2,0.01326007593197611,3,1.2417127681766067,4,0.3469709948357063
station,,,,,,,,,,,0.44,0.013584463911339974,3,1.5981730132262029,5,0.7699835674698371
station,,,,,,,,,,,0.65,0.025136730844870784,3,2.5091206432223916,3,1.508686149648377
station,,,,,,,,,,,0.8,0.02311062355132782,2,2.4978872255564797,3,0.812700054752099
station,,,,,,,,,,,0.9,0.019782046420980484,4,1.1791381021227767,6,0.975000504001324
