kind,eta,n,inv_n,dcp_min,ratio_bias_dcpm,bias,var,sd,rms,f_bias,identity_rel,taper_rc,d_self,leg,converged,solve_s,res_final,n_limited,n_floored,cl_p,cl_kj,m_max,sigma_min
A,0.2,7,0.14285714285714285,0.030837354318285826,1.778044178367334,0.05483017832187888,0.013860571977132618,0.11773093041818967,0.12987270857243893,0.17823932157264333,2.056953411236449e-16,,,,,,,,,,,,
A,0.44,8,0.125,0.18903204134052365,0.16539761101793143,0.031265448043565465,0.05833360686639947,0.24152351203640499,0.24353877536803942,0.0164813612079551,0.0,,,,,,,,,,,,
A,0.65,6,0.16666666666666666,0.2458903393983134,0.6058644366933471,0.14897621196789507,0.05594311847736924,0.236522976637301,0.27953001665236676,0.28403833205265405,0.0,,,,,,,,,,,,
A,0.8,5,0.2,0.13856579980005357,2.2767148818201326,0.3154748185160911,0.027069627059270573,0.16452849923119878,0.3558004892872285,0.786169726942989,2.1924876540594517e-16,,,,,,,,,,,,
A,0.9,10,0.1,0.2564722614785694,0.5091877813875402,0.13059254180971783,0.12221431234202522,0.34959163654473374,0.3731872510126091,0.12245686933513505,0.0,,,,,,,,,,,,
A,0.96,10,0.1,0.22499720207713092,0.7689789168631447,0.17301810475051022,0.09617679276362992,0.31012383456230824,0.3551225947966257,0.2373703609633333,2.2008661346218813e-16,,,,,,,,,,,,
A,0.99,8,0.125,0.21397494648017212,1.1134459672142196,0.23824954124322614,0.0151930819907719,0.12326022063411983,0.2682460174790664,0.7888557224142433,3.8573022681628234e-16,,,,,,,,,,,,
B_profile,0.2,,,,,,,,,,,0.025,0.13006235197815438,,,,,,,,,,
B_profile,0.44,,,,,,,,,,,0.025,0.2436110793779322,,,,,,,,,,
B_profile,0.65,,,,,,,,,,,0.025,0.2796270182884494,,,,,,,,,,
B_profile,0.8,,,,,,,,,,,0.025,0.35611679557230397,,,,,,,,,,
B_profile,0.9,,,,,,,,,,,0.025,0.3733604471869314,,,,,,,,,,
B_profile,0.96,,,,,,,,,,,0.025,0.35525722222384626,,,,,,,,,,
B_profile,0.99,,,,,,,,,,,0.025,0.2686102540953367,,,,,,,,,,
B_profile,0.2,,,,,,,,,,,0.05,0.12987270857243893,,,,,,,,,,
B_profile,0.44,,,,,,,,,,,0.05,0.24353877536803942,,,,,,,,,,
B_profile,0.65,,,,,,,,,,,0.05,0.27953001665236676,,,,,,,,,,
B_profile,0.8,,,,,,,,,,,0.05,0.3558004892872285,,,,,,,,,,
B_profile,0.9,,,,,,,,,,,0.05,0.3731872510126091,,,,,,,,,,
B_profile,0.96,,,,,,,,,,,0.05,0.3551225947966257,,,,,,,,,,
B_profile,0.99,,,,,,,,,,,0.05,0.2682460174790664,,,,,,,,,,
B_profile,0.2,,,,,,,,,,,0.1,0.12984252082782238,,,,,,,,,,
B_profile,0.44,,,,,,,,,,,0.1,0.2433687575949078,,,,,,,,,,
B_profile,0.65,,,,,,,,,,,0.1,0.2793285658592257,,,,,,,,,,
B_profile,0.8,,,,,,,,,,,0.1,0.35570474438060123,,,,,,,,,,
B_profile,0.9,,,,,,,,,,,0.1,0.3729480997707966,,,,,,,,,,
B_profile,0.96,,,,,,,,,,,0.1,0.35449900914680116,,,,,,,,,,
B_profile,0.99,,,,,,,,,,,0.1,0.2675092332496985,,,,,,,,,,
B_leg,,,,,,,,,,,,0.025,,S2,True,19.5,5.636450747993361e-12,0,0,0.25825955418896435,0.26450805786396264,1.6070184937488128,0.9471802499005606
B_leg,,,,,,,,,,,,0.025,,S4,True,229.9,6.126676849860744e-15,0,0,0.275261342620589,0.2794763275623858,2.9554007829628604,0.46569280472241387
B_leg,,,,,,,,,,,,0.1,,S2,True,15.2,5.638085265826357e-12,0,0,0.2521336941795003,0.2583564868315547,1.4679555633880317,0.9765416836193814
B_leg,,,,,,,,,,,,0.1,,S4,True,156.0,6.524404395156328e-15,0,0,0.26665629829463766,0.27077500520607756,2.3051240171593923,0.581027875811432
