case,churn_period,cl_p,converged,eps,frozen_in_transient,last_sigma_delta,m1_max,n_floored,n_limited,n_newton,n_shock_cells,res_final,seed,selection_churn,sigma_min,wall_s,x_shock
hybrid_R0,,0.26136660393520345,True,0.0,True,0.23094281744997192,1.9522072408943194,0,0,48,153,1.2776876278769266e-13,0,False,0.7431680620675367,4.6,0.7140866212755519
hybrid_R0,,0.25822257846600266,True,0.0,True,0.213451201251871,1.858105056362594,0,0,31,176,9.45577175714882e-14,5,False,0.7858545933688468,3.6,0.6050839087194283
hybrid_R0,,0.35146662521990407,True,0.0,True,0.01954219946782254,1.2472820705529526,0,0,37,159,3.264176358110929e-11,12,False,0.9874183427010786,5.7,0.5457863792675912
hybrid_R0,,0.3316228234197176,True,0.02,True,0.020476016803778974,1.3248535602415883,0,0,18,153,1.4039081611105586e-13,0,False,0.974826003244352,1.5,0.5276845020078668
hybrid_R0,,0.3362084019967024,True,0.02,True,0.015877229239599888,1.310911518409113,0,0,24,154,1.2756240242350175e-13,5,False,0.9774364507099008,3.0,0.5279463046221523
hybrid_R0,,0.814368406201526,False,0.02,True,1.0,2.986985987864787,989,10774,34,317,0.16564444782128437,12,False,0.0,14.7,0.9353050018866174
hybrid_R0,,0.32505015761758554,True,0.05,True,0.021870214810080002,1.3745912453202844,0,0,22,146,2.2276425788100824e-11,0,False,0.9642935276924249,1.6,0.5208591408810495
hybrid_R0,,0.33208155335731554,True,0.05,True,0.014810858132121907,1.3207963570892658,0,0,17,148,1.641620932930883e-13,5,False,0.9756012644734133,2.8,0.5261665898700894
hybrid_R0,,0.33925563673166353,True,0.05,True,0.016214301900566386,1.3513523360552318,0,0,18,148,1.7647277978065475e-13,12,False,0.9802471203271071,4.5,0.5404881998641899
hybrid_R0,,0.29593976119047016,False,0.1,True,0.04172492459574517,1.5168018688854112,0,0,80,153,1.9188872392386946e-07,0,False,0.9243739390580056,4.7,0.5280046230609192
hybrid_R0,,0.3504708134442333,True,0.1,True,0.019771679503596484,1.320423127934284,0,0,24,148,3.1343783200193565e-11,5,False,0.9847109259420868,2.9,0.5464770846173689
hybrid_R0,,0.33254063120440003,True,0.1,True,0.005121774016029201,1.3146470393408476,0,0,21,154,1.0737788771988533e-12,12,False,0.9767518792784913,4.5,0.5267105854125241
unstr_coarse,,0.40797770675544015,True,0.0,True,0.031616450995491596,1.3899894439526634,0,0,28,86,2.904495138539988e-13,0,False,0.9606541474646304,0.6,0.6194677102667253
unstr_coarse,,0.4071081255343819,True,0.0,True,0.013551286034679366,1.3384717069905012,0,0,21,84,8.670928062013865e-13,5,False,0.9721305566366263,2.3,0.6072503529432096
unstr_coarse,,0.5091541277042915,False,0.0,True,0.5937753282542286,2.9689962906464524,580,2600,80,119,0.022493491660774273,12,False,0.3372097873256942,11.7,0.8817572003555676
unstr_coarse,,0.36969750490008535,True,0.02,True,0.16554786428253065,1.7940599959831152,0,0,30,87,3.7776975558493444e-11,0,False,0.8153161505677422,0.9,0.7034436396959514
unstr_coarse,,0.4097304129612161,True,0.02,True,0.01256631906757455,1.287172527263354,0,0,18,85,5.250918102504875e-13,5,False,0.9815317336859082,2.3,0.6198781079888603
unstr_coarse,,0.6060289499012226,False,0.02,True,0.7059252672580414,2.9838221267475165,793,4688,47,177,0.43389244470659794,12,False,0.2048036505913004,9.5,0.9927360066329388
unstr_coarse,,0.40246813091664707,True,0.05,True,0.017046772481029593,1.2883661409087799,0,0,16,82,1.3136043734241055e-12,0,False,0.9813363672728598,0.5,0.6069414404956686
unstr_coarse,,0.4099357695744705,True,0.05,True,0.0182949935439618,1.2979118001775638,0,0,19,83,1.0710127191810702e-11,5,False,0.9797337576323599,2.3,0.6202624997157521
unstr_coarse,,1.637869851858326,False,0.05,True,0.6694689885094198,2.992280350156812,313,3276,80,147,0.030442780079370624,12,False,0.28806938085485456,13.1,0.8814840571713249
unstr_coarse,,0.3970017367907955,True,0.1,True,0.03664015362216222,1.3894456051378183,0,0,25,85,3.144980234889735e-13,0,False,0.9607856727274253,0.6,0.6028728340760516
unstr_coarse,,0.40820631097303506,True,0.1,True,0.022073105074732924,1.2942682129242544,0,0,19,84,7.434218312087283e-13,5,False,0.9803539078414044,2.3,0.6192754614485992
unstr_coarse,,0.26204850065028074,True,0.1,True,0.07525950536177817,1.4809669661316403,0,0,28,89,1.943710906373312e-12,12,False,0.9412851662450888,5.6,0.5241213310407148
