kind,eta,d_self,n,n_dropped,n_front,share_pts,share_mass,conc,conc_max,valid,x_foot_S2,x_foot_S4,dx_foot,slope,pred_foot,pred_peak,ratio_foot,ratio_peak,cp_min_S2,cp_min_S4,x_peak_S2,x_peak_S4
station,0.2,0.12987270857243893,7,0,5,0.7142857142857143,0.9099037936004133,1.2738653110405787,1.4,True,,,,,,,,,,,,
station,0.44,0.24353877536803942,8,0,5,0.625,0.8852808559652555,1.416449369544409,1.6,True,,,,,,,,,,,,
station,0.65,0.27953001665236676,6,1,4,0.6666666666666666,0.9656969396785576,1.4485454095178365,1.5,True,,,,,,,,,,,,
station,0.8,0.3558004892872285,5,1,3,0.6,0.8787655893607895,1.464609315601316,1.6666666666666667,True,,,,,,,,,,,,
station,0.9,0.3731872510126091,10,0,7,0.7,0.9491740784869228,1.3559629692670327,1.4285714285714286,True,,,,,,,,,,,,
station,0.96,0.3551225947966257,10,0,7,0.7,0.917402483161416,1.3105749759448801,1.4285714285714286,True,,,,,,,,,,,,
station,0.99,0.2682460174790664,8,2,5,0.625,0.9092230841173193,1.454756934587711,1.6,True,,,,,,,,,,,,
q2,0.2,0.12987270857243893,,,,,,,,,0.01326007593197611,0.011145109881969211,0.002114966050006899,52.51198946985631,0.11106107494706588,0.030837354318285826,0.8551532971618859,0.2374429135824615,-0.6988476818541984,-0.7296850361724843,0.05136403794952843,0.06456215335487159
q2,0.44,0.24353877536803942,,,,,,,,,0.013584463911339974,0.005973876665646469,0.007610587245693505,55.444984370790564,0.4219688908900144,0.18903204134052365,1.7326558789347968,0.7761886831156789,-0.739815606926384,-0.9288476482669077,0.16093469648224398,0.06878434851318864
q2,0.65,0.27953001665236676,,,,,,,,,0.025136730844870784,0.005250013115164606,0.01988671772970618,66.02737042916436,1.3130676781595405,0.2458903393983134,4.697412084343403,0.8796562971772408,-0.8521133910919225,-1.098003730490236,0.04361315346434536,0.03462466334792871
q2,0.8,0.3558004892872285,,,,,,,,,0.02311062355132782,0.005982848054020912,0.01712777549730691,127.0584352507765,2.1762283540144063,0.13856579980005357,6.116428783934565,0.3894480304893369,-0.8674976498006661,-1.0060634496007197,0.055490997403969955,0.06258528381171129
q2,0.9,0.3731872510126091,,,,,,,,,0.019782046420980484,0.004054085463354781,0.015727960957625704,164.0527240678318,2.5802148391310014,0.2564722614785694,6.913995138177489,0.6872481864872276,-0.8924330290529202,-1.1489052905314896,0.06695276696370907,0.028496876266306266
