leg,nx,h,n_dof,n_tets,C,converged,reason,n_newton,wall_s,res_exact,res_final,x_shock_exact,x_shock_final,drift,drift_cells,width_bins_exact,width_bins_final,massflux_min,massflux_defect_int
regular,40,0.1,492,1200,1.0,False,cap,60,0.31,0.0016900701101763534,6.304709041685444e-06,2.0004,1.98674,-0.01326,-0.133,0,1,0.87992,0.48015
regular,40,0.1,492,1200,1.5,True,tol,8,0.03,0.0025351051652645236,1.1030766469596056e-15,2.0004,,,,0,-1,1.0663,-0.265201
regular,40,0.1,492,1200,2.0,True,tol,8,0.03,0.0033801402203526947,2.5491670719882593e-16,2.0004,,,,0,-1,1.0663,-0.265201
regular,40,0.1,492,1200,3.0,True,tol,7,0.02,0.005070210330529038,5.485814789361741e-16,2.0004,,,,0,-1,1.0663,-0.265201
regular,80,0.05,1782,4800,1.0,False,cap,60,0.93,0.0008450350550881814,0.013039020419488512,2.0002,1.74953,-0.25047,-5.009,0,2,0.10991,1.216392
regular,80,0.05,1782,4800,1.5,True,tol,11,0.13,0.001267552582632275,2.263992188322363e-15,2.0002,,,,0,-1,1.0663,-0.265201
regular,80,0.05,1782,4800,2.0,True,tol,10,0.12,0.0016900701101763705,1.3898285833024873e-16,2.0002,,,,0,-1,1.0663,-0.265201
regular,80,0.05,1782,4800,3.0,True,tol,9,0.13,0.0025351051652645696,1.656538832186217e-16,2.0002,,,,0,-1,1.0663,-0.265201
regular,160,0.025,6762,19200,1.0,False,cap,60,2.75,0.00042251752754412505,1.2105795447296209e-05,2.0001,2.03377,0.03377,1.351,0,160,1.0513,-0.211199
regular,160,0.025,6762,19200,1.5,False,cap,60,2.94,0.0006337762913161711,7.721753833438952e-06,2.0001,2.04252,0.04252,1.701,0,160,1.05305,-0.217115
regular,160,0.025,6762,19200,2.0,False,cap,60,2.92,0.0008450350550882174,2.1851591340631963e-05,2.0001,2.00498,0.00498,0.199,0,3,0.96525,0.12399
regular,160,0.025,6762,19200,3.0,True,tol,12,0.6,0.0012675525826323095,3.3872804578173975e-16,2.0001,,,,0,-1,1.0663,-0.265201
irregular,40,0.1,492,1200,1.0,False,cap,60,0.33,0.0017031073892539714,3.449211783300976e-05,2.00101,1.95981,-0.04019,-0.402,2,1,0.61597,1.534704
irregular,40,0.1,492,1200,1.5,True,tol,8,0.02,0.002602168327790184,3.175070254593859e-16,2.00101,,,,2,-1,1.0663,-0.265201
irregular,40,0.1,492,1200,2.0,True,tol,7,0.02,0.003501229266326396,1.4913905056212483e-13,2.00101,,,,2,-1,1.0663,-0.265201
irregular,40,0.1,492,1200,3.0,True,tol,7,0.02,0.00529935114339882,2.9711000052750444e-16,2.00101,,,,2,-1,1.0663,-0.265201
irregular,80,0.05,1782,4800,1.0,False,cap,60,0.8,0.0009767240779856236,0.0005245430578264844,1.99998,1.98092,-0.01908,-0.382,2,1,0.83265,0.560596
irregular,80,0.05,1782,4800,1.5,False,cap,60,0.84,0.0014385197008863753,8.354305746590967e-08,1.99998,1.99402,-0.00598,-0.12,2,2,0.90854,0.365099
irregular,80,0.05,1782,4800,2.0,True,tol,9,0.11,0.0019003153237871254,5.433019251002969e-14,1.99998,,,,2,-1,1.0663,-0.265201
irregular,80,0.05,1782,4800,3.0,True,tol,9,0.09,0.002823906569588626,1.6235528094109615e-16,1.99998,,,,2,-1,1.0663,-0.265201
irregular,160,0.025,6762,19200,1.0,False,non-finite step,18,0.85,0.0004894068742434823,5.788005639552923e-07,1.9999,1.99691,-0.00309,-0.124,2,2,0.97662,0.092237
irregular,160,0.025,6762,19200,1.5,False,cap,60,2.83,0.000728734342431338,1.7149989034857914e-06,1.9999,2.00949,0.00949,0.379,2,160,1.00715,-0.029445
irregular,160,0.025,6762,19200,2.0,False,cap,60,2.84,0.0009680618106191937,2.053111649036406e-06,1.9999,2.0132,0.0132,0.528,2,160,1.00321,-0.013352
irregular,160,0.025,6762,19200,3.0,True,tol,11,0.55,0.001446716746994905,8.01970903481111e-13,1.9999,,,,2,-1,1.0663,-0.265201
