nx,x,u,u_exact_on_mesh
100,0.1,0.528057,0.526696
100,0.3,0.543954,0.542607
100,0.5,0.560453,0.55904
100,0.7,0.577492,0.576004
100,0.9,0.595069,0.593508
100,1.1,0.613196,0.61156
100,1.3,0.631882,0.630168
100,1.5,0.651133,0.649337
100,1.7,0.670956,0.669071
100,1.9,0.691354,0.689372
100,2.1,0.712328,0.710241
100,2.3,0.733879,0.731676
100,2.5,0.756004,0.753673
100,2.7,0.7787,0.776227
100,2.9,0.801961,0.79933
100,3.1,0.825779,0.822969
100,3.3,0.850146,0.847132
100,3.5,0.875052,0.871802
100,3.7,0.900485,0.896959
100,3.9,0.926434,0.922581
100,4.1,0.952894,0.948645
100,4.3,0.97986,0.97512
100,4.5,1.007344,1.001978
100,4.7,1.035377,1.029185
100,4.9,1.064045,1.056706
100,5.1,1.093551,1.084503
100,5.3,1.124436,1.112538
100,5.5,1.158578,1.140768
100,5.7,1.181628,1.169152
100,5.9,1.200722,1.197647
100,6.1,1.216,1.216669
100,6.3,1.228709,1.226169
100,6.5,1.240287,1.235671
100,6.7,1.251225,1.245175
100,6.9,1.26178,1.254677
100,7.1,1.272073,1.264178
100,7.3,1.282193,1.273674
100,7.5,1.292175,1.283165
100,7.7,1.302064,1.292649
100,7.9,1.311865,1.302125
100,8.1,1.321607,1.31159
100,8.3,1.331286,1.321044
100,8.5,1.340922,1.330484
100,8.7,1.350505,1.339909
100,8.9,1.360055,1.349318
100,9.1,1.369555,1.35871
100,9.3,1.379024,1.368082
100,9.5,1.388439,1.377433
100,9.7,1.397814,1.386763
100,9.9,1.407113,1.396069
100,10.1,1.41632,1.40535
100,10.3,1.425338,1.414605
100,10.5,1.434019,1.423833
100,10.7,1.441964,1.433032
100,10.9,1.44833,1.442201
100,11.1,1.451052,1.451338
100,11.3,1.445145,1.460444
100,11.5,1.419134,1.469515
100,11.7,1.344734,1.478552
100,11.9,1.188348,1.486858
100,12.1,0.962579,0.931921
100,12.3,0.927262,0.9233
100,12.5,0.918562,0.914728
100,12.7,0.909919,0.906205
100,12.9,0.901333,0.897733
100,13.1,0.892806,0.889312
100,13.3,0.884336,0.880943
100,13.5,0.875925,0.872627
100,13.7,0.867573,0.864365
100,13.9,0.85928,0.856158
100,14.1,0.851046,0.848006
100,14.3,0.842872,0.83991
100,14.5,0.834759,0.831871
100,14.7,0.826706,0.823889
100,14.9,0.818714,0.815964
100,15.1,0.810783,0.808098
100,15.3,0.802914,0.800291
100,15.5,0.795107,0.792543
100,15.7,0.787362,0.784855
100,15.9,0.779679,0.777228
100,16.1,0.772059,0.76966
100,16.3,0.764503,0.762154
100,16.5,0.757009,0.754709
100,16.7,0.749578,0.747325
100,16.9,0.742211,0.740003
100,17.1,0.734907,0.732743
100,17.3,0.727667,0.725546
100,17.5,0.720491,0.71841
100,17.7,0.713379,0.711337
100,17.9,0.70633,0.704327
100,18.1,0.699346,0.697379
100,18.3,0.692425,0.690494
100,18.5,0.685568,0.683672
100,18.7,0.678775,0.676913
100,18.9,0.672046,0.670216
100,19.1,0.66538,0.663582
100,19.3,0.658778,0.657011
100,19.5,0.652238,0.650502
100,19.7,0.645761,0.644056
100,19.9,0.639358,0.637672
200,0.05,0.523626,0.522783
200,0.15,0.531344,0.530609
200,0.25,0.539283,0.538565
200,0.35,0.54738,0.54665
200,0.45,0.555616,0.554866
200,0.55,0.563987,0.563214
200,0.65,0.57249,0.571695
200,0.75,0.581128,0.580312
200,0.85,0.5899,0.589063
200,0.95,0.598809,0.597952
200,1.05,0.607855,0.606978
200,1.15,0.617039,0.616143
200,1.25,0.626364,0.625447
200,1.35,0.635828,0.63489
200,1.45,0.645434,0.644475
200,1.55,0.655182,0.6542
200,1.65,0.665071,0.664067
200,1.75,0.675104,0.674075
200,1.85,0.685279,0.684226
200,1.95,0.695597,0.694518
200,2.05,0.706058,0.704953
200,2.15,0.716662,0.715529
200,2.25,0.727408,0.726246
200,2.35,0.738297,0.737105
200,2.45,0.749328,0.748104
200,2.55,0.760499,0.759243
200,2.65,0.771812,0.77052
200,2.75,0.783263,0.781935
200,2.85,0.794853,0.793486
200,2.95,0.806581,0.805173
200,3.05,0.818444,0.816993
200,3.15,0.830442,0.828945
200,3.25,0.842573,0.841027
200,3.35,0.854835,0.853237
200,3.45,0.867227,0.865572
200,3.55,0.879746,0.878031
200,3.65,0.892391,0.89061
200,3.75,0.905159,0.903307
200,3.85,0.918048,0.91612
200,3.95,0.931056,0.929043
200,4.05,0.944181,0.942076
200,4.15,0.957422,0.955213
200,4.25,0.970775,0.968452
200,4.35,0.98424,0.981788
200,4.45,0.997815,0.995218
200,4.55,1.011501,1.008738
200,4.65,1.025296,1.022342
200,4.75,1.039205,1.036028
200,4.85,1.053229,1.049789
200,4.95,1.067378,1.063623
200,5.05,1.081664,1.077522
200,5.15,1.096109,1.091484
200,5.25,1.11075,1.105503
200,5.35,1.125655,1.119573
200,5.45,1.140953,1.133689
200,5.55,1.156932,1.147847
200,5.65,1.170099,1.16204
200,5.75,1.181917,1.176264
200,5.85,1.192894,1.190513
200,5.95,1.202413,1.204781
200,6.05,1.210334,1.214294
200,6.15,1.217095,1.219043
200,6.25,1.223258,1.223793
200,6.35,1.229047,1.228544
200,6.45,1.234593,1.233295
200,6.55,1.239968,1.238047
200,6.65,1.245223,1.242799
200,6.75,1.250385,1.24755
200,6.85,1.255481,1.252302
200,6.95,1.26052,1.257053
200,7.05,1.265519,1.261803
200,7.15,1.27048,1.266553
200,7.25,1.275415,1.271301
200,7.35,1.280324,1.276048
200,7.45,1.285213,1.280794
200,7.55,1.290083,1.285537
200,7.65,1.29494,1.290279
200,7.75,1.29978,1.295019
200,7.85,1.30461,1.299757
200,7.95,1.309427,1.304493
200,8.05,1.314235,1.309225
200,8.15,1.319031,1.313955
200,8.25,1.32382,1.318682
200,8.35,1.328598,1.323405
200,8.45,1.333371,1.328125
200,8.55,1.338132,1.332842
200,8.65,1.342889,1.337555
200,8.75,1.347635,1.342264
200,8.85,1.352377,1.346968
200,8.95,1.357108,1.351668
200,9.05,1.361835,1.356364
200,9.15,1.366552,1.361055
200,9.25,1.371265,1.365741
200,9.35,1.375967,1.370422
200,9.45,1.380665,1.375098
200,9.55,1.385353,1.379769
200,9.65,1.390036,1.384433
200,9.75,1.394709,1.389092
200,9.85,1.399377,1.393745
200,9.95,1.404035,1.398392
200,10.05,1.408688,1.403033
200,10.15,1.413331,1.407667
200,10.25,1.417968,1.412295
200,10.35,1.422594,1.416916
200,10.45,1.427215,1.42153
200,10.55,1.431824,1.426136
200,10.65,1.436425,1.430736
200,10.75,1.441011,1.435328
200,10.85,1.44558,1.439912
200,10.95,1.450114,1.444489
200,11.05,1.454589,1.449058
200,11.15,1.458929,1.453619
200,11.25,1.46298,1.458171
200,11.35,1.466363,1.462716
200,11.45,1.468204,1.467252
200,11.55,1.466362,1.471779
200,11.65,1.455813,1.476297
200,11.75,1.423905,1.480807
200,11.85,1.34657,1.485307
200,11.95,1.181462,1.488409
200,12.05,0.955315,0.934083
200,12.15,0.931661,0.92976
200,12.25,0.927318,0.925449
200,12.35,0.922988,0.921151
200,12.45,0.918673,0.916865
200,12.55,0.91437,0.912591
200,12.65,0.910081,0.908329
200,12.75,0.905805,0.90408
200,12.85,0.901543,0.899844
200,12.95,0.897295,0.895621
200,13.05,0.893059,0.89141
200,13.15,0.888838,0.887213
200,13.25,0.88463,0.883028
200,13.35,0.880437,0.878857
200,13.45,0.876257,0.874699
200,13.55,0.872091,0.870555
200,13.65,0.867939,0.866424
200,13.75,0.863801,0.862307
200,13.85,0.859678,0.858203
200,13.95,0.855568,0.854113
200,14.05,0.851474,0.850037
200,14.15,0.847393,0.845975
200,14.25,0.843327,0.841927
200,14.35,0.839276,0.837893
200,14.45,0.835239,0.833873
200,14.55,0.831216,0.829868
200,14.65,0.827209,0.825877
200,14.75,0.823216,0.8219
200,14.85,0.819238,0.817938
200,14.95,0.815275,0.81399
200,15.05,0.811327,0.810057
200,15.15,0.807394,0.806139
200,15.25,0.803476,0.802236
200,15.35,0.799574,0.798347
200,15.45,0.795686,0.794473
200,15.55,0.791813,0.790614
200,15.65,0.787956,0.78677
200,15.75,0.784114,0.782941
200,15.85,0.780288,0.779127
200,15.95,0.776476,0.775328
200,16.05,0.77268,0.771545
200,16.15,0.7689,0.767776
200,16.25,0.765135,0.764023
200,16.35,0.761386,0.760285
200,16.45,0.757652,0.756562
200,16.55,0.753933,0.752855
200,16.65,0.75023,0.749163
200,16.75,0.746543,0.745487
200,16.85,0.742872,0.741826
200,16.95,0.739216,0.738181
200,17.05,0.735576,0.734551
200,17.15,0.731951,0.730936
200,17.25,0.728343,0.727337
200,17.35,0.72475,0.723754
200,17.45,0.721173,0.720186
200,17.55,0.717611,0.716634
200,17.65,0.714065,0.713098
200,17.75,0.710536,0.709577
200,17.85,0.707021,0.706072
200,17.95,0.703523,0.702582
200,18.05,0.700041,0.699108
200,18.15,0.696574,0.69565
200,18.25,0.693123,0.692208
200,18.35,0.689688,0.688781
200,18.45,0.686269,0.68537
200,18.55,0.682866,0.681975
200,18.65,0.679478,0.678595
200,18.75,0.676106,0.675231
200,18.85,0.67275,0.671883
200,18.95,0.66941,0.66855
200,19.05,0.666086,0.665233
200,19.15,0.662777,0.661932
200,19.25,0.659484,0.658646
200,19.35,0.656207,0.655376
200,19.45,0.652945,0.652122
200,19.55,0.649698,0.648883
200,19.65,0.646468,0.64566
200,19.75,0.643253,0.642452
200,19.85,0.640057,0.63926
200,19.95,0.636894,0.636084
400,0.025,0.521477,0.520842
400,0.075,0.525242,0.524723
400,0.125,0.529103,0.528637
400,0.175,0.533023,0.532582
400,0.225,0.53699,0.53656
400,0.275,0.540998,0.54057
400,0.325,0.545043,0.544612
400,0.375,0.549124,0.548687
400,0.425,0.553239,0.552795
400,0.475,0.557387,0.556936
400,0.525,0.561569,0.56111
400,0.575,0.565784,0.565317
400,0.625,0.570032,0.569558
400,0.675,0.574313,0.573833
400,0.725,0.578628,0.578141
400,0.775,0.582977,0.582483
400,0.825,0.587359,0.586858
400,0.875,0.591776,0.591268
400,0.925,0.596226,0.595713
400,0.975,0.600711,0.600191
400,1.025,0.60523,0.604704
400,1.075,0.609783,0.609252
400,1.125,0.614371,0.613834
400,1.175,0.618994,0.618451
400,1.225,0.623652,0.623103
400,1.275,0.628345,0.62779
400,1.325,0.633072,0.632512
400,1.375,0.637835,0.637269
400,1.425,0.642634,0.642061
400,1.475,0.647467,0.646888
400,1.525,0.652336,0.651751
400,1.575,0.65724,0.656649
400,1.625,0.66218,0.661582
400,1.675,0.667155,0.666551
400,1.725,0.672166,0.671555
400,1.775,0.677212,0.676595
400,1.825,0.682294,0.68167
400,1.875,0.687412,0.686781
400,1.925,0.692565,0.691927
400,1.975,0.697753,0.697109
400,2.025,0.702978,0.702326
400,2.075,0.708238,0.707579
400,2.125,0.713533,0.712867
400,2.175,0.718864,0.71819
400,2.225,0.724231,0.723549
400,2.275,0.729632,0.728943
400,2.325,0.73507,0.734373
400,2.375,0.740542,0.739837
400,2.425,0.74605,0.745337
400,2.475,0.751593,0.750871
400,2.525,0.757171,0.75644
400,2.575,0.762783,0.762045
400,2.625,0.768431,0.767683
400,2.675,0.774113,0.773356
400,2.725,0.77983,0.779064
400,2.775,0.785581,0.784806
400,2.825,0.791367,0.790582
400,2.875,0.797187,0.796391
400,2.925,0.80304,0.802235
400,2.975,0.808927,0.808111
400,3.025,0.814848,0.814022
400,3.075,0.820803,0.819965
400,3.125,0.82679,0.825941
400,3.175,0.83281,0.831949
400,3.225,0.838863,0.83799
400,3.275,0.844949,0.844064
400,3.325,0.851067,0.850169
400,3.375,0.857216,0.856305
400,3.425,0.863398,0.862473
400,3.475,0.86961,0.868672
400,3.525,0.875854,0.874901
400,3.575,0.882129,0.881161
400,3.625,0.888435,0.887451
400,3.675,0.89477,0.89377
400,3.725,0.901136,0.900119
400,3.775,0.907531,0.906496
400,3.825,0.913956,0.912902
400,3.875,0.920409,0.919337
400,3.925,0.926891,0.925799
400,3.975,0.933402,0.932288
400,4.025,0.93994,0.938804
400,4.075,0.946506,0.945347
400,4.125,0.953099,0.951916
400,4.175,0.959719,0.95851
400,4.225,0.966365,0.96513
400,4.275,0.973038,0.971774
400,4.325,0.979737,0.978442
400,4.375,0.986461,0.985134
400,4.425,0.99321,0.991849
400,4.475,0.999984,0.998587
400,4.525,1.006783,1.005347
400,4.575,1.013607,1.012128
400,4.625,1.020454,1.018931
400,4.675,1.027325,1.025754
400,4.725,1.034221,1.032597
400,4.775,1.04114,1.039459
400,4.825,1.048083,1.04634
400,4.875,1.05505,1.053239
400,4.925,1.062041,1.060156
400,4.975,1.069057,1.067089
400,5.025,1.076098,1.07404
400,5.075,1.083165,1.081005
400,5.125,1.090259,1.087986
400,5.175,1.097383,1.094982
