level,n_dof,m_inf,converged,clamped,usable,gamma,cl_p,x_shock,m_max,res_final,n_newton,wall_s
medium,21874,0.72,True,False,True,0.12669615,0.253145,0.2949553827433292,1.14826,2.6132202276522774e-13,10,8.9
medium,21874,0.73,True,False,True,0.1319638,0.263575,0.3335436393526664,1.18127,4.609345980108296e-12,11,1.3
medium,21874,0.74,True,False,True,0.13886341,0.277214,0.37487848237587285,1.21584,2.299918640949711e-13,11,1.3
medium,21874,0.75,True,False,True,0.14817577,0.295573,0.4227483473901444,1.24815,2.996683523383721e-13,16,1.7
medium,21874,0.76,True,False,True,0.16108104,0.320923,0.472559026393484,1.28207,5.877684788308888e-11,18,1.9
medium,21874,0.77,True,False,True,0.18008622,0.358199,0.5308834583187702,1.31749,2.294518451213812e-13,30,2.8
medium,21874,0.78,True,False,True,0.20968341,0.416091,0.5926922544190847,1.35619,2.1339610415521107e-13,23,2.6
medium,21874,0.79,True,False,True,0.26123154,0.516562,0.672625067217066,1.39687,2.385321420928318e-13,37,4.3
medium,21874,0.8,False,False,False,0.36809959,0.724151,0.8016868248718949,1.4594,1.8435903990923959e-06,80,9.2
medium,21874,0.7925,True,False,True,0.28182797,0.556824,0.7023979981492267,1.40862,2.0544813143922012e-13,11,1.4
medium,21874,0.795,True,False,True,0.30620051,0.604243,0.7323607512887388,1.42675,2.7314858274230243e-13,27,2.6
medium,21874,0.7975,True,False,True,0.33415665,0.658468,0.7634990621497241,1.44349,2.3226445192983954e-13,28,2.7
medium,21874,0.8,True,False,True,0.36805683,0.724063,0.8016324241219017,1.45937,1.3000694682879466e-12,27,3.1
medium,21874,0.8025,False,False,False,0.41303788,0.809206,0.8333224454942231,1.90273,0.00013100391178358972,80,8.2
