level,n_dof,m_inf,converged,clamped,usable,gamma,cl_p,x_shock,m_max,res_final,n_newton,wall_s
coarse,6106,0.72,True,False,True,0.1217007,0.242388,0.30729048214252314,1.1198,2.83658959367114e-13,7,2.3
coarse,6106,0.73,True,False,True,0.12585971,0.250471,0.34426934220598626,1.14875,5.285025182415154e-11,6,0.2
coarse,6106,0.74,True,False,True,0.13075018,0.259903,0.3820445043994253,1.17692,3.480878660632504e-13,5,0.2
coarse,6106,0.75,True,False,True,0.13633309,0.270534,0.4201342396214591,1.20509,4.2680017592854114e-13,5,0.2
coarse,6106,0.76,True,False,True,0.14297561,0.283107,0.45866794989887993,1.23272,4.067154583943995e-13,5,0.2
coarse,6106,0.77,True,False,True,0.15159107,0.29946,0.49821486603317044,1.26231,2.9956918715086676e-13,6,0.2
coarse,6106,0.78,True,False,True,0.16309891,0.321369,0.5393083352984801,1.29041,6.869914902995394e-12,11,0.3
coarse,6106,0.79,True,False,True,0.17907706,0.351939,0.5849406204723075,1.32072,4.502536903610399e-13,11,0.3
coarse,6106,0.8,True,False,True,0.19926328,0.390449,0.6397014900674204,1.35001,8.339817780262461e-12,7,0.3
coarse,6106,0.81,True,False,True,0.22543816,0.440244,0.6979222855006553,1.3789,3.8414423672221595e-13,7,0.2
coarse,6106,0.82,True,False,True,0.25238578,0.49101,0.7454718539615611,1.405,3.084633530266118e-13,15,0.4
coarse,6106,0.83,True,False,True,0.27187162,0.526709,0.7981947591075721,1.4259,3.379020433085772e-13,10,0.3
coarse,6106,0.84,True,False,True,0.27688196,0.533998,0.8365678226852264,1.44016,8.331634017569729e-13,11,0.4
coarse,6106,0.85,True,False,True,0.26984562,0.517994,0.8586422029903614,1.4472,2.5922098825826885e-13,5,0.2
coarse,6106,0.86,True,False,True,0.26246305,0.501461,0.8808066265560528,1.45292,4.560416094431444e-13,11,0.3
fine,82356,0.72,True,False,True,0.12769525,0.255228,0.2973457831594487,1.15638,1.8636186464428095e-13,17,38.7
fine,82356,0.74,False,False,False,0.14096239,0.281417,0.3720256556805706,1.31682,3.2577028855291437e-09,80,59.7
fine,82356,0.725,True,False,True,0.13035619,0.26052,0.3172073792530353,1.17448,1.3357166753740612e-13,19,8.6
fine,82356,0.73,True,False,True,0.13339991,0.26657,0.3378236972655019,1.19152,1.3010626436098089e-12,20,9.3
fine,82356,0.735,True,False,True,0.13691867,0.273559,0.3590715342816923,1.20876,1.3886826907368915e-13,24,10.7
fine,82356,0.74,True,False,True,0.14097911,0.281567,0.37784511777869695,1.22585,1.1627286695309634e-13,9,5.9
fine,82356,0.745,True,False,True,0.14583383,0.291233,0.40773276587740104,1.24204,4.069588098500089e-11,13,9.1
fine,82356,0.75,True,False,True,0.15155097,0.302557,0.43324183466907884,1.25842,8.13815213052409e-11,16,9.8
fine,82356,0.755,False,False,False,0.15800188,0.314668,0.44353668959953885,1.52481,8.122996862968932e-08,80,38.3
