method,m,n_iter,wall_s,residual
conf_newton,0.7,3,44.755,6.258094674105249e-06
conf_newton,0.75,1,16.473,9.278717082335156e-06
conf_newton,0.8,2,27.211,9.491622979713829e-06
conf_newton,0.84,12,52.14,7.831035149711502e-15
ls_picard,0.6,26,110.588,2.013446732007651e-06
ls_picard,0.64,21,80.694,8.106191842216504e-06
ls_picard,0.68,200,327.004,0.00044030241172149376
ls_picard,0.7200000000000001,200,369.766,0.00017034501415148784
ls_picard,0.7600000000000001,44,130.444,9.918853947965545e-06
ls_picard,0.8000000000000002,144,295.805,9.789203851084949e-06
ls_picard,0.84,200,1019.263,2.900819676909805e-05
ls_newton,0.6,5,164.057,3.2205373784455205e-11
ls_newton,0.65,19,91.905,3.199200626635701e-11
ls_newton,0.7000000000000001,23,100.417,3.48165801744571e-11
ls_newton,0.7500000000000001,16,89.967,2.821577693712385e-11
ls_newton,0.8000000000000002,19,123.258,6.07526147444748e-11
ls_newton,0.84,16,95.442,6.941691665929284e-11
