h_wall,r_far,n_nodes,n_wall,cl,cl_exact,cl_rel,cp_rms,cp_max
0.04,20.0,2402,162,1.165912196e+00,1.200000000e+00,2.840650319e-02,1.419259209e-01,2.658805683e-01
0.04,25.0,2884,162,1.154938140e+00,1.200000000e+00,3.755155020e-02,1.453802609e-01,2.917572517e-01
0.04,30.0,3358,162,1.178304124e+00,1.200000000e+00,1.807989696e-02,1.373300571e-01,2.468994468e-01
0.04,35.0,3874,162,1.160622011e+00,1.200000000e+00,3.281499068e-02,1.399781563e-01,2.733290147e-01
0.04,40.0,4442,162,1.165078742e+00,1.200000000e+00,2.910104817e-02,1.319586993e-01,2.711293142e-01
0.04,45.0,4852,162,1.177319169e+00,1.200000000e+00,1.890069273e-02,1.377241159e-01,2.628552750e-01
0.04,50.0,5258,162,1.163396225e+00,1.200000000e+00,3.050314607e-02,1.356707263e-01,2.626129782e-01
0.04,55.0,5840,162,1.153186920e+00,1.200000000e+00,3.901089979e-02,1.361130119e-01,2.639450183e-01
0.02,20.0,8308,318,1.188360466e+00,1.200000000e+00,9.699611436e-03,4.863863548e-02,9.274078633e-02
0.02,25.0,9614,318,1.188204719e+00,1.200000000e+00,9.829400485e-03,4.938191290e-02,9.444834492e-02
0.02,30.0,11000,318,1.188565532e+00,1.200000000e+00,9.528723687e-03,4.708234900e-02,9.065241114e-02
0.02,35.0,12428,318,1.189103672e+00,1.200000000e+00,9.080273557e-03,4.591914183e-02,8.986395725e-02
0.02,40.0,13884,318,1.188446715e+00,1.200000000e+00,9.627737501e-03,4.636364001e-02,9.108326295e-02
0.02,45.0,15228,318,1.189413849e+00,1.200000000e+00,8.821792144e-03,4.599292296e-02,8.729761473e-02
0.02,50.0,16762,318,1.188237379e+00,1.200000000e+00,9.802183946e-03,4.707069773e-02,9.304902414e-02
0.02,55.0,18028,318,1.188430392e+00,1.200000000e+00,9.641339934e-03,4.592729979e-02,8.835164212e-02
