gate,column,n_compared,worst_rel_8t_vs_committed_16t,verdict
D05_euler_naca0012,residual,12,3.47e+06,unstable
D05_euler_naca0012,cp_rms_upper,12,1.22e-01,unstable
D05_euler_naca0012,x_shock,8,3.69e-02,unstable
D05_euler_naca0012,cd,12,6.98e-03,unstable
D05_euler_naca0012,cp_rms_lower,12,5.64e-03,unstable
D05_euler_naca0012,cl,12,3.59e-03,unstable
D06_euler_rae2822,residual,4,2.97e-01,unstable
D06_euler_rae2822,cp_rms_upper,4,4.93e-04,unstable
D06_euler_rae2822,cd,4,1.75e-04,unstable
D06_euler_rae2822,cp_rms_lower,4,1.27e-04,unstable
D06_euler_rae2822,cl,4,5.45e-05,unstable
D06_euler_rae2822,x_shock,4,3.89e-05,unstable
D07_euler_onera_m6,residual,2,1.55e-02,unstable
D07_euler_onera_m6,cp_rms_upper_eta0.20,2,0.00e+00,stable
D07_euler_onera_m6,cp_rms_upper_eta0.44,2,0.00e+00,stable
D07_euler_onera_m6,cp_rms_upper_eta0.65,2,0.00e+00,stable
D07_euler_onera_m6,cp_rms_upper_eta0.80,2,0.00e+00,stable
D07_euler_onera_m6,cp_rms_upper_eta0.90,2,0.00e+00,stable
D07_euler_onera_m6,cp_rms_upper_eta0.96,2,0.00e+00,stable
D07_euler_onera_m6,cp_rms_upper_eta0.99,2,0.00e+00,stable
D07_euler_onera_m6,cl,2,0.00e+00,stable
D07_euler_onera_m6,mach_max,2,0.00e+00,stable
D07_euler_onera_m6,s_ref_discrete,2,0.00e+00,stable
D08_rans_naca0012,cp_rms_lower_sa,4,2.01e-02,unstable
D08_rans_naca0012,cp_rms_lower_sst,4,1.89e-02,unstable
D08_rans_naca0012,cp_rms_upper_sa,4,9.93e-03,unstable
D08_rans_naca0012,cp_rms_upper_sst,4,4.61e-03,unstable
D08_rans_naca0012,cl,4,3.63e-03,unstable
D08_rans_naca0012,cp_band_width_upper,4,0.00e+00,stable
