x,re_x,H,H_blasius,rel_err_H,cf_sqrt_rex,cf_blasius,rel_err_cf,theta
0.100000,1.000000e+04,2.59043288,2.59110020,2.575396e-04,0.66415049,0.66411467,5.393839e-05,6.64136621e-04
0.146780,1.467799e+04,2.59043288,2.59110020,2.575396e-04,0.66414828,0.66411467,5.060961e-05,8.04622564e-04
0.215443,2.154435e+04,2.59043288,2.59110020,2.575396e-04,0.66414678,0.66411467,4.834176e-05,9.74824701e-04
0.316228,3.162278e+04,2.59043288,2.59110020,2.575396e-04,0.66414575,0.66411467,4.679669e-05,1.18102891e-03
0.464159,4.641589e+04,2.59043288,2.59110020,2.575396e-04,0.66414505,0.66411467,4.574406e-05,1.43085070e-03
0.681292,6.812921e+04,2.59043288,2.59110020,2.575396e-04,0.66414458,0.66411467,4.502691e-05,1.73351644e-03
1.000000,1.000000e+05,2.59043288,2.59110020,2.575396e-04,0.66414425,0.66411467,4.453832e-05,2.10020414e-03
1.467799,1.467799e+05,2.59043288,2.59110020,2.575396e-04,0.66414403,0.66411467,4.420545e-05,2.54445625e-03
2.154435,2.154435e+05,2.59043288,2.59110020,2.575396e-04,0.66414388,0.66411467,4.397867e-05,3.08267983e-03
3.162278,3.162278e+05,2.59043288,2.59110020,2.575396e-04,0.66414378,0.66411467,4.382416e-05,3.73475245e-03
4.641589,4.641589e+05,2.59043288,2.59110020,2.575396e-04,0.66414371,0.66411467,4.371890e-05,4.52475637e-03
6.812921,6.812921e+05,2.59043288,2.59110020,2.575396e-04,0.66414366,0.66411467,4.364719e-05,5.48186788e-03
10.000000,1.000000e+06,2.59043288,2.59110020,2.575396e-04,0.66414363,0.66411467,4.359833e-05,6.64143488e-03
14.677993,1.467799e+06,2.59043288,2.59110020,2.575396e-04,0.66414360,0.66411467,4.356504e-05,8.04628232e-03
21.544347,2.154435e+06,2.59043288,2.59110020,2.575396e-04,0.66414359,0.66411467,4.354236e-05,9.74829380e-03
31.622777,3.162278e+06,2.59043288,2.59110020,2.575396e-04,0.66414358,0.66411467,4.352691e-05,1.18103277e-02
46.415888,4.641589e+06,2.59043288,2.59110020,2.575396e-04,0.66414357,0.66411467,4.351639e-05,1.43085389e-02
68.129207,6.812921e+06,2.59043288,2.59110020,2.575396e-04,0.66414357,0.66411467,4.350922e-05,1.73351907e-02
100.000000,1.000000e+07,2.59043288,2.59110020,2.575396e-04,0.66414356,0.66411467,4.350433e-05,2.10020631e-02
