arm,s,x,turbulent,ue,theta_x,theta_o,H_x,H_o,cf_x,cf_o,ctau_x,ctau_o,march
equil,0.0022800000000000598,0.00044,0,0.14575,1.9e-05,1.801742960036807e-05,2.221,2.2526758359000034,0.08864070328842652,0.08914535438674481,0.0,nan,A_whole
equil,0.0033799999999999386,0.00022,0,0.23559,1.9e-05,1.84728561680525e-05,2.234,2.2405772784162785,0.05430371528525322,0.05472003905591498,0.0,nan,A_whole
equil,0.0044599999999999085,8e-05,0,0.32491,1.8e-05,1.842331070343707e-05,2.223,2.238106187463183,0.040268453286085346,0.039923479633018004,0.0,nan,A_whole
equil,0.00550000000000006,1e-05,0,0.41276,1.8e-05,1.830417537918682e-05,2.232,2.240834145752467,0.03139622193137846,0.03150876560314283,0.0,nan,A_whole
equil,0.006529999999999925,1e-05,0,0.49704,1.9e-05,1.8470133929884884e-05,2.234,2.246484242543551,0.02581271793754258,0.02572420542740706,0.0,nan,A_whole
equil,0.00757999999999992,8e-05,0,0.57885,1.9e-05,1.8750052594584424e-05,2.242,2.2446721010209867,0.021589691128414946,0.02181469116994523,0.0,nan,A_whole
equil,0.00865999999999989,0.00022,0,0.66635,1.9e-05,1.8716816534654742e-05,2.218,2.2482421545694873,0.019512532503363048,0.01888811235016455,0.0,nan,A_whole
equil,0.009759999999999991,0.00044,0,0.7425,1.9e-05,1.9382996450389258e-05,2.278,2.264162936694735,0.015490482830550168,0.01600449481795116,0.0,nan,A_whole
equil,0.01088,0.00074,0,0.81863,2e-05,1.9781399477422996e-05,2.236,2.2627974759286977,0.014641387252318226,0.01425117212663713,0.0,nan,A_whole
equil,0.012029999999999985,0.00112,0,0.88647,2.1e-05,2.053519123286572e-05,2.282,2.27677206334624,0.012168040704741517,0.01243054187928853,0.0,nan,A_whole
equil,0.01322000000000001,0.00158,0,0.95224,2.1e-05,2.1208915883926833e-05,2.26,2.2813837487821713,0.011371243138893405,0.011132044093386122,0.0,nan,A_whole
equil,0.014440000000000008,0.00213,0,1.0074,2.2e-05,2.22722442716279e-05,2.305,2.302906902686375,0.00959940316976983,0.00972259885874291,0.0,nan,A_whole
equil,0.015700000000000047,0.00276,0,1.05779,2.3e-05,2.331250954453154e-05,2.297,2.308795117699318,0.008841564001939433,0.008773815698476854,0.0,nan,A_whole
equil,0.01699000000000006,0.00347,0,1.10224,2.4e-05,2.445608278215586e-05,2.315,2.3219912072482978,0.007878623645366636,0.007879983469786266,0.0,nan,A_whole
equil,0.018329999999999957,0.00427,0,1.13865,2.6e-05,2.5863709019343314e-05,2.34,2.3423278110033303,0.006963234954365832,0.0070118779360342455,0.0,nan,A_whole
equil,0.01971999999999996,0.00514,0,1.17425,2.7e-05,2.7068487171953714e-05,2.327,2.341089684290479,0.006580058779404717,0.006507838766560642,0.0,nan,A_whole
equil,0.021159999999999846,0.00611,0,1.20034,2.9e-05,2.8757537965515823e-05,2.375,2.3749355179170406,0.005664150970855507,0.0057183182100766766,0.0,nan,A_whole
equil,0.022659999999999902,0.00716,0,1.22602,3e-05,3.0201831951941716e-05,2.362,2.373646234673278,0.005380124595521308,0.005340306784342978,0.0,nan,A_whole
equil,0.02421999999999991,0.0083,0,1.24464,3.2e-05,3.205461713099764e-05,2.401,2.40461998599935,0.004724591223538819,0.004749370071254185,0.0,nan,A_whole
equil,0.02584999999999993,0.00953,0,1.26243,3.4e-05,3.3742662798670016e-05,2.399,2.4074365407665734,0.0044392727738600335,0.004431009359702244,0.0,nan,A_whole
equil,0.027549999999999963,0.01086,0,1.27704,3.6e-05,3.559102668262291e-05,2.416,2.423394634986531,0.004062345726519137,0.004062844646846771,0.0,nan,A_whole
equil,0.02933999999999992,0.01229,0,1.28898,3.8e-05,3.7563635508705216e-05,2.433,2.4407074710748367,0.0037232102195696812,0.003724413502177701,0.0,nan,A_whole
equil,0.03120999999999996,0.01383,0,1.2989,4e-05,3.959463057740052e-05,2.447,2.455301765379756,0.0034342116508433817,0.0034370593731170114,0.0,nan,A_whole
equil,0.03318999999999994,0.01548,0,1.30693,4.2e-05,4.1741403801959005e-05,2.462,2.470733908389981,0.003169666699691523,0.003172636795923544,0.0,nan,A_whole
equil,0.03527999999999998,0.01726,0,1.31438,4.4e-05,4.386968605757606e-05,2.466,2.4781251809157365,0.0029787077655407624,0.002971467492190053,0.0,nan,A_whole
equil,0.03747999999999996,0.01917,0,1.319,4.6e-05,4.627973256971057e-05,2.492,2.502451360117904,0.0027089927869402754,0.0027152399358845525,0.0,nan,A_whole
equil,0.03981999999999997,0.02123,0,1.3233,4.9e-05,4.865498056002506e-05,2.5,2.511869621601682,0.002540655499055238,0.0025414572166211984,0.0,nan,A_whole
equil,0.04230999999999996,0.02344,0,1.32691,5.1e-05,5.11091655342167e-05,2.507,2.521468194553134,0.0023854282393368947,0.002381486112329861,0.0,nan,A_whole
equil,0.044969999999999954,0.02584,0,1.32883,5.4e-05,5.380577912028882e-05,2.527,2.540931385759227,0.0021978841349546124,0.00219976889452278,0.0,nan,A_whole
equil,0.04780999999999991,0.02842,0,1.33066,5.7e-05,5.649195738643879e-05,2.533,2.5492448200437634,0.002071548582137282,0.002068737515391483,0.0,nan,A_whole
equil,0.05084999999999995,0.03122,0,1.33143,5.9e-05,5.9374062766530794e-05,2.547,2.563922287126288,0.0019292540890747307,0.0019282575800140373,0.0,nan,A_whole
equil,0.05410999999999999,0.03424,0,1.33174,6.2e-05,6.235141591896916e-05,2.557,2.5752372096559366,0.001808820497949207,0.0018076888733703947,0.0,nan,A_whole
equil,0.05762999999999996,0.03753,0,1.33139,6.6e-05,6.550320078949474e-05,2.569,2.588018902812213,0.0016924298377377232,0.0016914635937417967,0.0,nan,A_whole
equil,0.061409999999999965,0.04109,0,1.33118,6.9e-05,6.866447072444352e-05,2.571,2.5919857917441,0.0016094443073197643,0.0016051487234857794,0.0,nan,A_whole
equil,0.06548999999999994,0.04496,1,1.33054,7.2e-05,7.19974827353523e-05,2.578,2.5851375883298213,0.0015194849729792495,0.0015039219412596688,0.000112805641,0.005772746850046755,A_whole
