state,arm,n_st,p,T
W M0.76,P0,7,0.2011904761904762,1.68866684716686
W M0.76,P1,6,0.17222222222222222,0.747278129665037
W M0.76,P2,6,0.33611111111111114,0.0049347518209993235
W M0.76,P3,6,0.05,0.0022583376753519285
W M0.76,S1,7,0.005555555555555556,0.6028417182317555
W M0.76,S2,6,0.08333333333333333,0.002819740553291742
W M0.76,S3,6,0.12222222222222222,0.0028977743975703444
W M0.78,P0,7,0.201984126984127,1.5011406927316722
W M0.78,P1,7,0.05119047619047619,0.6966031494189194
W M0.78,P2,7,0.011111111111111112,0.0029076499224205713
W M0.78,P3,6,0.002777777777777778,0.001924110947817946
W M0.78,S1,7,0.005555555555555556,0.6113830669139513
W M0.78,S2,7,0.0003968253968253968,0.04581014483363566
W M0.78,S3,6,0.002777777777777778,0.00304987142434286
W M0.80,P0,7,0.15714285714285714,1.3070637656512356
W M0.80,P1,7,0.010714285714285714,0.6031264715602829
W M0.80,P2,7,0.02619047619047619,0.6435052150849963
W M0.80,P3,7,0.03650793650793651,0.0022417106891409336
W M0.80,S1,7,0.01746031746031746,0.6035409810723619
W M0.80,S2,7,0.005952380952380952,0.6028544211099831
W M0.80,S3,7,0.024206349206349207,0.003067652790677344
W M0.82,P0,7,0.15317460317460319,0.938380439704242
W M0.82,P1,7,0.00873015873015873,0.483163300485472
W M0.82,P2,7,0.03373015873015873,0.538932483903241
W M0.82,P3,7,0.18571428571428572,0.5445154969535249
W M0.82,S1,7,0.009126984126984128,0.4413412617001205
W M0.82,S2,7,0.026587301587301587,0.49128645667427934
W M0.82,S3,7,0.007936507936507936,0.0008361943432551904
W M0.8395,P0,7,0.15555555555555556,0.8058059591541714
W M0.8395,P1,7,0.009523809523809525,0.36053481963511885
W M0.8395,P2,7,0.08214285714285714,0.3955401287394251
W M0.8395,P3,7,0.03531746031746032,0.3924550307673462
W M0.8395,S1,7,0.01865079365079365,0.3776550841247981
W M0.8395,S2,7,0.01904761904761905,0.37543287876801973
W M0.8395,S3,7,0.061507936507936505,0.4047189267957295
W M0.86,P0,7,0.173015873015873,0.5630290112424968
W M0.86,P1,7,0.04563492063492063,0.27064942670426545
W M0.86,P2,7,0.012301587301587301,0.25451488605334793
W M0.86,P3,7,0.04563492063492063,0.25026604260754215
W M0.86,S1,7,0.007142857142857143,0.24287533313248447
W M0.86,S2,7,0.04404761904761905,0.2762013376924853
W M0.86,S3,7,0.04404761904761905,0.27586520700501654
W M0.88,P0,7,0.22896825396825396,0.44910574426234595
W M0.88,P1,7,0.04801587301587302,0.2090646675895013
W M0.88,P2,7,0.06626984126984127,0.214612578170771
W M0.88,P3,7,0.04801587301587302,0.20313143833773625
W M0.88,S1,7,0.04801587301587302,0.20290538263905109
W M0.88,S2,7,0.07698412698412699,0.2139761479572774
W M0.88,S3,7,0.08015873015873017,0.21947020098270065
WB M0.78,P0,7,0.04722222222222222,0.6598894971036102
WB M0.78,P1,7,0.036904761904761905,0.7029017557401709
WB M0.78,P2,7,0.08333333333333333,0.6970682178254076
WB M0.78,P3,6,0.13333333333333333,0.0034800798588544278
WB M0.78,S1,7,0.06031746031746032,0.7091950969690008
WB M0.78,S2,6,0.11666666666666667,0.0045761462187105225
WB M0.78,S3,6,0.09166666666666666,0.004593329778259696
WB M0.82,P0,7,0.04007936507936508,0.5356889568096681
WB M0.82,P1,7,0.058333333333333334,0.589249411435418
WB M0.82,P2,7,0.025,0.5769381527054551
WB M0.82,P3,7,0.02619047619047619,0.0028466414308655668
WB M0.82,S1,7,0.011507936507936509,0.5712517289766855
WB M0.82,S2,7,0.05634920634920635,0.5894963924580656
WB M0.82,S3,7,0.025,0.5838821375952763
WB M0.86,P0,7,0.09325396825396826,0.34713914833136644
WB M0.86,P1,7,0.040873015873015874,0.2528874639563792
WB M0.86,P2,7,0.040873015873015874,0.2568117731103813
WB M0.86,P3,7,0.040873015873015874,0.2515190052971544
WB M0.86,S1,7,0.09206349206349207,0.3472184958997544
WB M0.86,S2,7,0.040873015873015874,0.26001490476609146
WB M0.86,S3,7,0.04246031746031746,0.25319447246165927
WB M0.88,P0,7,0.07539682539682539,0.20073686179715447
WB M0.88,P1,7,0.10396825396825397,0.18394057212772608
WB M0.88,P2,7,0.21626984126984128,0.19036455224076113
WB M0.88,P3,7,0.28095238095238095,0.1943011159316961
WB M0.88,S1,7,0.0626984126984127,0.20035417146495837
WB M0.88,S2,7,0.2357142857142857,0.18816523294427542
WB M0.88,S3,7,0.24365079365079365,0.19688829556401669
WB xcoarse,P0,7,0.05119047619047619,0.2279041163511356
WB xcoarse,P1,7,0.06706349206349206,0.22748227334952606
WB xcoarse,P2,7,0.07539682539682539,0.22906880648600245
WB xcoarse,P3,7,0.04285714285714286,0.18141271413204318
WB xcoarse,S1,7,0.048412698412698414,0.2480486473076041
WB xcoarse,S2,7,0.048412698412698414,0.22677697248391923
WB xcoarse,S3,7,0.08214285714285714,0.20090157315640012
WB medium,P0,7,0.00992063492063492,0.22646614875594162
WB medium,P1,7,0.011111111111111112,0.2260245699943084
WB medium,P2,7,0.013888888888888888,0.22276027869051435
WB medium,P3,7,0.013095238095238096,0.22281919017314689
WB medium,S1,7,0.03015873015873016,0.22674646902435097
WB medium,S2,7,0.011111111111111112,0.22538827781360413
WB medium,S3,7,0.010714285714285714,0.22276594229993368
