iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,1.600786e-01,8.829559e-10,1.818830e-01,1.076583e+00,,,,,0.000000e+00,,0.02
1,8.002442e-02,3.423466e-10,9.083107e-02,2.688380e-01,1.000000e-06,0.500000,,,6.460543e+01,,0.35
2,4.000985e-02,1.166825e-09,4.534872e-02,6.719991e-02,3.333333e-07,0.500000,1.0004,0.9993,3.227798e+01,,0.69
3,1.997844e-02,1.904820e-09,3.083619e-02,1.872443e-02,1.111111e-07,0.500000,0.5553,0.9217,1.620194e+01,,1.02
4,1.995893e-02,2.186894e-09,3.080738e-02,1.868621e-02,3.703704e-08,0.000977,0.0024,0.0016,1.333600e-01,,1.49
5,1.976995e-02,2.512902e-09,3.062028e-02,1.840317e-02,1.234568e-08,0.007812,6.5164,7.4708,6.810470e-01,,1.93
6,1.727255e-02,2.233521e-09,3.679862e-02,1.622065e-02,4.115226e-09,0.125000,,8.2708,1.936286e+00,,2.31
7,9.296142e-03,3.959459e-10,2.356890e-02,1.003337e-02,1.371742e-09,0.500000,,3.8053,6.725366e+00,,2.64
8,9.908097e-03,3.077458e-10,2.213650e-02,8.705764e-03,4.572474e-10,0.062500,0.1407,0.2955,1.043381e+00,,3.05
9,9.897575e-03,3.068388e-10,2.211470e-02,8.682987e-03,1.524158e-10,0.000977,0.0157,0.0185,2.205384e-01,,3.56
10,9.857154e-03,3.052601e-10,2.202837e-02,8.613065e-03,5.080526e-11,0.003906,3.9705,3.0862,3.558790e-02,cap,4.03
