iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,7.779554e-04,8.829559e-10,6.022058e-04,1.824448e-05,,,,,0.000000e+00,,0.02
1,4.858719e-04,4.882000e-08,9.841639e-04,1.086023e-05,1.000000e-06,0.500000,,,3.260647e-01,,0.35
2,4.820706e-04,6.428718e-08,9.760699e-04,1.068367e-05,3.333333e-07,0.007812,,0.0316,5.540575e-03,,0.78
3,4.783810e-04,5.418123e-08,9.679488e-04,1.052140e-05,1.111111e-07,0.007812,1.0117,0.9338,8.052235e-03,,1.18
4,4.487477e-04,6.017137e-08,9.020026e-04,9.544356e-06,3.703704e-08,0.062500,8.4454,6.3676,2.648512e-02,,1.54
5,4.466560e-04,6.010145e-08,8.978903e-04,9.462290e-06,1.234568e-08,0.003906,0.0648,0.0886,2.318501e-03,,1.95
6,4.447613e-04,5.993464e-08,8.942093e-04,9.395552e-06,4.115226e-09,0.003906,0.8990,0.8196,1.650188e-03,,2.40
7,4.426049e-04,5.969162e-08,8.893144e-04,9.316686e-06,1.371742e-09,0.003906,1.3362,1.1909,1.325392e-03,,2.81
8,4.357652e-04,5.876534e-08,8.754457e-04,9.037357e-06,4.572474e-10,0.015625,2.8635,3.6112,5.191063e-03,,3.19
9,4.340025e-04,5.853824e-08,8.703215e-04,8.783291e-06,1.524158e-10,0.003906,0.3735,0.9368,1.696539e-03,,3.59
10,4.188783e-04,5.670784e-08,8.432515e-04,8.609768e-06,5.080526e-11,0.031250,5.3824,0.6997,4.533292e-02,cap,3.97
