k,mdot_max,cl,cd_p,ds_max,ds_change_rel,ds_neg_floored,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_node,inflow_n_pinned,inflow_q_ref
0,0.0,1.057535104179016,0.01942734022837695,,,,,,,,,
1,0.04061184610295222,1.126794733545887,0.03044342658369297,0.004796305517633815,inf,0.0,100.0,False,3.6348923591942023e-06,154.0,6.0,1.2591919325241843
2,0.08759025188341658,1.1147959487236296,0.02990460447057549,0.00537816595931944,0.6025613970671114,9.0,100.0,False,4.3735590110473074e-05,,,
3,0.13741189011831664,1.0838474527047033,0.026998080753908985,0.007458909339997707,0.5783235926165241,15.0,100.0,False,6.006606596890288e-05,,,
4,0.08867025474251637,1.0777629598472924,0.026351375737706115,0.0095395376864673,0.57233597563683,18.0,100.0,False,3.203356331047821e-05,,,
5,0.20837155158581322,1.126981479094556,0.029444850953245685,0.009214329007376345,0.5408552211529998,23.0,100.0,False,4.041080063518696e-05,,,
6,0.20616400885066158,1.1272356225180948,0.029209559037227432,0.008883682534535626,0.30523896787405086,31.0,100.0,False,5.157089396227645e-05,,,
7,0.1425963177548829,1.084872853484931,0.02606699423898866,0.009905130741245511,0.3339626370041212,38.0,100.0,False,6.591002404181335e-05,,,
8,0.1447492207094696,1.0736287875653345,0.02533674392419069,0.009827364296330002,0.14844147558839163,43.0,100.0,False,8.877411002631438e-05,,,
9,0.1297077108049852,0.9963702060782517,0.021145767506568006,0.008666404652473664,0.7280788708600531,43.0,52.0,False,9.045651419436665e-05,,,
10,0.13662236338829892,0.9792389912552737,0.020340248732498366,0.008876226401553305,0.2529236749408472,43.0,11.0,False,,,,
