side,x_c,cp_exp,cp_cfd,diff
upper,0.0048,-0.4069,-0.4579138645233936,-0.051013864523393626
upper,0.006,-0.4995,-0.46733449838171126,0.03216550161828874
upper,0.0073,-0.5985,-0.4775401850615554,0.12095981493844465
upper,0.0087,-0.6438,-0.5072690360076985,0.13653096399230158
upper,0.0104,-0.687,-0.600251907613932,0.08674809238606807
upper,0.0125,-0.7554,-0.7151131019510439,0.04028689804895602
upper,0.0146,-0.8145,-0.8299742962881558,-0.015474296288155776
upper,0.0188,-0.9178,-1.0513048724163139,-0.13350487241631392
upper,0.0271,-0.9037,-1.142399779571829,-0.23869977957182908
upper,0.0375,-1.0183,-1.2099191027606524,-0.19161910276065242
upper,0.05,-0.9833,-1.2242795292202946,-0.24097952922029464
upper,0.0625,-0.8734,-1.2195747008921622,-0.3461747008921623
upper,0.075,-0.8169,-1.2324740021892164,-0.4155740021892165
upper,0.1,-0.8737,-1.2420367316684862,-0.36833673166848613
upper,0.15,-0.9549,-1.2680681365676,-0.3131681365676001
upper,0.2,-0.9771,-1.260254422441036,-0.28315442244103595
upper,0.2208,-0.9756,-1.2565383161655814,-0.2809383161655814
upper,0.25,-1.0017,-1.2603041416243224,-0.2586041416243223
upper,0.28,-1.0243,-1.2557857180370497,-0.23148571803704976
upper,0.3,-1.0258,-1.2513066215415936,-0.2255066215415935
upper,0.325,-1.0244,-1.248106892155273,-0.22370689215527295
upper,0.35,-1.0312,-1.2475304662031734,-0.21633046620317353
upper,0.375,-1.0428,-1.2469750360057013,-0.2041750360057013
upper,0.4,-1.0586,-1.2456738922242823,-0.18707389222428228
upper,0.425,-1.0836,-1.2349129000608712,-0.15131290006087128
upper,0.45,-1.0911,-1.2206747210401292,-0.12957472104012924
upper,0.475,-1.1104,-1.2050461631512823,-0.09464616315128227
upper,0.5,-1.121,-1.1750523121790413,-0.05405231217904127
upper,0.525,-0.9107,-1.1100702850432898,-0.1993702850432898
upper,0.55,-0.6712,-1.0240189596755531,-0.3528189596755531
upper,0.575,-0.6095,-0.901202365162159,-0.29170236516215897
upper,0.6,-0.571,-0.7271992486426363,-0.15619924864263635
upper,0.6196,-0.5436,-0.528019953530728,0.015580046469272024
upper,0.65,-0.4955,-0.4501955268843125,0.04530447311568747
upper,0.6771,-0.4441,-0.4352275079960999,0.008872492003900112
upper,0.7,-0.4051,-0.39469752290210325,0.010402477097896767
upper,0.75,-0.3143,-0.3077901338672126,0.006509866132787423
upper,0.775,-0.2702,-0.28434891255042344,-0.014148912550423443
upper,0.8,-0.2251,-0.2473157383252604,-0.022215738325260415
upper,0.825,-0.1731,-0.20021338375828318,-0.027113383758283177
upper,0.85,-0.1248,-0.14690344317015297,-0.022103443170152975
upper,0.875,-0.0779,-0.09676723915130755,-0.018867239151307558
upper,0.9,-0.0272,-0.05154641146514448,-0.02434641146514448
upper,0.925,0.0189,0.008675373072116813,-0.010224626927883187
upper,0.95,0.0699,0.07089861617029732,0.0009986161702973118
upper,0.975,0.115,0.16978490097355103,0.05478490097355103
upper,0.9875,0.1372,0.31677284026371,0.17957284026371
lower,0.006,0.9331,1.1327932044222286,0.1996932044222286
lower,0.0073,0.8712,1.1290507740160605,0.2578507740160605
lower,0.0087,0.8213,1.1090774427678245,0.28777744276782447
lower,0.0104,0.7646,1.0364256535983702,0.2718256535983703
lower,0.0125,0.7002,0.9466793258008094,0.24647932580080933
lower,0.0146,0.6439,0.8569329980032485,0.21303299800324849
lower,0.0186,0.5619,0.6915307192544722,0.12963071925447223
lower,0.0271,0.4689,0.7088381809689246,0.2399381809689246
lower,0.0375,0.3487,0.4767169008541385,0.12801690085413847
lower,0.05,0.2603,0.4450028120699673,0.1847028120699673
lower,0.0625,0.1978,0.3790777628777301,0.1812777628777301
lower,0.075,0.146,0.28074854433509083,0.13474854433509084
lower,0.1,0.06,0.21365970019268785,0.15365970019268785
lower,0.15,-0.0482,0.08506003265094446,0.13326003265094447
lower,0.25,-0.211,-0.08395904992622062,0.12704095007377936
lower,0.3,-0.2863,-0.15429609757975044,0.13200390242024956
lower,0.325,-0.3259,-0.19551224058073255,0.13038775941926747
lower,0.35,-0.3528,-0.22669915774767757,0.12610084225232243
lower,0.375,-0.3747,-0.24726932171428198,0.127430678285718
lower,0.4,-0.3725,-0.2485800255595585,0.1239199744404415
lower,0.425,-0.3481,-0.2315462827732575,0.11655371722674251
lower,0.45,-0.3146,-0.20195127794065806,0.11264872205934193
lower,0.475,-0.27,-0.16722018391027696,0.10277981608972306
lower,0.5,-0.2267,-0.13280102852818448,0.09389897147181553
lower,0.525,-0.1818,-0.08718735793215464,0.09461264206784535
lower,0.55,-0.1323,-0.03856816410554467,0.09373183589445533
lower,0.575,-0.0852,-0.0007589640745217445,0.08444103592547825
lower,0.6,-0.0403,0.035069077263979495,0.0753690772639795
lower,0.65,0.0346,0.11865171750736135,0.08405171750736135
lower,0.6771,0.0766,0.14417267393697153,0.06757267393697153
lower,0.7,0.1064,0.17629437524046315,0.06989437524046316
lower,0.75,0.167,0.24032622375434895,0.07332622375434894
lower,0.775,0.1926,0.2625111891098368,0.06991118910983679
lower,0.85,0.2571,0.33433344609012694,0.07723344609012694
lower,0.875,0.2737,0.3504305253905429,0.07673052539054293
lower,0.9,0.29,0.3695201778971628,0.07952017789716281
lower,0.925,0.296,0.3846051434547655,0.0886051434547655
lower,0.95,0.2942,0.3860669372662538,0.09186693726625378
lower,0.975,0.269,0.3651288784054651,0.09612887840546508
