eta,side,x_over_c,cp
0.20,upper,0.00000,0.450590
0.20,upper,0.00403,0.379229
0.20,upper,0.01436,-0.464810
0.20,upper,0.02356,-0.421269
0.20,upper,0.03449,-0.580392
0.20,upper,0.05169,-0.662961
0.20,upper,0.07333,-0.583904
0.20,upper,0.09496,-0.563000
0.20,upper,0.11521,-0.514394
0.20,upper,0.13589,-0.501118
0.20,upper,0.15616,-0.454028
0.20,upper,0.17687,-0.528028
0.20,upper,0.19719,-0.498921
0.20,upper,0.21797,-0.512900
0.20,upper,0.23828,-0.509034
0.20,upper,0.25906,-0.509386
0.20,upper,0.27938,-0.520038
0.20,upper,0.30017,-0.524874
0.20,upper,0.32049,-0.522161
0.20,upper,0.34129,-0.544025
0.20,upper,0.36160,-0.540733
0.20,upper,0.38242,-0.537968
0.20,upper,0.40274,-0.536588
0.20,upper,0.42354,-0.555560
0.20,upper,0.44385,-0.560027
0.20,upper,0.46468,-0.534757
0.20,upper,0.48498,-0.527054
0.20,upper,0.50575,-0.535390
0.20,upper,0.52605,-0.503753
0.20,upper,0.54683,-0.491223
0.20,upper,0.56711,-0.454660
0.20,upper,0.58789,-0.441221
0.20,upper,0.60816,-0.392352
0.20,upper,0.62891,-0.352498
0.20,upper,0.64918,-0.304298
0.20,upper,0.66992,-0.278500
0.20,upper,0.69016,-0.228912
0.20,upper,0.71088,-0.206360
0.20,upper,0.73115,-0.147619
0.20,upper,0.75186,-0.133346
0.20,upper,0.77211,-0.114393
0.20,upper,0.79281,-0.092168
0.20,upper,0.81305,-0.062430
0.20,upper,0.83380,-0.051442
0.20,upper,0.85406,-0.005512
0.20,upper,0.87473,0.019512
0.20,upper,0.89516,0.062947
0.20,upper,0.91729,0.093746
0.20,upper,0.93920,0.147097
0.20,upper,0.95333,0.184528
0.20,upper,0.96613,0.182177
0.20,upper,0.97368,0.227856
0.20,upper,0.98308,0.233059
0.20,upper,0.98952,0.288907
0.20,upper,0.99836,0.310588
0.20,lower,0.00007,0.825518
0.20,lower,0.00414,0.747784
0.20,lower,0.01252,0.264199
0.20,lower,0.02155,0.372080
0.20,lower,0.02981,0.045727
0.20,lower,0.04320,0.059870
0.20,lower,0.05425,0.014444
0.20,lower,0.07341,0.029482
0.20,lower,0.09704,-0.022882
0.20,lower,0.11636,-0.035257
0.20,lower,0.13852,-0.064066
0.20,lower,0.15777,-0.053165
0.20,lower,0.17998,-0.087553
0.20,lower,0.19934,-0.090976
0.20,lower,0.22162,-0.117320
0.20,lower,0.24096,-0.129391
0.20,lower,0.26140,-0.136721
0.20,lower,0.28075,-0.137516
0.20,lower,0.28255,-0.155778
0.20,lower,0.30191,-0.155016
0.20,lower,0.32414,-0.179532
0.20,lower,0.34351,-0.188916
0.20,lower,0.36574,-0.194102
0.20,lower,0.38511,-0.209735
0.20,lower,0.40734,-0.230504
0.20,lower,0.42671,-0.207145
0.20,lower,0.44893,-0.218698
0.20,lower,0.46829,-0.225907
0.20,lower,0.49051,-0.223362
0.20,lower,0.50987,-0.227002
0.20,lower,0.53207,-0.214353
0.20,lower,0.55141,-0.202621
0.20,lower,0.56662,-0.188263
0.20,lower,0.58595,-0.186161
0.20,lower,0.59293,-0.169839
0.20,lower,0.61225,-0.159906
0.20,lower,0.63443,-0.141991
0.20,lower,0.65374,-0.139532
0.20,lower,0.67590,-0.106610
0.20,lower,0.69520,-0.106771
0.20,lower,0.71735,-0.085630
0.20,lower,0.73664,-0.077183
0.20,lower,0.75880,-0.049946
0.20,lower,0.77808,-0.049418
0.20,lower,0.80021,-0.021129
0.20,lower,0.81949,-0.020442
0.20,lower,0.84159,0.010263
0.20,lower,0.86088,0.012290
0.20,lower,0.87100,0.048821
0.20,lower,0.89046,0.047866
0.20,lower,0.90274,0.105892
0.20,lower,0.92187,0.111676
0.20,lower,0.94402,0.176020
0.20,lower,0.95801,0.175509
0.20,lower,0.97318,0.215752
0.20,lower,0.98455,0.248538
0.20,lower,0.99218,0.286013
0.20,lower,1.00000,0.305970
0.44,upper,0.00000,0.266251
0.44,upper,0.00513,0.091852
0.44,upper,0.01402,-0.528233
0.44,upper,0.02577,-0.641880
0.44,upper,0.04426,-0.739668
0.44,upper,0.06896,-0.702417
0.44,upper,0.09390,-0.704699
0.44,upper,0.11718,-0.751362
0.44,upper,0.14008,-0.654153
0.44,upper,0.16353,-0.660007
0.44,upper,0.18647,-0.632422
0.44,upper,0.20992,-0.614715
0.44,upper,0.23289,-0.590459
0.44,upper,0.25636,-0.581528
0.44,upper,0.27931,-0.576853
0.44,upper,0.30281,-0.592384
0.44,upper,0.32579,-0.579019
0.44,upper,0.34929,-0.567875
0.44,upper,0.37226,-0.563072
0.44,upper,0.39578,-0.563665
0.44,upper,0.41875,-0.550953
0.44,upper,0.44226,-0.544569
0.44,upper,0.46522,-0.500278
0.44,upper,0.48872,-0.497990
0.44,upper,0.51168,-0.456310
0.44,upper,0.53517,-0.440831
0.44,upper,0.55811,-0.386728
0.44,upper,0.58159,-0.366400
0.44,upper,0.60452,-0.292206
0.44,upper,0.62797,-0.272957
0.44,upper,0.65088,-0.215608
0.44,upper,0.67431,-0.195128
0.44,upper,0.69719,-0.136186
0.44,upper,0.72062,-0.124855
0.44,upper,0.74350,-0.091481
0.44,upper,0.76691,-0.079273
0.44,upper,0.78978,-0.039975
0.44,upper,0.81318,-0.029332
0.44,upper,0.83605,0.001132
0.44,upper,0.86029,0.030163
0.44,upper,0.88376,0.082847
0.44,upper,0.90786,0.090532
0.44,upper,0.93272,0.152622
0.44,upper,0.94374,0.191189
0.44,upper,0.95862,0.187923
0.44,upper,0.97031,0.219155
0.44,upper,0.98077,0.225573
0.44,upper,0.98940,0.306142
0.44,upper,1.00000,0.311131
0.44,lower,0.00009,0.793501
0.44,lower,0.00453,0.860287
0.44,lower,0.01733,0.282359
0.44,lower,0.02981,0.276401
0.44,lower,0.03574,0.059017
0.44,lower,0.05901,0.051044
0.44,lower,0.08348,-0.048063
0.44,lower,0.10613,-0.040392
0.44,lower,0.13005,-0.054087
0.44,lower,0.15129,-0.075424
0.44,lower,0.17607,-0.116554
0.44,lower,0.19791,-0.094040
0.44,lower,0.22302,-0.138343
0.44,lower,0.24488,-0.145028
0.44,lower,0.27000,-0.162544
0.44,lower,0.29189,-0.164784
0.44,lower,0.31704,-0.181061
0.44,lower,0.33892,-0.172747
0.44,lower,0.36403,-0.212448
0.44,lower,0.38590,-0.210889
0.44,lower,0.38907,-0.222271
0.44,lower,0.41099,-0.221966
0.44,lower,0.43296,-0.217133
0.44,lower,0.45485,-0.219271
0.44,lower,0.47996,-0.226355
0.44,lower,0.50184,-0.214473
0.44,lower,0.52694,-0.195024
0.44,lower,0.54880,-0.209557
0.44,lower,0.57389,-0.176629
0.44,lower,0.59573,-0.171716
0.44,lower,0.62078,-0.140074
0.44,lower,0.64262,-0.133727
0.44,lower,0.66771,-0.113113
0.44,lower,0.68962,-0.115147
0.44,lower,0.71198,-0.077831
0.44,lower,0.73370,-0.078735
0.44,lower,0.73636,-0.047110
0.44,lower,0.75815,-0.045370
0.44,lower,0.78321,-0.018470
0.44,lower,0.80543,-0.020293
0.44,lower,0.83093,0.020725
0.44,lower,0.85244,0.023242
0.44,lower,0.87628,0.066773
0.44,lower,0.89569,0.075540
0.44,lower,0.91623,0.104764
0.44,lower,0.93721,0.175783
0.44,lower,0.95486,0.157409
0.44,lower,0.97068,0.214170
0.44,lower,0.98296,0.210188
0.44,lower,0.98924,0.303020
0.44,lower,0.99977,0.303531
0.65,upper,0.00076,0.076321
0.65,upper,0.00772,-0.071196
0.65,upper,0.02245,-0.675859
0.65,upper,0.03929,-0.613962
0.65,upper,0.04729,-0.635998
0.65,upper,0.06950,-0.813157
0.65,upper,0.09507,-0.778591
0.65,upper,0.12004,-0.708557
0.65,upper,0.14597,-0.772478
0.65,upper,0.17178,-0.696830
0.65,upper,0.19815,-0.666076
0.65,upper,0.22403,-0.640103
0.65,upper,0.25051,-0.657381
0.65,upper,0.27640,-0.633645
0.65,upper,0.30287,-0.621630
0.65,upper,0.32874,-0.588366
0.65,upper,0.35523,-0.573837
0.65,upper,0.38110,-0.526377
0.65,upper,0.40762,-0.529596
0.65,upper,0.43358,-0.517094
0.65,upper,0.46008,-0.485779
0.65,upper,0.48583,-0.410344
0.65,upper,0.51229,-0.412541
0.65,upper,0.53812,-0.359410
0.65,upper,0.56454,-0.343323
0.65,upper,0.59040,-0.259003
0.65,upper,0.61683,-0.229500
0.65,upper,0.64262,-0.155766
0.65,upper,0.66901,-0.131002
0.65,upper,0.69480,-0.106526
0.65,upper,0.72119,-0.085193
0.65,upper,0.74697,-0.052164
0.65,upper,0.77334,-0.040770
0.65,upper,0.79910,-0.010032
0.65,upper,0.82545,0.003907
0.65,upper,0.85113,0.051996
0.65,upper,0.87998,0.079106
0.65,upper,0.90587,0.129909
0.65,upper,0.92017,0.185271
0.65,upper,0.93897,0.166381
0.65,upper,0.96137,0.225263
0.65,upper,0.97559,0.218655
0.65,upper,0.98820,0.306600
0.65,upper,0.99982,0.302034
0.65,lower,0.00000,0.847766
0.65,lower,0.00551,0.744695
0.65,lower,0.01465,0.278278
0.65,lower,0.02762,0.264097
0.65,lower,0.04655,0.011507
0.65,lower,0.06539,0.009534
0.65,lower,0.07345,0.001244
0.65,lower,0.09838,0.023797
0.65,lower,0.12654,-0.084231
0.65,lower,0.15106,-0.087854
0.65,lower,0.17946,-0.127201
0.65,lower,0.20406,-0.126483
0.65,lower,0.23240,-0.141677
0.65,lower,0.25703,-0.137696
0.65,lower,0.28532,-0.174079
0.65,lower,0.30998,-0.177517
0.65,lower,0.33830,-0.217671
0.65,lower,0.36295,-0.222246
0.65,lower,0.39115,-0.208491
0.65,lower,0.41581,-0.211327
0.65,lower,0.41592,-0.225407
0.65,lower,0.44059,-0.239083
0.65,lower,0.46885,-0.232636
0.65,lower,0.49348,-0.236827
0.65,lower,0.52180,-0.198517
0.65,lower,0.54643,-0.184400
0.65,lower,0.57467,-0.164088
0.65,lower,0.59929,-0.175469
0.65,lower,0.62751,-0.129822
0.65,lower,0.65208,-0.130398
0.65,lower,0.68032,-0.095458
0.65,lower,0.70489,-0.090885
0.65,lower,0.73310,-0.058774
0.65,lower,0.75766,-0.056915
0.65,lower,0.77988,-0.026519
0.65,lower,0.80457,-0.026394
0.65,lower,0.81055,0.014361
0.65,lower,0.83537,0.022340
0.65,lower,0.86439,0.065057
0.65,lower,0.88955,0.074590
0.65,lower,0.91905,0.154170
0.65,lower,0.93894,0.142987
0.65,lower,0.96049,0.205908
0.65,lower,0.97498,0.214216
0.65,lower,0.98823,0.300221
0.65,lower,1.00000,0.300167
0.80,upper,0.00187,0.013948
0.80,upper,0.00969,0.012919
0.80,upper,0.02276,-0.806237
0.80,upper,0.03655,-0.725591
0.80,upper,0.05003,-0.590733
0.80,upper,0.06418,-0.806519
0.80,upper,0.08685,-0.774242
0.80,upper,0.11436,-0.676259
0.80,upper,0.14253,-0.792035
0.80,upper,0.17150,-0.776691
0.80,upper,0.20010,-0.643082
0.80,upper,0.22932,-0.666662
0.80,upper,0.25795,-0.633464
0.80,upper,0.28723,-0.621844
0.80,upper,0.31590,-0.573819
0.80,upper,0.34520,-0.560903
0.80,upper,0.37383,-0.518930
0.80,upper,0.40315,-0.507364
0.80,upper,0.43177,-0.432434
0.80,upper,0.46104,-0.392233
0.80,upper,0.48964,-0.347390
0.80,upper,0.51892,-0.308392
0.80,upper,0.54756,-0.242520
0.80,upper,0.57688,-0.215464
0.80,upper,0.60542,-0.167913
0.80,upper,0.63467,-0.154170
0.80,upper,0.66330,-0.101553
0.80,upper,0.69259,-0.085464
0.80,upper,0.72110,-0.057805
0.80,upper,0.75025,-0.054957
0.80,upper,0.77874,-0.022512
0.80,upper,0.80788,-0.004467
0.80,upper,0.83629,0.040091
0.80,upper,0.86765,0.062673
0.80,upper,0.89764,0.108496
0.80,upper,0.92665,0.141682
0.80,upper,0.94737,0.136087
0.80,upper,0.95332,0.200184
0.80,upper,0.96878,0.200241
0.80,upper,0.98706,0.286843
0.80,upper,1.00000,0.286007
0.80,lower,0.00000,0.794878
0.80,lower,0.00629,0.713185
0.80,lower,0.01682,0.302885
