section,name_or_node,x_c,side,regime,region,energy_fraction
variable,delta,,,,,8.54551008e-09
variable,A,,,,,3.58419430e-01
variable,B,,,,,6.27276779e-03
variable,Psi,,,,,6.35307792e-01
variable,Ct1,,,,,1.15556303e-09
variable,Ct2,,,,,4.18733131e-23
node,0,1.000000,-1,turbulent,te_band,6.30115009e-03
node,1,0.000000,-1,inflow_pin,le_inflow,7.82123659e-34
node,2,0.990105,1,turbulent,te_band,3.12718398e-02
node,3,0.980207,1,turbulent,te_band,2.39797406e-03
node,4,0.970307,1,turbulent,te_band,2.14272235e-03
node,5,0.960405,1,turbulent,te_band,1.51393429e-03
node,6,0.950500,1,turbulent,te_band,1.46503489e-03
node,7,0.940593,1,turbulent,te_band,1.30058848e-03
node,8,0.930683,1,turbulent,te_band,1.06547639e-03
node,9,0.920772,1,turbulent,te_band,1.01426442e-03
node,10,0.910858,1,turbulent,te_band,9.33313779e-04
node,11,0.900943,1,turbulent,te_band,8.19793982e-04
node,12,0.891026,1,turbulent,mid,7.87718697e-04
node,13,0.881106,1,turbulent,mid,7.44342169e-04
node,14,0.871185,1,turbulent,mid,6.93352056e-04
node,15,0.861262,1,turbulent,mid,6.74604959e-04
node,16,0.851337,1,turbulent,mid,6.51778307e-04
node,17,0.841411,1,turbulent,mid,6.26703979e-04
node,18,0.831483,1,turbulent,mid,6.14374689e-04
node,19,0.821553,1,turbulent,mid,6.02586678e-04
node,20,0.811621,1,turbulent,mid,5.90139920e-04
node,21,0.801688,1,turbulent,mid,5.83000637e-04
node,22,0.791753,1,turbulent,mid,5.75915384e-04
node,23,0.781817,1,turbulent,mid,5.69123029e-04
node,24,0.771879,1,turbulent,mid,5.65287250e-04
node,25,0.761940,1,turbulent,mid,5.60392805e-04
node,26,0.751999,1,turbulent,mid,5.55476974e-04
node,27,0.742057,1,turbulent,mid,5.51860853e-04
node,28,0.732113,1,turbulent,mid,5.48131371e-04
node,29,0.722168,1,turbulent,mid,5.43520841e-04
node,30,0.712221,1,turbulent,mid,5.39086352e-04
node,31,0.702273,1,turbulent,mid,5.35598545e-04
node,32,0.692324,1,turbulent,mid,5.31162293e-04
node,33,0.682373,1,turbulent,mid,5.26532092e-04
node,34,0.672420,1,turbulent,mid,5.22493760e-04
node,35,0.662467,1,turbulent,mid,5.17398195e-04
node,36,0.652511,1,turbulent,mid,5.12831687e-04
node,37,0.642555,1,turbulent,mid,5.08784304e-04
node,38,0.632597,1,turbulent,mid,5.04502122e-04
node,39,0.622637,1,turbulent,mid,4.98972132e-04
node,40,0.612677,1,turbulent,mid,4.94478079e-04
node,41,0.602714,1,turbulent,mid,4.90545313e-04
node,42,0.592751,1,turbulent,mid,4.86416711e-04
node,43,0.582786,1,turbulent,mid,4.82606948e-04
node,44,0.572819,1,turbulent,mid,4.78474736e-04
node,45,0.562851,1,turbulent,mid,4.75187242e-04
node,46,0.552882,1,turbulent,mid,4.72555826e-04
node,47,0.542911,1,turbulent,mid,4.70338583e-04
node,48,0.532939,1,turbulent,mid,4.68160871e-04
node,49,0.522965,1,turbulent,mid,4.66572685e-04
node,50,0.512990,1,turbulent,mid,4.65079772e-04
node,51,0.503014,1,turbulent,mid,4.63455747e-04
node,52,0.493036,1,turbulent,mid,4.62765058e-04
node,53,0.483057,1,turbulent,mid,4.61628420e-04
node,54,0.473076,1,turbulent,mid,4.61534854e-04
node,55,0.463094,1,turbulent,mid,4.61101973e-04
node,56,0.453111,1,turbulent,mid,4.60109835e-04
node,57,0.443126,1,turbulent,mid,4.59279804e-04
node,58,0.433140,1,turbulent,mid,4.58200343e-04
node,59,0.423153,1,turbulent,mid,4.56882738e-04
node,60,0.413165,1,turbulent,mid,4.53672959e-04
node,61,0.403175,1,turbulent,mid,4.50830089e-04
node,62,0.393184,1,turbulent,mid,4.46177736e-04
node,63,0.383192,1,turbulent,mid,4.40766572e-04
node,64,0.373199,1,turbulent,mid,4.34587455e-04
node,65,0.363205,1,turbulent,mid,4.27942219e-04
node,66,0.353210,1,turbulent,mid,4.15556184e-04
node,67,0.343214,1,turbulent,mid,4.05967140e-04
node,68,0.333217,1,turbulent,mid,3.92968662e-04
node,69,0.323220,1,turbulent,mid,3.79318033e-04
node,70,0.313223,1,turbulent,mid,3.68969487e-04
node,71,0.303225,1,turbulent,mid,3.54254885e-04
node,72,0.293227,1,turbulent,mid,3.43898538e-04
node,73,0.283230,1,turbulent,mid,3.32500270e-04
node,74,0.273232,1,turbulent,mid,3.18645001e-04
node,75,0.263236,1,turbulent,mid,3.86020241e-04
node,76,0.253240,1,turbulent,mid,3.98596209e-04
node,77,0.243246,1,turbulent,mid,4.46097997e-04
node,78,0.233253,1,turbulent,mid,1.80860105e-03
node,79,0.223263,1,turbulent,mid,3.65512252e-03
node,80,0.213275,1,turbulent,mid,1.45114196e-03
node,81,0.203291,1,turbulent,mid,2.65483399e-03
node,82,0.193310,1,turbulent,mid,6.60798767e-04
node,83,0.183335,1,turbulent,mid,2.31749678e-03
node,84,0.173365,1,turbulent,mid,4.21949035e-03
node,85,0.163402,1,turbulent,mid,1.80966616e-03
node,86,0.153447,1,turbulent,mid,1.31829089e-03
node,87,0.143503,1,turbulent,mid,1.05586717e-03
node,88,0.133570,1,turbulent,mid,2.95161264e-04
node,89,0.123651,1,turbulent,mid,6.44680180e-05
