node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
0,1.000000,-1,turbulent,te_band,-1.187012e-06,3.656453e-07,-1.781173e-06,2.732925e-07,-1.243084e-08,2.140812e-21,1.781173e-06
1,0.000000,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.980207,1,turbulent,te_band,-2.053255e-06,-5.543408e-07,-3.153842e-06,-2.360422e-07,-2.507061e-08,-3.087158e-22,3.153842e-06
3,0.960405,1,turbulent,te_band,-1.871134e-06,-1.522658e-07,-2.806144e-06,6.123168e-08,-1.647787e-08,-8.490651e-22,2.806144e-06
4,0.940593,1,turbulent,te_band,-1.219845e-06,2.897066e-07,-2.011833e-06,2.268165e-07,-1.588855e-08,-8.772907e-22,2.011833e-06
5,0.920772,1,turbulent,te_band,-8.389182e-07,7.804884e-08,-1.407215e-06,9.627069e-08,-1.208925e-08,-8.265415e-22,1.407215e-06
6,0.900943,1,turbulent,te_band,-8.824529e-07,3.061251e-08,-1.447292e-06,7.717076e-08,-1.036423e-08,-8.543870e-22,1.447292e-06
7,0.881106,1,turbulent,mid,-8.112049e-07,1.076003e-08,-1.334097e-06,5.520990e-08,-9.037468e-09,-1.178612e-21,1.334097e-06
8,0.861262,1,turbulent,mid,-7.018854e-07,1.453467e-08,-1.176146e-06,5.155487e-08,-7.694041e-09,-1.330802e-21,1.176146e-06
9,0.841411,1,turbulent,mid,-6.273406e-07,1.057797e-08,-1.069267e-06,4.695462e-08,-6.608174e-09,-1.526585e-21,1.069267e-06
10,0.821553,1,turbulent,mid,-5.599868e-07,9.610359e-09,-9.695960e-07,4.424310e-08,-5.633962e-09,-1.982962e-21,9.695960e-07
11,0.801688,1,turbulent,mid,-5.145436e-07,9.838356e-09,-9.036348e-07,4.184981e-08,-4.888398e-09,-2.361986e-21,9.036348e-07
12,0.781818,1,turbulent,mid,-4.775901e-07,4.387120e-09,-8.490962e-07,3.518438e-08,-4.227467e-09,-2.806762e-21,8.490962e-07
13,0.761940,1,turbulent,mid,-4.458801e-07,9.413919e-09,-8.015206e-07,3.912763e-08,-3.618498e-09,-3.497931e-21,8.015206e-07
14,0.742057,1,turbulent,mid,-4.229989e-07,4.957897e-09,-7.678634e-07,3.113609e-08,-3.085462e-09,-4.238990e-21,7.678634e-07
15,0.722168,1,turbulent,mid,-4.000044e-07,-2.042945e-09,-7.328515e-07,2.467631e-08,-2.598113e-09,-5.091452e-21,7.328515e-07
16,0.702274,1,turbulent,mid,-3.856454e-07,-4.928097e-10,-7.116117e-07,2.661264e-08,-2.175089e-09,-6.216000e-21,7.116117e-07
