x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
0.806106,0.000000,-0.000000,1.0000,-0.0000,-1,3.063713e-03,3.800632e-03,1.7008,2.066365e+01,-1.485760e-01,2.557758e-03,-3.233977e-17,1.130357e-03,0,0
1.143716,0.000000,1.196300,1.0000,1.0000,1,1.023384e-03,2.258966e-03,1.4073,0.000000e+00,0.000000e+00,1.537397e-03,0.000000e+00,2.297540e-03,1,1
-0.000000,0.000000,-0.000000,-0.0000,-0.0000,1,6.270123e-06,7.778282e-06,2.6068,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,3.288415e-02,1,0
0.690684,0.000000,1.196300,0.0000,1.0000,-1,2.807198e-06,6.196470e-06,2.7358,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,2.837583e-02,1,1
0.808140,0.000000,0.007207,1.0000,0.0060,-1,3.734163e-03,4.644601e-03,1.7757,2.496793e+01,-1.642911e+00,2.413402e-03,-7.771786e-17,1.071423e-03,0,0
0.810174,0.000000,0.014413,1.0000,0.0120,-1,3.366861e-03,4.198853e-03,1.7424,1.475058e+01,-6.257642e-01,2.431707e-03,1.428846e-16,1.046184e-03,0,0
0.812208,0.000000,0.021620,1.0000,0.0181,-1,3.251959e-03,4.066344e-03,1.7147,3.276979e+00,3.193591e-01,2.496473e-03,2.552059e-16,1.073687e-03,0,0
0.814242,0.000000,0.028827,1.0000,0.0241,-1,3.022911e-03,3.790015e-03,1.6390,2.211731e+01,-1.384428e+00,2.472181e-03,-7.765041e-16,1.328289e-03,0,0
0.816275,0.000000,0.036033,1.0000,0.0301,-1,3.218429e-03,4.045939e-03,1.7083,8.273501e+00,1.002455e-01,2.393568e-03,-4.599351e-17,1.087214e-03,0,0
0.818309,0.000000,0.043240,1.0000,0.0361,-1,2.866635e-03,3.613354e-03,1.6346,1.417517e+01,-5.136478e-01,2.423713e-03,1.814979e-15,1.279991e-03,0,0
0.820343,0.000000,0.050446,1.0000,0.0422,-1,3.031598e-03,3.831560e-03,1.6503,2.223195e+01,-1.207393e+00,2.339009e-03,-1.528623e-15,1.292304e-03,0,0
0.822377,0.000000,0.057653,1.0000,0.0482,-1,3.141222e-03,3.980813e-03,1.6876,2.586129e+00,6.446266e-01,2.371291e-03,-2.139750e-15,1.138195e-03,0,0
0.824411,0.000000,0.064860,1.0000,0.0542,-1,2.849781e-03,3.621235e-03,1.6131,1.937319e+01,-1.056932e+00,2.402399e-03,5.356983e-15,1.366313e-03,0,0
0.826444,0.000000,0.072066,1.0000,0.0602,-1,3.174746e-03,4.045104e-03,1.7030,8.261155e+00,1.540938e-01,2.400546e-03,1.200542e-16,1.099873e-03,0,0
0.828478,0.000000,0.079273,1.0000,0.0663,-1,3.021760e-03,3.860639e-03,1.6553,1.581599e+01,-5.280819e-01,2.446634e-03,-9.531056e-15,1.226730e-03,0,0
0.830512,0.000000,0.086480,1.0000,0.0723,-1,3.131692e-03,4.011991e-03,1.6673,2.327164e+01,-1.200694e+00,2.444468e-03,3.736694e-15,1.253239e-03,0,0
0.832546,0.000000,0.093686,1.0000,0.0783,-1,3.040958e-03,3.906397e-03,1.6526,2.031476e+00,6.835552e-01,2.375734e-03,1.250138e-14,1.214699e-03,0,0
0.834579,0.000000,0.100893,1.0000,0.0843,-1,2.867594e-03,3.693787e-03,1.6316,1.828330e+01,-8.484702e-01,2.466883e-03,-9.775083e-15,1.311206e-03,0,0
0.836613,0.000000,0.108099,1.0000,0.0904,-1,3.101160e-03,4.005621e-03,1.6721,1.230751e+01,-5.448880e-02,2.416448e-03,-2.050735e-14,1.167459e-03,0,0
0.838647,0.000000,0.115306,1.0000,0.0964,-1,3.064724e-03,3.969464e-03,1.6533,2.190893e+01,-8.935219e-01,2.440677e-03,3.167723e-14,1.259524e-03,0,0
0.840681,0.000000,0.122513,1.0000,0.1024,-1,3.121272e-03,4.053873e-03,1.6720,1.625979e+01,-3.957062e-01,2.377730e-03,1.336612e-14,1.180591e-03,0,0
0.842715,0.000000,0.129719,1.0000,0.1084,-1,2.946810e-03,3.837886e-03,1.6337,4.220544e+00,5.412898e-01,2.390905e-03,-7.636883e-14,1.256176e-03,0,0
0.844748,0.000000,0.136926,1.0000,0.1145,-1,3.058846e-03,3.994866e-03,1.6738,2.522136e+01,-1.382501e+00,2.452356e-03,3.579848e-14,1.271610e-03,0,0
0.846782,0.000000,0.144133,1.0000,0.1205,-1,3.109518e-03,4.072356e-03,1.6757,5.890857e+00,5.143017e-01,2.364923e-03,9.826505e-14,1.158061e-03,0,0
0.848816,0.000000,0.151339,1.0000,0.1265,-1,2.950637e-03,3.875074e-03,1.6368,2.110025e+01,-9.388913e-01,2.443881e-03,-1.022568e-13,1.304432e-03,0,0
0.850850,0.000000,0.158546,1.0000,0.1325,-1,3.138302e-03,4.133079e-03,1.6786,2.257016e+01,-8.791839e-01,2.402539e-03,-7.307736e-14,1.206453e-03,0,0
0.852884,0.000000,0.165752,1.0000,0.1386,-1,2.967887e-03,3.919625e-03,1.6533,1.168322e+01,-1.446032e-01,2.337911e-03,1.463284e-13,1.217293e-03,0,0
0.854917,0.000000,0.172959,1.0000,0.1446,-1,2.851832e-03,3.776964e-03,1.6445,1.073478e+01,-1.050311e-01,2.331370e-03,-4.001991e-14,1.244595e-03,0,0
0.856951,0.000000,0.180166,1.0000,0.1506,-1,2.867116e-03,3.807932e-03,1.6419,1.703511e+01,-5.567438e-01,2.368643e-03,-7.868699e-14,1.272123e-03,0,0
0.858985,0.000000,0.187372,1.0000,0.1566,-1,3.036376e-03,4.044158e-03,1.6596,1.774440e+01,-5.137743e-01,2.320783e-03,2.011757e-14,1.219571e-03,0,0
0.861019,0.000000,0.194579,1.0000,0.1627,-1,2.980174e-03,3.980579e-03,1.6632,7.851349e+00,3.354456e-01,2.371554e-03,6.360861e-14,1.190750e-03,0,0
0.863053,0.000000,0.201786,1.0000,0.1687,-1,2.815878e-03,3.771847e-03,1.6216,1.935308e+01,-8.031800e-01,2.370631e-03,2.949880e-14,1.336626e-03,0,0
0.865086,0.000000,0.208992,1.0000,0.1747,-1,2.861892e-03,3.844435e-03,1.6447,1.486078e+01,-2.900853e-01,2.357152e-03,-2.188618e-14,1.252430e-03,0,0
0.867120,0.000000,0.216199,1.0000,0.1807,-1,2.835021e-03,3.819250e-03,1.6360,1.994901e+01,-7.976166e-01,2.307330e-03,-9.051579e-14,1.306762e-03,0,0
0.869154,0.000000,0.223405,1.0000,0.1867,-1,2.872760e-03,3.881213e-03,1.6538,1.690038e+01,-4.820434e-01,2.298995e-03,-8.791154e-14,1.244352e-03,0,0
0.871188,0.000000,0.230612,1.0000,0.1928,-1,2.861800e-03,3.877547e-03,1.6412,1.374399e+01,-2.784517e-01,2.301930e-03,2.693492e-13,1.257711e-03,0,0
0.873222,0.000000,0.237819,1.0000,0.1988,-1,2.869889e-03,3.899746e-03,1.6492,5.104827e+00,5.199925e-01,2.288118e-03,2.284840e-14,1.231501e-03,0,0
0.875255,0.000000,0.245025,1.0000,0.2048,-1,2.691574e-03,3.668044e-03,1.6100,2.080057e+01,-1.096023e+00,2.392668e-03,-2.206827e-13,1.399311e-03,0,0
0.877289,0.000000,0.252232,1.0000,0.2108,-1,2.854439e-03,3.901303e-03,1.6410,2.182627e+01,-1.032162e+00,2.267237e-03,-1.497997e-13,1.315452e-03,0,0
0.879323,0.000000,0.259439,1.0000,0.2169,-1,3.016200e-03,4.134409e-03,1.6703,9.558960e+00,1.615227e-01,2.308699e-03,5.581841e-14,1.174144e-03,0,0
0.881357,0.000000,0.266645,1.0000,0.2229,-1,3.012266e-03,4.141090e-03,1.6689,1.099701e+01,-2.153326e-02,2.291405e-03,2.925368e-13,1.179896e-03,0,0
0.883390,0.000000,0.273852,1.0000,0.2289,-1,3.001941e-03,4.138998e-03,1.6755,8.076488e+00,2.610011e-01,2.370812e-03,3.914416e-15,1.164920e-03,0,0
0.885424,0.000000,0.281058,1.0000,0.2349,-1,2.783940e-03,3.849714e-03,1.6259,2.687865e+01,-1.077030e+00,2.396695e-03,-6.800428e-13,1.371646e-03,0,0
0.887458,0.000000,0.288265,1.0000,0.2410,-1,3.011894e-03,4.177221e-03,1.6739,1.040523e+01,1.320623e-01,2.308174e-03,-7.417709e-13,1.168240e-03,0,0
0.889492,0.000000,0.295472,1.0000,0.2470,-1,2.702554e-03,3.759285e-03,1.6158,1.927293e+01,-8.361475e-01,2.309134e-03,-4.462728e-14,1.363984e-03,0,0
0.891526,0.000000,0.302678,1.0000,0.2530,-1,2.920918e-03,4.075087e-03,1.6578,2.150354e+01,-9.616115e-01,2.364429e-03,1.521555e-12,1.270363e-03,0,0
0.893559,0.000000,0.309885,1.0000,0.2590,-1,2.903343e-03,4.062624e-03,1.6498,3.760461e+00,5.553843e-01,2.281341e-03,2.648869e-12,1.228688e-03,0,0
0.895593,0.000000,0.317092,1.0000,0.2651,-1,2.725795e-03,3.825568e-03,1.6290,8.543085e+00,1.425732e-01,2.383571e-03,3.538611e-12,1.284866e-03,0,0
0.897627,0.000000,0.324298,1.0000,0.2711,-1,2.969599e-03,4.180218e-03,1.6770,2.571333e+01,-1.398280e+00,2.390000e-03,3.459575e-12,1.279628e-03,0,0
0.899661,0.000000,0.331505,1.0000,0.2771,-1,2.965004e-03,4.186284e-03,1.6824,7.515045e+00,4.460852e-01,2.348267e-03,3.128306e-12,1.156503e-03,0,0
0.901695,0.000000,0.338711,1.0000,0.2831,-1,2.679613e-03,3.794736e-03,1.6084,2.017959e+01,-9.997989e-01,2.292105e-03,2.967104e-12,1.395531e-03,0,0
0.903728,0.000000,0.345918,1.0000,0.2892,-1,2.865151e-03,4.069744e-03,1.6796,1.291881e+01,-7.588743e-02,2.331145e-03,2.860121e-12,1.176193e-03,0,0
