iter,f_phi_max,f_gamma_max,f_bl_max,f_phi_scaled,f_gamma_scaled,f_bl_scaled,merit,lam,ds_change,ds_change_rel,wall_s
0,3.193620e-09,1.530432e-09,1.709994e-06,1.000000e+00,1.000000e+00,1.000000e+00,9.100983e-11,,0.000000e+00,0.000000e+00,0.01
1,1.157746e-07,1.528938e-09,1.708590e-06,3.625183e+01,9.990235e-01,9.991790e-01,9.026867e-11,0.000977,7.213272e-05,2.091075e-02,0.43
2,1.157488e-07,1.528565e-09,1.708277e-06,3.624376e+01,9.987796e-01,9.989956e-01,9.024754e-11,0.000244,4.791927e-06,1.389145e-03,0.88
3,1.157470e-07,1.528541e-09,1.708251e-06,3.624321e+01,9.987643e-01,9.989805e-01,9.024695e-11,0.000015,1.360513e-06,3.944029e-04,1.38
4,1.157466e-07,1.528536e-09,1.708245e-06,3.624307e+01,9.987605e-01,9.989767e-01,9.024662e-11,0.000004,5.790934e-07,1.678750e-04,1.90
5,1.157464e-07,1.528533e-09,1.708241e-06,3.624300e+01,9.987587e-01,9.989748e-01,9.024648e-11,0.000002,4.459678e-07,1.292828e-04,2.43
6,1.157463e-07,1.528532e-09,1.708241e-06,3.624299e+01,9.987582e-01,9.989743e-01,9.024644e-11,0.000000,2.124905e-07,6.159945e-05,2.99
7,1.157463e-07,1.528532e-09,1.708240e-06,3.624298e+01,9.987579e-01,9.989741e-01,9.024643e-11,0.000000,1.992915e-07,5.777316e-05,3.56
8,1.157463e-07,1.528532e-09,1.708240e-06,3.624298e+01,9.987580e-01,9.989741e-01,9.024643e-11,0.000000,2.461958e-08,7.137037e-06,4.20
9,1.157463e-07,1.528532e-09,1.708240e-06,3.624298e+01,9.987579e-01,9.989741e-01,9.024644e-11,0.000000,1.015536e-07,2.943964e-05,4.84
10,1.157463e-07,1.528531e-09,1.708240e-06,3.624298e+01,9.987579e-01,9.989741e-01,9.024644e-11,0.000000,5.529377e-08,1.602926e-05,5.45
