face,x,v_plus,v_minus,jump,rel_err_vs_m0
170,5.8488,4.984581e-03,-4.977595e-03,9.962176e-03,-0.0038
172,5.9086,4.983114e-03,-4.988608e-03,9.971722e-03,-0.0028
173,5.8887,4.983040e-03,-4.988607e-03,9.971647e-03,-0.0028
174,5.9684,4.982886e-03,-4.987898e-03,9.970784e-03,-0.0029
175,5.9485,4.983223e-03,-4.988917e-03,9.972140e-03,-0.0028
176,6.0283,4.984947e-03,-4.982154e-03,9.967102e-03,-0.0033
177,6.0083,4.984764e-03,-4.981993e-03,9.966757e-03,-0.0033
178,6.0881,4.982548e-03,-4.981966e-03,9.964514e-03,-0.0035
179,6.0681,4.982438e-03,-4.981872e-03,9.964310e-03,-0.0036
180,6.1479,4.982235e-03,-4.985563e-03,9.967799e-03,-0.0032
181,6.1280,4.982350e-03,-4.985677e-03,9.968027e-03,-0.0032
182,6.2077,4.984157e-03,-4.986644e-03,9.970801e-03,-0.0029
183,6.1878,4.984285e-03,-4.986791e-03,9.971076e-03,-0.0029
184,6.2675,4.986668e-03,-4.982631e-03,9.969300e-03,-0.0031
185,6.2476,4.986616e-03,-4.982583e-03,9.969199e-03,-0.0031
186,6.3274,4.984448e-03,-4.981427e-03,9.965875e-03,-0.0034
187,6.3074,4.984352e-03,-4.981343e-03,9.965695e-03,-0.0034
188,6.3872,4.986576e-03,-4.981814e-03,9.968391e-03,-0.0032
189,6.3672,4.986690e-03,-4.981913e-03,9.968603e-03,-0.0031
190,6.4470,4.984806e-03,-4.980922e-03,9.965728e-03,-0.0034
191,6.4271,4.984609e-03,-4.980758e-03,9.965368e-03,-0.0035
192,6.5068,4.982826e-03,-4.981318e-03,9.964144e-03,-0.0036
193,6.4869,4.982791e-03,-4.981286e-03,9.964077e-03,-0.0036
194,6.5667,4.983113e-03,-4.986207e-03,9.969320e-03,-0.0031
195,6.5467,4.983282e-03,-4.986371e-03,9.969653e-03,-0.0030
196,6.6265,4.978592e-03,-4.987890e-03,9.966482e-03,-0.0034
197,6.6065,4.978432e-03,-4.987711e-03,9.966143e-03,-0.0034
198,6.6863,4.980125e-03,-4.987467e-03,9.967593e-03,-0.0032
199,6.6664,4.980247e-03,-4.987585e-03,9.967831e-03,-0.0032
200,6.7461,4.979934e-03,-4.987686e-03,9.967619e-03,-0.0032
201,6.7262,4.980126e-03,-4.987878e-03,9.968005e-03,-0.0032
202,6.8059,4.978878e-03,-4.989416e-03,9.968294e-03,-0.0032
203,6.7860,4.978906e-03,-4.989465e-03,9.968371e-03,-0.0032
204,6.8658,4.983401e-03,-4.990318e-03,9.973719e-03,-0.0026
205,6.8458,4.983405e-03,-4.990334e-03,9.973738e-03,-0.0026
206,6.9256,4.984261e-03,-4.987523e-03,9.971784e-03,-0.0028
207,6.9056,4.984179e-03,-4.987435e-03,9.971614e-03,-0.0028
208,6.9854,4.982311e-03,-4.984330e-03,9.966641e-03,-0.0033
209,6.9655,4.982154e-03,-4.984181e-03,9.966335e-03,-0.0034
210,7.0452,4.981150e-03,-4.983205e-03,9.964356e-03,-0.0036
211,7.0253,4.981078e-03,-4.983137e-03,9.964215e-03,-0.0036
212,7.1050,4.982472e-03,-4.984697e-03,9.967168e-03,-0.0033
213,7.0851,4.982516e-03,-4.984740e-03,9.967256e-03,-0.0033
214,7.1649,4.983248e-03,-4.981795e-03,9.965044e-03,-0.0035
215,7.1449,4.983165e-03,-4.981713e-03,9.964878e-03,-0.0035
216,7.2247,4.987202e-03,-4.980342e-03,9.967545e-03,-0.0032
217,7.2048,4.987304e-03,-4.980444e-03,9.967748e-03,-0.0032
218,7.2845,4.989095e-03,-4.976851e-03,9.965946e-03,-0.0034
219,7.2646,4.988986e-03,-4.976741e-03,9.965727e-03,-0.0034
220,7.3443,4.991627e-03,-4.971958e-03,9.963585e-03,-0.0036
221,7.3244,4.991516e-03,-4.971848e-03,9.963364e-03,-0.0037
222,7.4042,4.996365e-03,-4.968976e-03,9.965341e-03,-0.0035
223,7.3842,4.996343e-03,-4.968957e-03,9.965300e-03,-0.0035
