i,residual,F,gamma_mean,gamma_root,n_limited,n_floored,frozen,n_lin_solves,eta,lam,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,wall_cum_s
0,1.123e-05,1e-08,0.11110866,0.11110866,0,0,False,1,0.0,1.0,0.0,0.00884287,0.02583539,0.00151452,0.00164093,0.0,0,1,2.7283609
1,3.7e-07,0.0,0.11494401,0.11494401,0,0,False,1,0.0,1.0,0.0,0.00793546,0.02671153,0.00152769,0.00380297,0.0,0,1,2.77133271
2,1e-08,0.0,0.11505484,0.11505484,0,0,True,1,0.0,1.0,0.0,0.00511797,0.02471081,0.00139134,0.00149282,0.0,0,1,2.80417856
3,0.0,0.0,0.11505604,0.11505604,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.80641653
4,1e-08,0.0,0.11505604,0.11505604,0,0,True,1,0.0,1.0,0.0,0.00554351,0.02583398,0.0014868,0.00170539,0.0,0,1,2.84111884
5,0.0,0.0,0.11505601,0.11505601,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.84327688
0,1.397e-05,0.0,0.11505601,0.11505601,0,0,False,1,0.0,1.0,0.0,0.00580551,0.02688797,0.00144661,0.001873,0.0,0,1,2.95629333
1,3.15e-06,0.0,0.1233781,0.1233781,0,0,False,1,0.0,1.0,0.0,0.00597986,0.02681897,0.00144865,0.00187391,0.0,0,1,2.99253301
2,7e-07,0.0,0.12388861,0.12388861,0,0,False,1,0.0,1.0,0.0,0.00569011,0.02565416,0.00148778,0.00175207,0.0,0,1,3.02746253
3,5e-08,0.0,0.123917,0.123917,0,0,True,1,0.0,1.0,0.0,0.00588466,0.02677103,0.00153418,0.00183824,0.0,0,1,3.0636288
4,0.0,0.0,0.12391754,0.12391754,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.06590674
5,2.2e-07,0.0,0.12391754,0.12391754,0,0,True,1,0.0,1.0,0.0,0.00574683,0.02559992,0.00145877,0.00171846,0.0,0,1,3.10055012
6,0.0,0.0,0.12391801,0.12391801,0,0,True,1,0.0,1.0,0.0,0.00568217,0.02717448,0.00166365,0.00172117,0.0,0,1,3.13690871
7,0.0,0.0,0.12391801,0.12391801,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.13906065
0,1.648e-05,0.0,0.12391801,0.12391801,0,0,False,1,0.0,1.0,0.0,0.00602576,0.02547305,0.00143964,0.00188043,0.0,0,1,3.17749925
1,1.991e-05,0.0,0.13624118,0.13624118,0,0,False,1,0.0,0.5,0.0,0.00596952,0.02694497,0.00152004,0.00374768,0.0,0,1,3.21581757
2,1.001e-05,0.0,0.13678553,0.13678553,0,0,False,1,0.0,1.0,0.0,0.00606052,0.02629558,0.00157856,0.00196264,0.0,0,1,3.25185509
3,1.443e-05,0.0,0.1375353,0.1375353,0,0,False,1,0.0,1.0,0.0,0.00624066,0.02727343,0.00176361,0.00208637,0.0,0,1,3.28936257
4,2.28e-06,0.0,0.13770556,0.13770556,0,0,False,1,0.0,1.0,0.0,0.00657087,0.02613949,0.00203049,0.0020969,0.0,0,1,3.32635888
5,5e-08,0.0,0.1377192,0.1377192,0,0,False,1,0.0,1.0,0.0,0.00596719,0.02645374,0.00171033,0.00162399,0.0,0,1,3.36251302
6,0.0,0.0,0.13771943,0.13771943,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.36448492
0,2.039e-05,0.0,0.13771943,0.13771943,0,0,False,1,0.0,0.5,0.0,0.00620838,0.02791017,0.00164895,0.00328138,0.0,0,1,3.40681921
1,2.545e-05,0.0,0.14773381,0.14773381,0,0,False,1,0.0,0.5,0.0,0.00613399,0.02810343,0.00155958,0.0031713,0.0,0,1,3.44592214
2,3.599e-05,0.0,0.15454837,0.15454837,0,0,False,1,0.0,0.5,0.0,0.00595609,0.02581351,0.00154962,0.00316838,0.0,0,1,3.48257522
3,2.182e-05,0.0,0.15849804,0.15849804,0,0,False,1,0.0,0.5,0.0,0.006069,0.0282116,0.00174769,0.00335821,0.0,0,1,3.52211172
4,9.18e-06,0.0,0.16074012,0.16074012,0,0,False,1,0.0,0.5,0.0,0.00623603,0.02677746,0.00159075,0.00322628,0.0,0,1,3.5600871
5,9.86e-06,0.0,0.16209831,0.16209831,0,0,False,1,0.0,1.0,0.0,0.00606859,0.02766501,0.00174327,0.00160986,0.0,0,1,3.59730091
6,6.86e-06,0.0,0.16353777,0.16353777,0,0,False,1,0.0,1.0,0.0,0.00580314,0.02780699,0.00161594,0.00149554,0.0,0,1,3.63433288
7,3.7e-07,0.0,0.16354864,0.16354864,0,0,True,1,0.0,1.0,0.0,0.00600374,0.02717636,0.00178939,0.00163727,0.0,0,1,3.67108981
8,0.0,0.0,0.16354989,0.16354989,0,0,True,1,0.0,1.0,0.0,0.00617591,0.02707696,0.0016537,0.00153584,0.0,0,1,3.70767373
9,0.0,0.0,0.1635499,0.1635499,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.70959651
10,4.47e-06,0.0,0.1635499,0.1635499,0,0,True,1,0.0,1.0,0.0,0.00607059,0.02678153,0.00180274,0.0015973,0.0,0,1,3.74599056
11,1e-08,0.0,0.16360828,0.16360828,0,0,True,1,0.0,1.0,0.0,0.00615531,0.02795977,0.00175196,0.00161861,0.0,0,1,3.78361742
12,0.0,0.0,0.16360817,0.16360817,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.78551683
