i,residual,gamma_mean,gamma_root,n_limited,n_floored,frozen,n_lin_solves,lam,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,wall_cum_s
0,1.009e-05,0.11978826,0.11978826,0,0,False,1,1.0,0.0,0.08760703,0.0,0.03498719,0.00617113,0.00030594,0,0,2.73066264
1,0.00013476,0.11558938,0.11558938,0,0,False,1,1.0,0.0,0.06070423,0.0,0.03545534,0.00404173,0.00020243,0,0,2.83251662
2,1.774e-05,0.11578701,0.11578701,0,0,False,1,1.0,0.0,0.06501248,0.0,0.03633172,0.00419143,0.00021935,0,0,2.93852689
3,9.5e-07,0.11581264,0.11581264,0,0,False,1,1.0,0.0,0.08799015,0.0,0.03548997,0.00482859,0.00030622,0,0,3.06854676
4,8e-08,0.11581506,0.11581506,0,0,True,1,1.0,0.0,0.06639658,0.0,0.03609052,0.00320024,0.00021251,0,0,3.17468711
5,1e-08,0.11581528,0.11581528,0,0,True,1,1.0,0.0,0.06668231,0.0,0.0360084,0.00323774,0.00020193,0,0,3.2810635
6,0.0,0.1158153,0.1158153,0,0,True,1,1.0,0.0,0.0632772,0.0,0.03542093,0.00325315,0.00019412,0,0,3.38343018
7,0.0,0.1158153,0.1158153,0,0,True,0,,0.0,0.02109562,0.0,0.0,0.00209911,8.093e-05,0,0,3.40794078
0,2.917e-05,0.1158153,0.1158153,0,0,False,1,0.5,0.0,0.10906046,0.0,0.03726548,0.00805702,0.00035232,0,0,3.58934563
1,0.00030491,0.12466898,0.12466898,0,0,False,1,1.0,0.0,0.06158179,0.0,0.03703259,0.00418633,0.00020531,0,0,3.69259051
2,0.00050098,0.13631839,0.13631839,0,0,False,1,1.0,0.0,0.06199917,0.0,0.03648741,0.00421113,0.00020043,0,0,3.79576058
3,0.00014254,0.13844025,0.13844025,0,0,False,1,1.0,0.0,0.06210017,0.0,0.03684039,0.00426709,0.00019912,0,0,3.8994092
4,2.554e-05,0.13897033,0.13897033,0,0,False,1,1.0,0.0,0.06797237,0.0,0.03744196,0.00432595,0.00020741,0,0,4.00963695
5,4.46e-06,0.13910791,0.13910791,0,0,False,1,1.0,0.0,0.06276135,0.0,0.03689769,0.00438316,0.00020021,0,0,4.11414921
6,6.6e-07,0.13912933,0.13912933,0,0,False,1,1.0,0.0,0.08337709,0.0,0.03626868,0.0048032,0.00027638,0,0,4.24030507
7,8e-08,0.13913183,0.13913183,0,0,True,1,1.0,0.0,0.06223432,0.0,0.03588479,0.00311846,0.00019516,0,0,4.34196756
8,1e-08,0.13913211,0.13913211,0,0,True,1,1.0,0.0,0.06220247,0.0,0.03585253,0.00308044,0.00020254,0,0,4.44352663
9,0.0,0.13913215,0.13913215,0,0,True,1,1.0,0.0,0.06201647,0.0,0.03620938,0.00326752,0.0001924,0,0,4.54543619
10,0.0,0.13913215,0.13913215,0,0,True,1,1.0,0.0,0.06236866,0.0,0.03621639,0.0030558,0.00019199,0,0,4.64749371
11,0.0,0.13913215,0.13913215,0,0,True,0,,0.0,0.02109553,0.0,0.0,0.00205798,8.129e-05,0,0,4.67193736
0,4.273e-05,0.13913215,0.13913215,0,0,False,1,0.25,0.0,0.12951782,0.0,0.03792945,0.01014597,0.00046616,0,0,4.87687396
1,0.00034161,0.14945755,0.14945755,0,0,False,1,0.5,0.0,0.08418723,0.0,0.03805174,0.00629082,0.00027889,0,0,5.00601074
2,0.00125301,0.17097382,0.17097382,0,0,False,1,1.0,0.0,0.06314464,0.0,0.039291,0.00423233,0.00019762,0,0,5.11310407
3,0.00226935,0.20693229,0.20693229,13,26,False,1,1.0,0.0,0.06782094,0.0,0.03840807,0.00423108,0.00020109,0,0,5.224017
4,0.00187598,0.22692265,0.22692265,98,41,False,1,0.25,0.0,0.10796525,0.0,0.03786997,0.00843818,0.0003592,0,0,5.37908459
5,0.00178144,0.24040334,0.24040334,133,56,False,1,0.03125,0.0,0.14792267,0.0,0.03834255,0.01219454,0.00052207,0,0,5.57863006
6,0.00226072,0.24951007,0.24951007,138,50,False,1,0.03125,0.0,0.14847162,0.0,0.03799274,0.01211021,0.00053651,0,0,5.77826172
7,0.00253372,0.2416942,0.2416942,152,51,False,1,1.0,0.0,0.06227983,0.0,0.03809098,0.00417049,0.00020334,0,0,5.88323689
8,0.00649752,0.40194818,0.40194818,350,83,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.88324413
