i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
0,0.00044676,0.0,0.00093919,0.0004696,0.0004696,1,0,0,0,0,0.07865964,0.0,0.0266458,0.0,0.03432683,0.01750119,4.887e-05
1,0.00803624,0.1815183,0.06745104,0.03419512,0.03419512,1,0,0,0,0,0.14333448,0.0,0.02807562,0.0,0.03503363,0.0014943,4.642e-05
2,0.00214657,0.11152027,0.04503774,0.05671399,0.05671399,1,0,0,0,0,0.20270107,0.0,0.02412917,0.0,0.03360071,0.00156013,4.892e-05
3,0.00154627,0.11256926,0.03322973,0.07332886,0.07332886,1,0,0,0,0,0.26190635,0.0,0.02374286,0.0,0.03368086,0.00170702,4.823e-05
4,0.00130412,0.07128411,0.02411871,0.08538821,0.08538821,1,0,0,0,0,0.32315709,0.0,0.02526118,0.0,0.03440313,0.00150378,5.507e-05
5,0.00063484,0.0475227,0.01736285,0.09406964,0.09406964,1,0,0,0,0,0.38721637,0.0,0.02814701,0.0,0.03434522,0.00149486,4.702e-05
6,0.0004474,0.03944578,0.0127593,0.10044928,0.10044928,1,0,0,0,0,0.44639662,0.0,0.02356514,0.0,0.03393933,0.00158881,5.545e-05
7,0.00032317,0.03527344,0.00933667,0.10511762,0.10511762,1,0,0,0,0,0.50585909,0.0,0.02337772,0.0,0.03441705,0.00158662,5.042e-05
8,0.00023317,0.02945872,0.00682038,0.10852781,0.10852781,1,0,0,0,0,0.56889736,0.0,0.02620801,0.0,0.03506435,0.00166821,6.607e-05
9,0.00016826,0.0246871,0.00497687,0.11101624,0.11101624,1,0,0,0,0,0.63550147,0.0,0.03020702,0.0,0.03465076,0.00163712,7.214e-05
10,0.00012145,0.019693,0.00364618,0.11283933,0.11283933,1,0,0,0,0,0.70149775,0.0,0.02972272,0.0,0.03459971,0.00159122,5.28e-05
11,8.811e-05,0.01892426,0.00300793,0.1143433,0.1143433,1,0,0,0,0,0.76664412,0.0,0.02893782,0.0,0.0344873,0.0016325,5.668e-05
12,7.247e-05,0.01894101,0.00241282,0.11554971,0.11554971,1,0,0,0,0,0.83242838,0.0,0.02924225,0.0,0.03492243,0.00153984,5.158e-05
13,5.791e-05,0.01862288,0.00190773,0.11650357,0.11650357,1,0,0,0,0,0.89795687,0.0,0.02929529,0.0,0.03462367,0.00153027,5.115e-05
14,4.561e-05,0.01935184,0.00153251,0.11726982,0.11726982,1,0,0,0,0,0.96252738,0.0,0.02876742,0.0,0.03422621,0.00149998,4.964e-05
15,3.657e-05,0.02055724,0.00121706,0.11787835,0.11787835,1,0,0,0,0,1.02647439,0.0,0.02779308,0.0,0.0345648,0.00151408,4.805e-05
16,2.897e-05,0.02086832,0.00095303,0.11835487,0.11835487,1,0,0,0,0,1.08522808,0.0,0.0236885,0.0,0.0334485,0.00154335,4.657e-05
17,2.463e-05,0.02059009,0.00073231,0.11872102,0.11872102,1,0,0,0,0,1.14395801,0.0,0.02343999,0.0,0.03362895,0.00158562,4.797e-05
18,2.31e-05,0.01983389,0.00057106,0.11900655,0.11900655,1,0,0,0,0,1.20641081,0.0,0.02651723,0.0,0.03416868,0.00167182,6.112e-05
19,2.131e-05,0.01872422,0.00042897,0.11922103,0.11922103,1,0,0,0,0,1.2721089,0.0,0.02959081,0.0,0.03446153,0.00156367,5.178e-05
20,1.984e-05,0.01750413,0.00034386,0.11939297,0.11939297,1,0,0,0,0,1.33703311,0.0,0.0287081,0.0,0.03459493,0.00154362,5.003e-05
21,1.855e-05,0.01625974,0.0002617,0.11952382,0.11952382,1,0,0,0,0,1.40174757,0.0,0.02896016,0.0,0.03410983,0.00156319,5.283e-05
22,1.777e-05,0.01535547,0.00022369,0.11963566,0.11963566,1,0,0,0,0,1.46630905,0.0,0.02810528,0.0,0.03482394,0.00155041,5.264e-05
23,1.67e-05,0.01506338,0.00017718,0.11972425,0.11972425,1,0,0,0,0,1.53150619,0.0,0.02887161,0.0,0.03464529,0.00159805,5.487e-05
24,1.564e-05,0.01473726,0.00013025,0.11978937,0.11978937,1,0,0,0,0,1.59786837,0.0,0.02847224,0.0,0.03605227,0.0017113,8.736e-05
25,1.468e-05,0.01474812,9.795e-05,0.11983835,0.11983835,1,0,0,0,0,1.66477037,0.0,0.03017231,0.0,0.0350532,0.00159272,5.262e-05
26,1.507e-05,0.01468337,5.979e-05,0.11986824,0.11986824,1,0,0,0,0,1.72991614,0.0,0.02901598,0.0,0.03442748,0.00161979,5.28e-05
27,1.301e-05,0.01455942,4.238e-05,0.11988943,0.11988943,1,0,0,0,0,1.79479922,0.0,0.02906618,0.0,0.03410349,0.0016292,5.325e-05
28,1.308e-05,0.01425169,2.661e-05,0.11990274,0.11990274,1,0,0,0,0,1.86009061,0.0,0.02934036,0.0,0.03428483,0.00158727,5.085e-05
29,1.252e-05,0.01373564,5.55e-06,0.11990551,0.11990551,1,0,0,0,0,1.9250878,0.0,0.02873902,0.0,0.03459548,0.00158476,5.031e-05
30,1.23e-05,0.01307642,1.379e-05,0.11989862,0.11989862,1,0,0,0,0,1.98963859,0.0,0.02808524,0.0,0.03481289,0.00157433,4.995e-05
31,1.199e-05,0.01235364,2.363e-05,0.11988681,0.11988681,1,0,0,0,0,2.05391102,0.0,0.02867396,0.0,0.03395162,0.00156919,5.061e-05
32,1.177e-05,0.0116778,2.628e-05,0.11987367,0.11987367,1,0,0,0,0,2.11760111,0.0,0.02802993,0.0,0.0340204,0.00156346,4.954e-05
33,1.145e-05,0.01094569,2.719e-05,0.11986007,0.11986007,1,0,0,0,0,2.18361739,0.0,0.02886556,0.0,0.03528572,0.00175062,7.047e-05
34,1.104e-05,0.01020215,1.771e-05,0.11985122,0.11985122,1,0,0,0,0,2.24959678,0.0,0.02981476,0.0,0.03447178,0.00160807,5.321e-05
35,1.067e-05,0.00948287,1.338e-05,0.11984453,0.11984453,1,0,0,0,0,2.31438201,0.0,0.02897943,0.0,0.03412504,0.00158965,5.255e-05
36,1.034e-05,0.00924098,1.335e-05,0.11983785,0.11983785,1,0,0,0,0,2.37917723,0.0,0.02890401,0.0,0.03424797,0.00155987,5.682e-05
37,1.001e-05,0.0089938,2.549e-05,0.1198251,0.1198251,1,0,0,0,0,2.44327736,0.0,0.02796188,0.0,0.03452018,0.00154195,4.874e-05
38,9.67e-06,0.00867551,3.245e-05,0.11980888,0.11980888,1,0,0,0,0,2.50772069,0.0,0.02874134,0.0,0.03402899,0.00159573,4.909e-05
0,0.00019224,0.0,3.264e-05,0.11979256,0.11979256,1,0,0,0,0,2.57335002,0.0,0.02804602,0.0,0.03448161,0.00149883,5.184e-05
1,7.769e-05,0.02062523,0.00303682,0.12131097,0.12131097,1,0,0,0,0,2.63862227,0.0,0.02843113,0.0,0.03504809,0.00171537,4.987e-05
2,7.782e-05,0.01212508,0.00301974,0.12282084,0.12282084,1,0,0,0,0,2.70328518,0.0,0.02923073,0.0,0.03367029,0.00167582,5.612e-05
3,7.63e-05,0.01180037,0.00287946,0.12426057,0.12426057,1,0,0,0,0,2.76855396,0.0,0.02898298,0.0,0.0344895,0.00171929,4.968e-05
4,7.203e-05,0.01207866,0.00261009,0.12556561,0.12556561,1,0,0,0,0,2.83346367,0.0,0.02863275,0.0,0.03450377,0.00169435,5.146e-05
5,6.477e-05,0.01220861,0.00234265,0.12673694,0.12673694,1,0,0,0,0,2.8990522,0.0,0.0289964,0.0,0.03477054,0.00172979,6.172e-05
6,5.778e-05,0.01220922,0.00204996,0.12776192,0.12776192,1,0,0,0,0,2.9656544,0.0,0.03017668,0.0,0.03458696,0.00176078,4.972e-05
7,5.03e-05,0.01266681,0.00181309,0.12866846,0.12866846,1,0,0,0,0,3.03073831,0.0,0.02878804,0.0,0.03455516,0.00166122,5.188e-05
8,4.434e-05,0.01379615,0.00160455,0.12947074,0.12947074,1,0,0,0,0,3.09612136,0.0,0.0282969,0.0,0.03529444,0.00171072,4.958e-05
9,3.914e-05,0.01306896,0.00142412,0.1301828,0.1301828,1,0,0,0,0,3.16093265,0.0,0.02885049,0.0,0.03419347,0.00168974,4.99e-05
10,3.469e-05,0.01300946,0.00126239,0.13081399,0.13081399,1,0,0,0,0,3.22531241,0.0,0.0284634,0.0,0.03414752,0.00168628,5.556e-05
11,3.071e-05,0.01280888,0.00112013,0.13137406,0.13137406,1,0,0,0,0,3.29015668,0.0,0.02879657,0.0,0.03427005,0.00170268,4.863e-05
12,2.723e-05,0.01301918,0.00099883,0.13187347,0.13187347,1,0,0,0,0,3.35511305,0.0,0.02865138,0.0,0.03453366,0.00169422,5.04e-05
13,2.428e-05,0.01355815,0.00088984,0.13231839,0.13231839,1,0,0,0,0,3.41991997,0.0,0.02811409,0.0,0.03493262,0.00168518,4.877e-05
