level,z,gamma_cached,gamma_smooth_in,target_back_probe,target_back_control
coarse,-0.00000,0.096740,0.097474,0.097292,0.097135
coarse,0.01441,0.096453,0.094653,0.096815,0.096862
coarse,0.02883,0.091358,0.094657,0.092195,0.091770
coarse,0.04324,0.094338,0.095820,0.094928,0.094755
coarse,0.05765,0.100197,0.097280,0.100574,0.100617
coarse,0.07207,0.098831,0.098415,0.099159,0.099262
coarse,0.08648,0.098831,0.098755,0.099159,0.099262
coarse,0.10089,0.099523,0.098797,0.100027,0.099958
coarse,0.11531,0.095075,0.099371,0.095912,0.095531
coarse,0.12972,0.101968,0.100317,0.102276,0.102440
coarse,0.14413,0.103646,0.101066,0.103633,0.104144
coarse,0.15855,0.100568,0.101367,0.101315,0.101092
coarse,0.17296,0.100568,0.101079,0.101315,0.101092
coarse,0.18737,0.099043,0.100443,0.099848,0.099566
coarse,0.20179,0.100663,0.100087,0.101041,0.101194
coarse,0.21620,0.100663,0.099301,0.101041,0.101194
coarse,0.23061,0.096427,0.097163,0.097000,0.096946
coarse,0.24503,0.097809,0.094171,0.098755,0.098322
coarse,0.25944,0.088287,0.092169,0.089705,0.088784
coarse,0.27385,0.089478,0.091829,0.091098,0.089966
coarse,0.28827,0.091471,0.092200,0.092524,0.091945
coarse,0.30268,0.099337,0.092647,0.099572,0.099809
coarse,0.31709,0.091807,0.092832,0.092041,0.092270
coarse,0.33150,0.088361,0.092384,0.089317,0.088813
coarse,0.34592,0.092900,0.092069,0.093285,0.093335
coarse,0.36033,0.092900,0.092669,0.093285,0.093335
coarse,0.37474,0.094733,0.094065,0.094900,0.095148
coarse,0.38916,0.094733,0.094899,0.094900,0.095148
coarse,0.40357,0.092026,0.093841,0.091614,0.092415
coarse,0.41798,0.095980,0.090811,0.095657,0.096365
coarse,0.43240,0.088077,0.087221,0.088917,0.088452
coarse,0.44681,0.079258,0.084583,0.080998,0.079632
coarse,0.46122,0.081683,0.083628,0.083715,0.082054
coarse,0.47564,0.087046,0.084858,0.087615,0.087401
coarse,0.49005,0.088706,0.087453,0.088637,0.089034
coarse,0.50446,0.088706,0.089271,0.088637,0.089034
coarse,0.51888,0.090919,0.089486,0.090978,0.091242
coarse,0.53329,0.087773,0.088844,0.088099,0.088097
coarse,0.54770,0.087773,0.087638,0.088099,0.088097
coarse,0.56212,0.086436,0.086235,0.086673,0.086763
coarse,0.57653,0.086436,0.085568,0.086673,0.086763
coarse,0.59094,0.082065,0.085784,0.082552,0.082398
coarse,0.60536,0.086672,0.085931,0.086524,0.087011
coarse,0.61977,0.088498,0.085115,0.088335,0.088837
coarse,0.63418,0.084313,0.083316,0.084049,0.084653
coarse,0.64860,0.080338,0.081564,0.081437,0.080680
coarse,0.66301,0.076382,0.080546,0.077516,0.076728
