side,level,m_inf,tag,converged,accept_reason,n_newton,residual_norm,n_limited,n_floored,mach_max,gamma,cl_kj,froze,n_freeze_refresh,n_freeze_reverts,n_refactor,n_schur_fallback,n_lin_iters,n_lin_solves,wall_s
A,coarse,0.5,loose,True,tol,3,5.929479129918036e-12,0,0,1.1177568230737513,0.06314621615652354,0.12629243231304707,True,0,0,1,0,1,2,13.01330379396677
A,coarse,0.55,loose,True,loose_tol,3,4.459007815427185e-06,0,0,1.2603243013189347,0.06431961999212568,0.12863923998425136,False,0,0,1,0,6,2,1.3444429785013199
A,coarse,0.6000000000000001,loose,True,loose_tol,3,5.861319147391908e-05,0,0,1.4208047405148485,0.06573035163016464,0.13146070326032927,False,0,0,1,0,8,2,1.2838721200823784
A,coarse,0.6500000000000001,loose,True,loose_tol,3,7.680089020537656e-05,0,0,1.6009267318256053,0.06743220643443486,0.13486441286886972,False,0,0,1,0,7,2,1.2840397115796804
A,coarse,0.7000000000000002,loose,True,loose_tol,3,0.0001410967105748076,0,0,1.8277489263830204,0.06952404670654103,0.13904809341308205,False,0,0,1,0,7,2,1.303299592807889
A,coarse,0.7500000000000002,loose,True,loose_tol,3,8.288412582989346e-05,0,0,2.170761334487331,0.07217515219979673,0.14435030439959345,False,0,0,1,0,8,2,1.2926115412265062
A,coarse,0.8000000000000003,loose,True,assignment_cycle,14,4.923145224822179e-13,0,3,2.6198511068541546,0.07571706710302051,0.15143413420604102,True,1,0,3,0,58,12,6.5319785960018635
A,coarse,0.84,strict,False,,80,0.0006301618992561632,4,9,3.275593322293964,0.08017225137182545,0.1603445027436509,False,0,0,1,0,702,80,52.382585218176246
A,coarse,0.8200000000000001,strict,True,assignment_cycle,12,1.6619622345004359e-12,0,7,2.8646615827863084,0.07762520175225414,0.15525040350450828,True,1,0,3,0,38,10,5.8067187536507845
A,coarse,0.84,strict,False,,80,0.0006301619110920219,4,9,3.275593516761441,0.08017225464971461,0.16034450929942923,False,0,0,1,0,647,80,51.33891330845654
C,coarse,0.5,loose,True,loose_tol,2,2.475008793483913e-05,0,0,1.6974901424706708,0.0620766907497115,0.124153381499423,False,0,0,1,0,0,1,12.751711811870337
C,coarse,0.55,loose,True,loose_tol,3,0.0003284324652366166,0,0,2.001543189910209,0.06313309193643417,0.12626618387286834,False,0,0,1,0,5,2,1.3299383595585823
C,coarse,0.6000000000000001,loose,True,loose_tol,3,0.0003980602386119969,0,0,2.4194020317287013,0.06445364560168688,0.12890729120337377,False,0,0,1,0,9,2,1.3618239965289831
C,coarse,0.6500000000000001,loose,True,assignment_cycle,24,2.5921487178948155e-11,1,1,3.0869644220679855,0.06612921464489875,0.1322584292897975,True,1,0,3,0,91,22,10.242139311507344
C,coarse,0.7000000000000002,loose,True,assignment_cycle,15,4.843681011834633e-11,1,0,4.269740872153815,0.06808911165976353,0.13617822331952706,True,1,0,2,0,48,13,6.43326416797936
C,coarse,0.7500000000000002,loose,True,assignment_cycle,20,8.79172290524366e-11,3,2,8.283800287176062,0.07054543102970137,0.14109086205940274,True,1,0,3,0,54,18,8.257809204980731
C,coarse,0.8000000000000003,loose,True,assignment_cycle,22,2.575217816769282e-11,5,1,5.148676413510972,0.07378765601239382,0.14757531202478763,True,1,0,3,0,62,20,9.29473882727325
C,coarse,0.84,strict,True,assignment_cycle,54,6.939199215239e-11,6,1,14.288193580966574,0.07781047232517874,0.15562094465035747,True,1,0,4,0,295,52,35.12469926290214
A,medium,0.5,loose,True,assignment_cycle,8,9.511325060884701e-11,3,3,5.220137594611119,0.06420111067618291,0.12840222135236581,True,1,0,1,0,15,6,144.7431978303939
A,medium,0.55,loose,False,,80,1.1046719095020308e-13,8,3,13.099072163254997,0.06540135899595419,0.13080271799190837,False,0,0,2,0,454,80,454.8328533694148
A,medium,0.525,strict,False,,80,3.0976741021763315e-05,6,3,7.298637738660824,0.06477365134591695,0.1295473026918339,False,0,0,2,0,325,80,499.9052080307156
A,medium,0.5125,strict,False,,80,1.3500311979441904e-13,6,3,6.173512446769648,0.06448105129309221,0.12896210258618443,False,0,0,1,0,459,80,460.4115759637207
C,medium,0.5,loose,True,tol,6,5.859845941813546e-11,0,0,1.5600394502536785,0.06445041115388864,0.12890082230777727,True,0,0,1,0,8,5,140.16026317328215
C,medium,0.55,loose,True,loose_tol,3,0.00034978992633938333,0,0,1.702703551917037,0.06558617323817043,0.13117234647634085,False,0,0,1,0,7,2,20.887974325567484
C,medium,0.6000000000000001,loose,True,loose_tol,3,0.0004388704322053627,0,0,1.9127013053074375,0.06700305565634922,0.13400611131269843,False,0,0,1,0,10,2,22.592617232352495
C,medium,0.6500000000000001,loose,True,loose_tol,3,0.0005346938576167304,0,0,2.1510861596085955,0.06872307261525483,0.13744614523050966,False,0,0,1,0,10,2,22.455456105992198
C,medium,0.7000000000000002,loose,True,loose_tol,3,0.0006605160542463295,0,0,2.4110823202923544,0.07085424492562455,0.1417084898512491,False,0,0,1,0,9,2,22.695402532815933
