x,H_march,ds1_march,cf_march,theta_march
0.3000,2.62364200,0.00311956,0.00443884,0.00118902
0.3462,2.63245465,0.00338836,0.00408067,0.00128715
0.3923,2.63927490,0.00363674,0.00379765,0.00137793
0.4385,2.64473961,0.00386878,0.00356667,0.00146282
0.4846,2.64923510,0.00408734,0.00337347,0.00154284
0.5308,2.65301066,0.00429453,0.00320874,0.00161874
0.5769,2.65623500,0.00449197,0.00306611,0.00169110
0.6231,2.65902676,0.00468091,0.00294102,0.00176039
0.6692,2.66147207,0.00486238,0.00283015,0.00182695
0.7154,2.66363506,0.00503720,0.00273098,0.00189110
0.7615,2.66556459,0.00520604,0.00264160,0.00195307
0.8077,2.66729857,0.00536949,0.00256048,0.00201308
0.8538,2.66886693,0.00552803,0.00248642,0.00207130
0.9000,2.67029365,0.00568208,0.00241847,0.00212789
0.9462,2.67159816,0.00583201,0.00235581,0.00218297
0.9923,2.67279641,0.00597812,0.00229780,0.00223665
1.0385,2.67390161,0.00612069,0.00224388,0.00228905
1.0846,2.67492481,0.00625998,0.00219360,0.00234024
1.1308,2.67587535,0.00639619,0.00214656,0.00239032
1.1769,2.67676115,0.00652953,0.00210244,0.00243934
1.2231,2.67758898,0.00666016,0.00206093,0.00248737
1.2692,2.67836470,0.00678825,0.00202180,0.00253448
1.3154,2.67909335,0.00691394,0.00198481,0.00258070
1.3615,2.67977936,0.00703736,0.00194980,0.00262610
1.4077,2.68042658,0.00715863,0.00191657,0.00267071
1.4538,2.68103841,0.00727786,0.00188499,0.00271457
1.5000,2.68161784,0.00739515,0.00185493,0.00275772
1.5462,2.68216753,0.00751058,0.00182626,0.00280019
1.5923,2.68268986,0.00762425,0.00179889,0.00284202
1.6385,2.68318694,0.00773623,0.00177271,0.00288323
1.6846,2.68366067,0.00784660,0.00174765,0.00292384
1.7308,2.68411275,0.00795543,0.00172362,0.00296389
1.7769,2.68454473,0.00806277,0.00170056,0.00300340
1.8231,2.68495800,0.00816869,0.00167840,0.00304239
1.8692,2.68535382,0.00827324,0.00165709,0.00308087
1.9154,2.68573334,0.00837647,0.00163657,0.00311888
1.9615,2.68609762,0.00847844,0.00161680,0.00315641
2.0077,2.68644759,0.00857918,0.00159773,0.00319350
2.0538,2.68678416,0.00867874,0.00157931,0.00323016
2.1000,2.68710811,0.00877717,0.00156153,0.00326640
