mesh,x,H,ds1,cf,theta
50x8,0.3200,2.62767752,0.00323782,0.00427381,0.00123220
50x8,0.3600,2.63459111,0.00346357,0.00399063,0.00131465
50x8,0.4000,2.64017694,0.00367512,0.00375744,0.00139200
50x8,0.4400,2.64481766,0.00387483,0.00356106,0.00146506
50x8,0.4800,2.64873244,0.00406452,0.00339269,0.00153451
50x8,0.5200,2.65210010,0.00424554,0.00324625,0.00160082
50x8,0.5600,2.65502217,0.00441901,0.00311734,0.00166440
50x8,0.6000,2.65759825,0.00458578,0.00300273,0.00172553
50x8,0.6400,2.65987641,0.00474660,0.00289992,0.00178452
50x8,0.6800,2.66192291,0.00490203,0.00280706,0.00184154
50x8,0.7200,2.66375753,0.00505263,0.00272259,0.00189681
50x8,0.7600,2.66542985,0.00519875,0.00264536,0.00195044
50x8,0.8000,2.66694430,0.00534087,0.00257434,0.00200262
50x8,0.8400,2.66834200,0.00547918,0.00250880,0.00205340
50x8,0.8800,2.66961640,0.00561411,0.00244801,0.00210297
50x8,0.9200,2.67080562,0.00574574,0.00239148,0.00215131
50x8,0.9600,2.67189582,0.00587447,0.00233867,0.00219862
50x8,1.0000,2.67292159,0.00600031,0.00228925,0.00224485
50x8,1.0400,2.67386756,0.00612363,0.00224282,0.00229018
50x8,1.0800,2.67476244,0.00624438,0.00219914,0.00233455
50x8,1.1200,2.67559309,0.00636291,0.00215789,0.00237813
50x8,1.1600,2.67638129,0.00647914,0.00211891,0.00242086
50x8,1.2000,2.67711798,0.00659341,0.00208195,0.00246288
50x8,1.2400,2.67781867,0.00670558,0.00204690,0.00250412
50x8,1.2800,2.67847653,0.00681606,0.00201351,0.00254475
50x8,1.3200,2.67910525,0.00692451,0.00198178,0.00258464
50x8,1.3600,2.67969644,0.00703160,0.00195142,0.00262403
50x8,1.4000,2.68026406,0.00713666,0.00192252,0.00266267
50x8,1.4400,2.68079956,0.00724063,0.00189476,0.00270092
50x8,1.4800,2.68131431,0.00734263,0.00186829,0.00273844
50x8,1.5200,2.68180239,0.00744376,0.00184276,0.00277566
50x8,1.5600,2.68227167,0.00754288,0.00181841,0.00281212
50x8,1.6000,2.68271886,0.00764145,0.00179483,0.00284840
50x8,1.6400,2.68314833,0.00773793,0.00177234,0.00288390
50x8,1.6800,2.68356036,0.00783405,0.00175048,0.00291927
50x8,1.7200,2.68395473,0.00792817,0.00172959,0.00295391
50x8,1.7600,2.68433641,0.00802199,0.00170926,0.00298844
50x8,1.8000,2.68469867,0.00811386,0.00168981,0.00302226
50x8,1.8400,2.68505581,0.00820566,0.00167082,0.00305605
50x8,1.8800,2.68538686,0.00829528,0.00165268,0.00308905
50x8,1.9200,2.68572516,0.00838534,0.00163484,0.00312219
50x8,1.9600,2.68602498,0.00847266,0.00161792,0.00315435
50x8,2.0000,2.68635149,0.00856142,0.00160106,0.00318701
50x8,2.0400,2.68661689,0.00864615,0.00158531,0.00321823
50x8,2.0800,2.68693835,0.00873401,0.00156928,0.00325055
100x16,0.2600,2.61350185,0.00286512,0.00484140,0.00109628
100x16,0.2800,2.61891016,0.00299488,0.00462735,0.00114356
100x16,0.3000,2.62360210,0.00311906,0.00443958,0.00118885
100x16,0.3200,2.62772095,0.00323832,0.00427312,0.00123237
100x16,0.3400,2.63136964,0.00335321,0.00412419,0.00127432
100x16,0.3600,2.63463073,0.00346417,0.00398992,0.00131486
100x16,0.3800,2.63756462,0.00357158,0.00386804,0.00135412
100x16,0.4000,2.64022273,0.00367577,0.00375675,0.00139222
100x16,0.4200,2.64264286,0.00377700,0.00365460,0.00142925
100x16,0.4400,2.64485902,0.00387553,0.00356039,0.00146531
100x16,0.4600,2.64689595,0.00397155,0.00347315,0.00150046
100x16,0.4800,2.64877736,0.00406525,0.00339206,0.00153476
100x16,0.5000,2.65051992,0.00415679,0.00331642,0.00156829
100x16,0.5200,2.65214095,0.00424630,0.00324565,0.00160109
