re_theta,cf_FE,cf_march,rel_err,cf_powerlaw_recorded
161.44,0.00706732,0.00706672,0.000085,0.00703316
169.41,0.00694520,0.00694773,0.000364,0.00694896
177.77,0.00682989,0.00682914,0.000111,0.00686576
186.55,0.00672020,0.00672127,0.000159,0.00678356
195.75,0.00661526,0.00661559,0.000049,0.00670234
205.42,0.00651508,0.00651520,0.000018,0.00662210
215.56,0.00641832,0.00641878,0.000072,0.00654282
226.19,0.00632510,0.00632512,0.000004,0.00646448
237.36,0.00623480,0.00623443,0.000060,0.00638708
249.08,0.00614717,0.00614708,0.000014,0.00631061
261.37,0.00606200,0.00606197,0.000006,0.00623506
274.27,0.00597909,0.00597903,0.000011,0.00616041
287.81,0.00589825,0.00589816,0.000016,0.00608666
302.01,0.00581940,0.00581924,0.000028,0.00601378
316.92,0.00574238,0.00574214,0.000042,0.00594178
332.56,0.00566716,0.00566677,0.000069,0.00587064
348.98,0.00559365,0.00559327,0.000068,0.00580036
366.20,0.00552181,0.00552139,0.000076,0.00573091
384.28,0.00545159,0.00545100,0.000108,0.00566230
403.25,0.00538299,0.00538237,0.000116,0.00559451
423.15,0.00531591,0.00531512,0.000148,0.00552753
444.04,0.00525028,0.00524936,0.000176,0.00546135
465.95,0.00518602,0.00518493,0.000210,0.00539596
488.95,0.00512300,0.00512171,0.000251,0.00533136
513.09,0.00506112,0.00505959,0.000301,0.00526753
538.41,0.00500025,0.00499846,0.000359,0.00520446
564.99,0.00494032,0.00493823,0.000424,0.00514215
592.87,0.00488127,0.00487885,0.000497,0.00508059
622.14,0.00482308,0.00482027,0.000582,0.00501976
652.84,0.00476575,0.00476255,0.000673,0.00495966
