x,cf_FE,H_FE,theta_FE,cf_march,H_march,theta_march
0.2600,0.00733026,1.871765,0.00147048,0.00706672,1.844490,0.00161441
0.2800,0.00718981,1.857842,0.00154304,0.00706672,1.844490,0.00161441
0.3000,0.00706750,1.844442,0.00161430,0.00706672,1.844490,0.00161441
0.3200,0.00695910,1.831652,0.00168440,0.00696542,1.832107,0.00168387
0.3400,0.00686172,1.819492,0.00175349,0.00686413,1.819724,0.00175332
0.3600,0.00677328,1.807956,0.00182164,0.00677656,1.808320,0.00182132
0.3800,0.00669225,1.797018,0.00188896,0.00669510,1.797350,0.00188868
0.4000,0.00661747,1.786647,0.00195549,0.00661873,1.786864,0.00195538
0.4200,0.00654803,1.776806,0.00202130,0.00655052,1.777152,0.00202102
0.4400,0.00648323,1.767461,0.00208644,0.00648303,1.767522,0.00208655
0.4600,0.00642248,1.758577,0.00215096,0.00642435,1.758882,0.00215073
0.4800,0.00636532,1.750122,0.00221489,0.00636567,1.750242,0.00221491
0.5000,0.00631135,1.742066,0.00227826,0.00631255,1.742300,0.00227812
0.5200,0.00626024,1.734380,0.00234111,0.00626109,1.734567,0.00234104
0.5400,0.00621172,1.727039,0.00240346,0.00621225,1.727189,0.00240343
0.5600,0.00616553,1.720020,0.00246533,0.00616646,1.720225,0.00246523
0.5800,0.00612148,1.713300,0.00252676,0.00612137,1.713361,0.00252687
0.6000,0.00607938,1.706861,0.00258775,0.00608016,1.707052,0.00258767
0.6200,0.00603907,1.700683,0.00264834,0.00603895,1.700742,0.00264846
0.6400,0.00600041,1.694751,0.00270852,0.00600093,1.694908,0.00270849
0.6600,0.00596328,1.689048,0.00276833,0.00596350,1.689161,0.00276837
0.6800,0.00592757,1.683562,0.00282777,0.00592777,1.683675,0.00282782
0.7000,0.00589318,1.678278,0.00288687,0.00589350,1.678413,0.00288688
0.7200,0.00586002,1.673186,0.00294561,0.00585986,1.673248,0.00294576
0.7400,0.00582802,1.668272,0.00300405,0.00582830,1.668408,0.00300407
0.7600,0.00579710,1.663530,0.00306216,0.00579674,1.663567,0.00306237
0.7800,0.00576719,1.658945,0.00311997,0.00576734,1.659066,0.00312002
0.8000,0.00573825,1.654513,0.00317748,0.00573812,1.654594,0.00317763
0.8200,0.00571021,1.650222,0.00323471,0.00571016,1.650320,0.00323483
0.8400,0.00568302,1.646068,0.00329166,0.00568298,1.646171,0.00329178
0.8600,0.00565665,1.642039,0.00334835,0.00565636,1.642109,0.00334854
0.8800,0.00563104,1.638134,0.00340476,0.00563098,1.638244,0.00340489
0.9000,0.00560617,1.634341,0.00346094,0.00560561,1.634380,0.00346124
0.9200,0.00558199,1.630661,0.00351686,0.00558184,1.630768,0.00351701
0.9400,0.00555847,1.627081,0.00357256,0.00555807,1.627156,0.00357279
0.9600,0.00553558,1.623603,0.00362800,0.00553529,1.623701,0.00362820
0.9800,0.00551329,1.620216,0.00368324,0.00551295,1.620314,0.00368345
1.0000,0.00549158,1.616922,0.00373823,0.00549111,1.617005,0.00373851
1.0200,0.00547042,1.613711,0.00379303,0.00547006,1.613821,0.00379325
1.0400,0.00544978,1.610584,0.00384760,0.00544910,1.610650,0.00384796
1.0600,0.00542965,1.607534,0.00390199,0.00542921,1.607647,0.00390224
1.0800,0.00541000,1.604560,0.00395616,0.00540932,1.604644,0.00395651
1.1000,0.00539080,1.601656,0.00401016,0.00539024,1.601769,0.00401044
1.1200,0.00537205,1.598823,0.00406394,0.00537140,1.598931,0.00406427
