m,x,H
-0.05,0.4375,2.62295271
-0.05,0.4500,2.63256460
-0.05,0.4625,2.64168780
-0.05,0.4750,2.65036835
-0.05,0.4875,2.65864607
-0.05,0.5000,2.66655564
-0.05,0.5125,2.67412746
-0.05,0.5250,2.68138829
-0.05,0.5375,2.68836186
-0.05,0.5500,2.69506926
-0.05,0.5625,2.70152937
-0.05,0.5750,2.70775910
-0.05,0.5875,2.71377372
-0.05,0.6000,2.71958702
-0.05,0.6125,2.72521149
-0.05,0.6250,2.73065852
-0.05,0.6375,2.73593850
-0.05,0.6500,2.74106093
-0.05,0.6625,2.74603452
-0.05,0.6750,2.75086730
-0.05,0.6875,2.75556664
-0.05,0.7000,2.76013938
-0.05,0.7125,2.76459184
-0.05,0.7250,2.76892986
-0.05,0.7375,2.77315891
-0.05,0.7500,2.77728403
-0.05,0.7625,2.78130997
-0.05,0.7750,2.78524112
-0.05,0.7875,2.78908163
-0.05,0.8000,2.79283533
-0.05,0.8125,2.79650588
-0.05,0.8250,2.80009667
-0.05,0.8375,2.80361090
-0.05,0.8500,2.80705158
-0.05,0.8625,2.81042157
-0.05,0.8750,2.81372352
-0.05,0.8875,2.81696001
-0.05,0.9000,2.82013338
-0.05,0.9125,2.82324596
-0.05,0.9250,2.82629983
-0.05,0.9375,2.82929713
-0.05,0.9500,2.83223962
-0.05,0.9625,2.83512944
-0.05,0.9750,2.83796791
-0.05,0.9875,2.84075723
-0.05,1.0000,2.84349836
-0.05,1.0125,2.84619351
-0.05,1.0250,2.84884338
-0.05,1.0375,2.85145013
-0.05,1.0500,2.85401425
-0.05,1.0625,2.85653788
-0.05,1.0750,2.85902120
-0.05,1.0875,2.86146676
-0.05,1.1000,2.86387351
-0.05,1.1125,2.86624582
-0.05,1.1250,2.86857994
-0.05,1.1375,2.87088331
-0.05,1.1500,2.87314812
-0.05,1.1625,2.87538763
-0.05,1.1750,2.87758458
-0.05,1.1875,2.87976576
-0.05,1.2000,2.88189762
-0.05,1.2125,2.88402168
-0.05,1.2250,2.88609559
-0.05,1.2375,2.88816140
-0.05,1.2500,2.89018160
-0.05,1.2625,2.89219506
-0.05,1.2750,2.89415614
-0.05,1.2875,2.89613231
-0.05,1.3000,2.89802032
-0.05,1.3125,2.89998108
-0.05,1.3250,2.90177721
-0.05,1.3375,2.90374703
-0.05,1.3500,2.90542567
-0.05,1.3625,2.90745050
-0.0904,0.4375,2.64236273
-0.0904,0.4500,2.65782439
-0.0904,0.4625,2.67255015
-0.0904,0.4750,2.68661342
-0.0904,0.4875,2.70007671
-0.0904,0.5000,2.71299370
-0.0904,0.5125,2.72541086
-0.0904,0.5250,2.73736872
-0.0904,0.5375,2.74890285
-0.0904,0.5500,2.76004465
-0.0904,0.5625,2.77082200
-0.0904,0.5750,2.78125976
-0.0904,0.5875,2.79138023
-0.0904,0.6000,2.80120347
-0.0904,0.6125,2.81074761
-0.0904,0.6250,2.82002910
-0.0904,0.6375,2.82906292
-0.0904,0.6500,2.83786272
-0.0904,0.6625,2.84644103
-0.0904,0.6750,2.85480934
-0.0904,0.6875,2.86297823
-0.0904,0.7000,2.87095747
-0.0904,0.7125,2.87875610
-0.0904,0.7250,2.88638250
-0.0904,0.7375,2.89384447
-0.0904,0.7500,2.90114923
-0.0904,0.7625,2.90830357
-0.0904,0.7750,2.91531379
-0.0904,0.7875,2.92218582
-0.0904,0.8000,2.92892519
-0.0904,0.8125,2.93553711
-0.0904,0.8250,2.94202646
-0.0904,0.8375,2.94839787
-0.0904,0.8500,2.95465566
-0.0904,0.8625,2.96080395
-0.0904,0.8750,2.96684658
-0.0904,0.8875,2.97278728
-0.0904,0.9000,2.97862943
-0.0904,0.9125,2.98437644
-0.0904,0.9250,2.99003128
-0.0904,0.9375,2.99559714
-0.0904,0.9500,3.00107649
-0.0904,0.9625,3.00647259
-0.0904,0.9750,3.01178718
-0.0904,0.9875,3.01702374
-0.0904,1.0000,3.02218339
-0.0904,1.0125,3.02726970
-0.0904,1.0250,3.03228334
-0.0904,1.0375,3.03722790
-0.0904,1.0500,3.04210369
-0.0904,1.0625,3.04691431
-0.0904,1.0750,3.05165954
-0.0904,1.0875,3.05634386
-0.0904,1.1000,3.06096457
-0.0904,1.1125,3.06553007
-0.0904,1.1250,3.07003195
-0.0904,1.1375,3.07448522
-0.0904,1.1500,3.07887288
-0.0904,1.1625,3.08322244
-0.0904,1.1750,3.08749667
-0.0904,1.1875,3.09175230
-0.0904,1.2000,3.09591670
-0.0904,1.2125,3.10007911
-0.0904,1.2250,3.10414718
-0.0904,1.2375,3.10821182
-0.0904,1.2500,3.11219110
-0.0904,1.2625,3.11616925
-0.0904,1.2750,3.12004513
-0.0904,1.2875,3.12397007
-0.0904,1.3000,3.12770764
-0.0904,1.3125,3.13162880
-0.0904,1.3250,3.13518291
-0.0904,1.3375,3.13915235
-0.0904,1.3500,3.14247166
-0.0904,1.3625,3.14656908
