x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.002928,upper,1.069799e-04,5.575213e-05,+0.9188,3.840373e-03,1.046286e-02,-0.6330,4.928774e-03,-0.5289,pinned
0.009657,upper,1.316980e-04,8.770772e-05,+0.5016,4.360125e-03,7.649618e-03,-0.4300,3.224228e-03,-0.5785,pinned
0.017890,upper,1.540315e-04,1.218502e-04,+0.2641,4.194044e-03,5.363111e-03,-0.2180,2.600060e-03,-0.5152,pinned
0.026778,upper,1.678990e-04,1.544814e-04,+0.0869,4.154936e-03,4.024369e-03,+0.0324,2.443700e-03,-0.3928,le
0.036008,upper,1.952966e-04,1.846039e-04,+0.0579,3.543258e-03,3.212473e-03,+0.1030,2.053944e-03,-0.3606,le
0.045443,upper,2.209514e-04,2.112282e-04,+0.0460,3.082122e-03,2.735445e-03,+0.1267,1.784933e-03,-0.3475,le
0.055012,upper,2.027694e-04,2.112872e-04,-0.0403,5.554594e-03,3.865134e-03,+0.4371,3.229688e-03,-0.1644,banded
0.064676,upper,2.299309e-04,1.925441e-04,+0.1942,7.796906e-03,6.909488e-03,+0.1284,4.562499e-03,-0.3397,banded
0.074407,upper,2.778904e-04,2.173477e-04,+0.2786,6.989549e-03,7.834191e-03,-0.1078,4.112363e-03,-0.4751,banded
0.084190,upper,3.096583e-04,2.564727e-04,+0.2074,6.951824e-03,7.504492e-03,-0.0736,4.112455e-03,-0.4520,banded
0.094014,upper,3.463376e-04,2.970629e-04,+0.1659,6.829566e-03,7.090979e-03,-0.0369,4.065528e-03,-0.4267,banded
0.103869,upper,3.797885e-04,3.362940e-04,+0.1293,7.046389e-03,6.759601e-03,+0.0424,4.223164e-03,-0.3752,banded
0.113749,upper,4.132064e-04,3.742600e-04,+0.1041,6.813369e-03,6.503849e-03,+0.0476,4.111589e-03,-0.3678,banded
0.123651,upper,4.431843e-04,4.113369e-04,+0.0774,6.875059e-03,6.292647e-03,+0.0926,4.177879e-03,-0.3361,banded
0.133570,upper,4.770471e-04,4.478915e-04,+0.0651,6.770252e-03,6.111817e-03,+0.1077,4.143306e-03,-0.3221,banded
0.143503,upper,5.062506e-04,4.841614e-04,+0.0456,6.587971e-03,5.954762e-03,+0.1063,4.059077e-03,-0.3183,banded
0.153447,upper,5.428823e-04,5.206530e-04,+0.0427,6.355877e-03,5.814407e-03,+0.0931,3.941997e-03,-0.3220,banded
0.163402,upper,5.748460e-04,5.562921e-04,+0.0334,6.279188e-03,5.685130e-03,+0.1045,3.921421e-03,-0.3102,banded
0.173365,upper,5.900609e-04,5.922571e-04,-0.0037,6.293220e-03,5.565880e-03,+0.1307,3.959668e-03,-0.2886,banded
0.183335,upper,6.215060e-04,6.279171e-04,-0.0102,6.196255e-03,5.453934e-03,+0.1361,3.928411e-03,-0.2797,banded
0.193310,upper,6.370608e-04,6.633078e-04,-0.0396,6.113077e-03,5.348903e-03,+0.1429,3.906056e-03,-0.2697,banded
0.203291,upper,6.696952e-04,6.984844e-04,-0.0412,5.981531e-03,5.250150e-03,+0.1393,3.850441e-03,-0.2666,banded
0.213275,upper,6.794588e-04,7.345550e-04,-0.0750,5.898608e-03,5.157112e-03,+0.1438,3.820715e-03,-0.2591,banded
0.223263,upper,7.586806e-04,7.704237e-04,-0.0152,5.748798e-03,5.068324e-03,+0.1343,3.743697e-03,-0.2614,banded
0.233253,upper,7.969768e-04,8.061397e-04,-0.0114,5.572949e-03,4.983204e-03,+0.1183,3.646286e-03,-0.2683,banded
