iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,1.005957e-10,7.253476e-09,3.153842e-06,2.332968e-10,,,,,0.000000e+00,,0.14
1,5.164257e-08,7.079344e-09,3.150789e-06,2.332430e-10,1.000000e-06,0.000977,,,4.555650e-06,,4.38
2,3.674764e-07,6.919412e-09,3.104816e-06,2.305129e-10,3.333333e-07,0.015625,,51.0253,6.250244e-05,,6.78
3,9.481449e-07,6.609276e-09,3.225020e-06,2.164050e-10,1.111111e-07,0.062500,,5.3638,2.993181e-04,,9.09
4,9.453228e-07,6.620546e-09,3.212817e-06,2.160356e-10,3.703704e-08,0.003906,,0.0270,3.142405e-05,,14.62
5,9.518896e-07,6.537834e-09,3.170116e-06,2.116637e-10,1.234568e-08,0.015625,,11.9692,4.339539e-05,,20.80
6,1.015883e-06,6.491004e-09,3.154835e-06,2.102472e-10,4.115226e-09,0.007812,,0.3285,3.509044e-05,,26.85
7,1.020037e-06,6.477826e-09,3.148801e-06,2.098705e-10,1.371742e-09,0.001953,,0.2671,1.104922e-05,,31.36
8,1.045457e-06,6.465126e-09,3.144408e-06,2.094800e-10,4.572474e-10,0.001953,,1.0386,1.868867e-05,,35.19
9,1.140873e-06,6.414735e-09,3.131776e-06,2.081224e-10,1.524158e-10,0.007812,,3.4909,2.843735e-05,,40.38
10,1.595801e-06,6.214275e-09,3.070478e-06,2.043853e-10,5.080526e-11,0.031250,,2.7868,1.391938e-04,cap,42.85
