iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,2.550443e-04,7.253476e-09,1.711268e-04,1.038817e-06,,,,,0.000000e+00,,0.01
1,1.077171e-04,9.724266e-08,8.656876e-05,2.869601e-07,1.000000e-06,0.500000,,,5.146691e-02,,0.12
2,1.005350e-04,8.556779e-08,8.061984e-05,2.617610e-07,3.333333e-07,0.062500,0.1045,0.0714,1.307577e-02,,0.26
3,9.738152e-05,8.532630e-08,7.811254e-05,2.516665e-07,1.111111e-07,0.031250,0.4438,0.4279,6.245016e-03,,0.40
4,9.661925e-05,8.494868e-08,7.750417e-05,2.484322e-07,3.703704e-08,0.007812,0.2475,0.3289,3.030112e-03,,0.56
5,9.643032e-05,8.480849e-08,7.735264e-05,2.478784e-07,1.234568e-08,0.001953,0.2503,0.1725,5.516170e-04,,0.72
6,9.605370e-05,8.450021e-08,7.705026e-05,2.478506e-07,4.115226e-09,0.003906,2.0013,0.0503,1.394221e-03,,0.89
7,9.604783e-05,8.449551e-08,7.704553e-05,2.478460e-07,1.371742e-09,0.000061,0.0157,0.1643,4.882272e-05,,1.12
8,9.529877e-05,8.384110e-08,7.644184e-05,2.473870e-07,4.572474e-10,0.007812,128.2403,100.5381,2.505403e-03,,1.28
9,8.324398e-05,7.337680e-08,7.586411e-05,2.082574e-07,1.524158e-10,0.125000,0.9644,92.8849,8.054111e-03,,1.41
10,8.291888e-05,7.309052e-08,7.592872e-05,2.065417e-07,5.080526e-11,0.003906,,0.0480,6.793664e-04,cap,1.59
