k,mdot_max,cl,cd_p,ds_max,ds_change_rel,ds_neg_floored,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_node,inflow_n_pinned,inflow_q_ref
0,0.0,0.8770244952474979,0.005149986246276987,,,,,,,,,
1,0.01282649384001247,0.8890724269946095,0.006034440274872238,0.0030851140661086857,inf,0.0,100.0,False,1.4255955567239113e-06,103.0,10.0,1.1941277312736451
2,0.014546193952971787,0.8991467249866177,0.006989235647184795,0.0032302905494991075,0.07115356562225907,0.0,93.0,False,1.8698242522287713e-06,,,
3,0.02041546731250167,0.9007671522785905,0.007312870607580929,0.00325349293157988,0.05938982088312648,0.0,49.0,False,2.8275203681330085e-06,,,
4,0.023929279992437127,0.9080929246885454,0.00792739631210379,0.003320352817917579,0.09600842996543137,0.0,100.0,False,4.248427658183035e-06,,,
5,0.06466579021758952,0.9120988502912754,0.008853485253057992,0.004567922715154993,0.2731153688520938,2.0,100.0,False,3.885224643374302e-06,,,
6,0.18983766902941132,0.9197369391430258,0.00949266721310442,0.00596786092782225,0.4850076061360839,2.0,100.0,False,9.242325603055466e-06,,,
7,0.09430489757084418,0.9241776597235906,0.009846077710720554,0.004064520555794616,0.46828164500585956,14.0,100.0,False,1.2453246638511336e-05,,,
8,0.08863256093659005,0.9314901095861705,0.010347852373517819,0.00395429474461518,0.11328096031639585,20.0,100.0,False,1.2125396463188852e-05,,,
9,0.08823319081252903,0.9368472309514044,0.010713457635196103,0.004054845331559961,0.14243797435458863,21.0,100.0,False,2.1761902488350447e-05,,,
10,0.12593405085750164,0.9433334142662025,0.011101168834618497,0.004187408796885871,0.3211073037099059,36.0,100.0,False,1.6413758650594715e-05,,,
