side,x_c,cp_exp,cp_cfd,diff
upper,0.0016,0.0665,-0.08580748999299265,-0.15230748999299265
upper,0.0026,-0.1562,-0.11400301010775465,0.04219698989224535
upper,0.0036,-0.2782,-0.23254788995109962,0.04565211004890038
upper,0.0048,-0.4069,-0.44708123354597995,-0.040181233545979966
upper,0.006,-0.4995,-0.6616145771408604,-0.16211457714086036
upper,0.0073,-0.5985,-0.8650775184928736,-0.2665775184928736
upper,0.0087,-0.6438,-0.9127291532231511,-0.26892915322315103
upper,0.0104,-0.687,-0.9769076935498338,-0.2899076935498337
upper,0.0125,-0.7554,-1.07049058918496,-0.31509058918496013
upper,0.0146,-0.8145,-1.1640734848200862,-0.3495734848200862
upper,0.0188,-0.9178,-1.2330905680181166,-0.3152905680181166
upper,0.0271,-0.9037,-1.2894435517454492,-0.3857435517454493
upper,0.0375,-1.0183,-1.3127542448447487,-0.2944542448447487
upper,0.05,-0.9833,-1.2717489210491837,-0.28844892104918374
upper,0.0625,-0.8734,-1.2512957527881496,-0.3778957527881497
upper,0.075,-0.8169,-1.235218803939747,-0.41831880393974696
upper,0.1,-0.8737,-1.2454026495206478,-0.3717026495206478
upper,0.15,-0.9549,-1.296812017376673,-0.3419120173766731
upper,0.2,-0.9771,-1.264517587552805,-0.287417587552805
upper,0.2208,-0.9756,-1.2407040797831441,-0.2651040797831441
upper,0.25,-1.0017,-1.2114594624802828,-0.20975946248028277
upper,0.28,-1.0243,-1.2753690687237382,-0.25106906872373824
upper,0.3,-1.0258,-1.2773713375948308,-0.25157133759483075
upper,0.325,-1.0244,-1.3040538200441425,-0.2796538200441425
upper,0.35,-1.0312,-1.3018148690437938,-0.27061486904379395
upper,0.375,-1.0428,-1.2646698017355757,-0.2218698017355758
upper,0.4,-1.0586,-1.241280896640417,-0.18268089664041698
upper,0.425,-1.0836,-1.311318957347378,-0.22771895734737813
upper,0.45,-1.0911,-1.2795945074745887,-0.18849450747458874
upper,0.475,-1.1104,-1.2462290516121286,-0.13582905161212855
upper,0.5,-1.121,-1.2739926295066266,-0.15299262950662662
upper,0.525,-0.9107,-1.2795489323618061,-0.36884893236180616
upper,0.55,-0.6712,-1.2912311079081438,-0.6200311079081438
upper,0.575,-0.6095,-1.2430727874312106,-0.6335727874312106
upper,0.6,-0.571,-1.0612765533789754,-0.49027655337897547
upper,0.6196,-0.5436,-0.8421163644340738,-0.2985163644340738
upper,0.65,-0.4955,-0.2542560620033573,0.24124393799664268
upper,0.6771,-0.4441,-0.28441391085970064,0.15968608914029936
upper,0.7,-0.4051,-0.26395066218279495,0.14114933781720507
upper,0.75,-0.3143,-0.2825649166486203,0.0317350833513797
upper,0.775,-0.2702,-0.20564583786337934,0.06455416213662066
upper,0.8,-0.2251,-0.22778438147961846,-0.0026843814796184695
upper,0.825,-0.1731,-0.18536062383693297,-0.012260623836932966
upper,0.85,-0.1248,-0.14048200241888806,-0.015682002418888064
upper,0.875,-0.0779,-0.08776979325999607,-0.009869793259996068
upper,0.9,-0.0272,-0.045346330907999374,-0.018146330907999376
upper,0.925,0.0189,-0.018523670817930597,-0.0374236708179306
upper,0.95,0.0699,0.10128969696953267,0.03138969696953267
upper,0.975,0.115,0.10416572555040667,-0.01083427444959334
upper,0.9875,0.1372,0.20888484921075764,0.07168484921075766
upper,0.9938,0.1506,0.3531325739605677,0.20253257396056767
lower,0.0016,1.1298,1.06754524514006,-0.06225475485993992
lower,0.0026,1.1074,1.0938691705505308,-0.01353082944946915
lower,0.0036,1.0558,1.082972661921069,0.02717266192106882
lower,0.006,0.9331,1.0185371661978582,0.08543716619785813
lower,0.0073,0.8712,0.9940485824285006,0.12284858242850061
lower,0.0087,0.8213,1.005059766522186,0.18375976652218606
lower,0.0104,0.7646,0.9829305012669842,0.21833050126698428
lower,0.0125,0.7002,0.8929473110149095,0.1927473110149095
lower,0.0146,0.6439,0.802964120762835,0.15906412076283494
lower,0.0186,0.5619,0.7975304552729658,0.2356304552729659
lower,0.0271,0.4689,0.6493183427247445,0.18041834272474455
lower,0.0375,0.3487,0.5368702547420079,0.18817025474200788
lower,0.05,0.2603,0.42731421397562275,0.16701421397562277
lower,0.0625,0.1978,0.35255207735391314,0.15475207735391314
lower,0.075,0.146,0.3145694151361192,0.1685694151361192
lower,0.1,0.06,0.20682474521687255,0.14682474521687255
lower,0.15,-0.0482,0.08383864109188287,0.13203864109188287
lower,0.25,-0.211,-0.08337154089126896,0.12762845910873105
lower,0.3,-0.2863,-0.14692266886920632,0.13937733113079367
lower,0.325,-0.3259,-0.19775166280456646,0.12814833719543356
lower,0.35,-0.3528,-0.2099297811148794,0.1428702188851206
lower,0.375,-0.3747,-0.2512000256670951,0.12349997433290488
lower,0.4,-0.3725,-0.24840408164185931,0.12409591835814068
lower,0.425,-0.3481,-0.22453160539920208,0.12356839460079794
lower,0.45,-0.3146,-0.19689931454163853,0.11770068545836146
lower,0.475,-0.27,-0.1611432487797091,0.10885675122029093
lower,0.5,-0.2267,-0.12123009637054057,0.10546990362945945
lower,0.525,-0.1818,-0.08203613746531721,0.09976386253468278
lower,0.55,-0.1323,-0.037037879453411485,0.09526212054658852
lower,0.575,-0.0852,0.0060033687153733155,0.09120336871537331
lower,0.6,-0.0403,0.042144373850109995,0.08244437385011
lower,0.65,0.0346,0.11422807097584338,0.07962807097584337
lower,0.6771,0.0766,0.15287090320867094,0.07627090320867094
lower,0.7,0.1064,0.1785757072418438,0.0721757072418438
lower,0.75,0.167,0.2388839156654512,0.07188391566545119
lower,0.775,0.1926,0.2688307642458118,0.07623076424581182
lower,0.85,0.2571,0.3376787322339388,0.0805787322339388
lower,0.875,0.2737,0.3589030348851757,0.08520303488517572
lower,0.9,0.29,0.37661389528480405,0.08661389528480407
lower,0.925,0.296,0.3922907715348148,0.0962907715348148
lower,0.95,0.2942,0.3974028020457743,0.10320280204577426
lower,0.975,0.269,0.3950719585215098,0.12607195852150976
lower,0.9938,0.2188,0.3666154165979525,0.1478154165979525
