eta,side,x_over_c,cp
0.20,upper,0.00000,0.644137
0.20,upper,0.00108,0.598548
0.20,upper,0.00361,0.097334
0.20,upper,0.00624,0.146768
0.20,upper,0.00948,-0.478989
0.20,upper,0.01209,-0.538523
0.20,upper,0.01544,-0.723303
0.20,upper,0.01938,-0.719552
0.20,upper,0.02061,-0.866063
0.20,upper,0.02118,-0.573139
0.20,upper,0.02674,-0.614092
0.20,upper,0.03401,-0.773319
0.20,upper,0.04180,-0.767182
0.20,upper,0.05566,-0.745370
0.20,upper,0.06423,-0.754981
0.20,upper,0.06499,-0.723547
0.20,upper,0.07381,-0.648629
0.20,upper,0.08790,-0.549335
0.20,upper,0.09670,-0.553455
0.20,upper,0.10431,-0.543753
0.20,upper,0.11316,-0.531269
0.20,upper,0.12033,-0.516046
0.20,upper,0.12919,-0.530998
0.20,upper,0.14388,-0.513969
0.20,upper,0.15276,-0.513859
0.20,upper,0.15328,-0.514862
0.20,upper,0.16216,-0.501508
0.20,upper,0.17632,-0.497456
0.20,upper,0.18521,-0.502938
0.20,upper,0.19358,-0.501304
0.20,upper,0.20247,-0.500680
0.20,upper,0.20878,-0.503344
0.20,upper,0.21768,-0.505581
0.20,upper,0.23236,-0.501375
0.20,upper,0.24126,-0.501844
0.20,upper,0.24285,-0.502131
0.20,upper,0.25175,-0.498003
0.20,upper,0.26484,-0.514875
0.20,upper,0.27374,-0.514415
0.20,upper,0.28327,-0.522252
0.20,upper,0.29218,-0.517048
0.20,upper,0.29734,-0.528536
0.20,upper,0.30624,-0.530459
0.20,upper,0.32092,-0.538130
0.20,upper,0.32982,-0.534441
0.20,upper,0.33264,-0.543929
0.20,upper,0.34155,-0.541015
0.20,upper,0.35339,-0.561059
0.20,upper,0.36231,-0.559237
0.20,upper,0.37317,-0.574670
0.20,upper,0.38206,-0.572153
0.20,upper,0.38590,-0.584801
0.20,upper,0.39480,-0.580174
0.20,upper,0.40948,-0.579120
0.20,upper,0.41838,-0.582098
0.20,upper,0.42249,-0.596230
0.20,upper,0.43141,-0.596960
0.20,upper,0.44193,-0.596063
0.20,upper,0.45085,-0.600295
0.20,upper,0.46303,-0.604422
0.20,upper,0.47193,-0.605606
0.20,upper,0.47444,-0.601815
0.20,upper,0.48336,-0.601700
0.20,upper,0.49803,-0.608941
0.20,upper,0.50691,-0.608536
0.20,upper,0.51240,-0.610102
