i,wall_step,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,residual
0,0.557,0.000,0.020,0.349,0.179,0.005,0.000,0,1,2.936e-03
1,0.171,0.000,0.021,0.000,0.141,0.005,0.000,30,0,3.894e-05
2,0.156,0.000,0.022,0.000,0.125,0.005,0.000,27,0,2.241e-05
3,0.145,0.000,0.022,0.000,0.109,0.009,0.000,24,0,2.190e-05
4,0.149,0.000,0.021,0.000,0.113,0.010,0.000,25,0,1.121e-05
5,0.150,0.000,0.022,0.000,0.109,0.014,0.000,25,0,9.333e-06
6,0.148,0.000,0.022,0.000,0.111,0.006,0.000,25,0,7.000e-06
7,0.139,0.000,0.021,0.000,0.110,0.003,0.000,25,0,7.977e-09
8,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4.386e-14
9,0.139,0.000,0.020,0.000,0.111,0.003,0.000,25,0,2.198e-05
10,0.147,0.000,0.020,0.000,0.119,0.003,0.000,27,0,8.878e-08
11,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,0,6.865e-12
