i,wall_step,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,residual
0,15.622,0.000,0.152,10.495,4.928,0.023,0.000,0,1,1.919e-03
1,2.543,0.000,0.145,0.000,2.322,0.023,0.000,40,0,1.133e-04
2,2.482,0.000,0.145,0.000,2.261,0.023,0.000,39,0,4.548e-05
3,2.176,0.000,0.147,0.000,1.951,0.026,0.000,34,0,4.930e-05
4,2.465,0.000,0.151,0.000,2.211,0.050,0.000,38,0,4.539e-05
5,2.389,0.000,0.150,0.000,2.111,0.076,0.000,36,0,2.469e-05
6,2.424,0.000,0.139,0.000,2.205,0.015,0.000,38,0,1.852e-05
7,2.381,0.000,0.153,0.000,2.158,0.015,0.000,37,0,2.939e-08
8,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0,0,2.181e-12
9,2.424,0.000,0.137,0.000,2.219,0.015,0.000,38,0,4.552e-05
10,2.322,0.000,0.139,0.000,2.116,0.015,0.000,36,0,2.577e-07
11,2.309,0.000,0.137,0.000,2.105,0.015,0.000,36,0,2.073e-10
12,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0,0,6.840e-15
