node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
0,1.0,-8.381930402932109e-07,-3.3605571487444944e-08,-1.071158442106549e-06,3.4153933493985616e-08,-9.411365556398047e-10,-2.402904434402617e-22,1.071158442106549e-06
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.99010488583018,4.1131032865372014e-05,-1.8568936743016742e-05,0.00011417682160698022,-0.00014554958032662662,-3.663410087566799e-05,-2.241402821503875e-20,0.00014554958032662662
3,0.9802072087012746,-3.156724658514181e-05,1.0017751114888337e-05,-6.324313932787613e-05,-6.427107662329284e-06,1.97593692646808e-06,-6.053911644783293e-22,6.324313932787613e-05
4,0.9703070705110818,5.4637671528187255e-06,-2.5281563146094922e-05,-4.240773884976715e-06,-2.3078683234690258e-05,-2.4460814460176853e-07,2.464985749393968e-22,2.5281563146094922e-05
5,0.9604045410907524,-2.121156976474168e-06,4.472813684228395e-06,-3.434539672636109e-06,3.651677792923453e-06,2.504864794260083e-07,4.5582129257349456e-23,4.472813684228395e-06
6,0.9504996930532507,-1.754211523340103e-07,4.005689362248175e-07,-2.3636637080732865e-07,3.479783751581543e-07,-1.3201134606148248e-08,1.4237272609361127e-25,4.005689362248175e-07
7,0.9405925960792868,-4.018294383765643e-07,1.6617544548048269e-07,-6.09128085572306e-07,1.5841520449407191e-07,-7.786832544692473e-09,3.53536152160744e-24,6.09128085572306e-07
8,0.9306833170590191,-3.1082676733056595e-07,1.1888799124987355e-08,-4.7353074083407897e-07,3.2225069759969234e-08,2.1818429773565368e-09,3.685647998946017e-24,4.7353074083407897e-07
9,0.9207719152579859,-2.76700658314708e-07,2.4936456700119935e-08,-4.1600079574718623e-07,4.067548078398639e-08,-2.362280263955019e-09,2.898138975869107e-24,4.1600079574718623e-07
10,0.910858453323387,-2.538514795899123e-07,-5.253403628072767e-09,-3.886490929179715e-07,1.4874286853076497e-08,-1.120657681725473e-09,3.4146916756373605e-24,3.886490929179715e-07
11,0.9009429839263966,-2.400137286163477e-07,-4.278253969143068e-09,-3.7361194180168505e-07,1.4518709936922144e-08,-1.2439367865880472e-09,3.896107474512441e-24,3.7361194180168505e-07
12,0.8910255586008076,-2.193606956040643e-07,2.0240693496910317e-10,-3.4304519792214125e-07,1.7088811958333703e-08,-9.913846802839795e-10,4.166143244465657e-24,3.4304519792214125e-07
13,0.8811062309314138,-2.0204613227391808e-07,-1.3586815404211784e-09,-3.1938581555972537e-07,1.5654288450459098e-08,-8.592558152862081e-10,4.622234713076615e-24,3.1938581555972537e-07
14,0.8711850439771167,-1.909203139149816e-07,5.227407799687569e-11,-3.051218539774234e-07,1.5954293466177658e-08,-8.043860935089344e-10,5.180838562884503e-24,3.051218539774234e-07
