i,wall_step,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,residual
0,15.631,0.000,0.136,10.519,4.935,0.021,0.000,0,1,1.919e-03
1,2.520,0.000,0.137,0.000,2.310,0.020,0.000,40,0,1.133e-04
2,2.496,0.000,0.139,0.000,2.284,0.020,0.000,39,0,4.548e-05
3,2.152,0.000,0.136,0.000,1.943,0.020,0.000,34,0,4.930e-05
4,2.443,0.000,0.144,0.000,2.205,0.041,0.000,38,0,4.539e-05
5,2.362,0.000,0.136,0.000,2.112,0.061,0.000,36,0,2.469e-05
6,2.428,0.000,0.136,0.000,2.214,0.016,0.000,38,0,1.852e-05
7,2.355,0.000,0.135,0.000,2.153,0.014,0.000,37,0,2.939e-08
8,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0,0,2.181e-12
9,2.395,0.000,0.129,0.000,2.199,0.014,0.000,38,0,4.552e-05
10,2.304,0.000,0.129,0.000,2.108,0.014,0.000,36,0,2.577e-07
11,2.300,0.000,0.130,0.000,2.103,0.014,0.000,36,0,2.073e-10
12,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0,0,7.483e-15
