idx,sigma_rel_max,abs_align_over_Fnorm
0,1.0000000000000000e+00,1.39630058e-07
1,9.9999983045752772e-01,4.92111198e-07
2,9.9999979781331372e-01,4.14458694e-06
3,9.9999978570132453e-01,6.31520357e-08
4,9.9999978258211475e-01,1.28188051e-07
5,9.9999978251538169e-01,1.83244996e-04
6,9.9999978232455067e-01,3.79680858e-08
7,9.9999978232311382e-01,1.32525048e-07
8,9.9999978231982645e-01,4.95377300e-05
9,9.9999978231206910e-01,1.84126606e-04
10,9.9999978228815978e-01,3.42046556e-08
11,9.9999978228748942e-01,4.61530830e-05
12,9.9999978228226294e-01,2.90684488e-10
13,9.9999978228219077e-01,2.51710136e-11
14,9.9999978228218944e-01,4.52536648e-10
15,9.9999978228218167e-01,2.31033022e-10
16,9.9999978228217945e-01,1.08388852e-10
17,9.9999978228217790e-01,2.68118372e-10
18,9.9999978228217767e-01,7.25531526e-12
19,9.9999978228217745e-01,1.20281640e-18
20,9.9999978228217723e-01,1.89827805e-05
21,9.9999978228217723e-01,4.16616974e-18
22,9.9999978228217723e-01,6.80352689e-10
23,9.9999978228217701e-01,6.62771489e-05
24,9.9999978228217701e-01,1.56384215e-18
25,9.9999978228217701e-01,5.83718722e-19
26,9.9999978228217701e-01,6.92039247e-20
27,9.9999978228217701e-01,6.18635210e-20
28,9.9999978228217701e-01,1.34225060e-04
29,9.9999978228217701e-01,1.34225060e-04
30,9.9999978228217701e-01,1.96052335e-05
31,9.9999978228217701e-01,5.37617073e-06
32,9.9999978228217701e-01,7.07136515e-19
33,9.9999978228217701e-01,2.07572794e-06
34,9.9999978228217701e-01,4.26200621e-19
35,9.9999978228217701e-01,1.34225060e-04
36,9.9999978228217701e-01,1.34209009e-04
37,9.9999978228217701e-01,6.43625579e-18
38,9.9999978228217701e-01,3.20881194e-17
39,9.9999978228217679e-01,3.14294132e-06
40,9.9999978228217679e-01,3.59761934e-05
41,9.9999978228217679e-01,1.02714015e-04
42,9.9999978228217679e-01,2.22282768e-18
43,9.9999978228217679e-01,3.21319934e-19
44,9.9999978228217679e-01,1.46870908e-18
45,9.9999978228217679e-01,1.11661423e-18
46,9.9999978228217679e-01,1.72142373e-19
47,9.9999978228217679e-01,5.38895570e-19
48,9.9999978228217679e-01,3.44120486e-18
49,9.9999978228217679e-01,5.57734939e-18
50,9.9999978228217679e-01,1.60468780e-18
51,9.9999978228217679e-01,3.62771104e-05
52,9.9999978228217679e-01,3.48932003e-05
53,9.9999978228217679e-01,6.59124997e-05
54,9.9999978228217679e-01,9.47767980e-05
55,9.9999978228217679e-01,3.36429899e-19
56,9.9999978228217679e-01,6.66118600e-18
57,9.9999978228217679e-01,4.51070276e-12
58,9.9999978228217679e-01,2.49957438e-11
59,9.9999978228217656e-01,4.80968096e-06
60,9.9999978228217656e-01,1.42600496e-05
61,9.9999978228217656e-01,5.04453501e-05
62,9.9999978228217656e-01,5.85562813e-06
63,9.9999978228217656e-01,9.27396244e-19
64,9.9999978228217656e-01,1.85569296e-18
65,9.9999978228217656e-01,1.34216675e-05
66,9.9999978228217656e-01,6.16144714e-18
67,9.9999978228217656e-01,2.90531263e-19
68,9.9999978228217656e-01,1.17809224e-17
69,9.9999978228217656e-01,5.56368483e-05
70,9.9999978228217656e-01,4.68113061e-05
71,9.9999978228217656e-01,4.29110410e-05
72,9.9999978228217656e-01,5.28748558e-05
73,9.9999978228217656e-01,6.91113841e-13
74,9.9999978228217656e-01,1.66636962e-18
75,9.9999978228217656e-01,4.19700422e-05
76,9.9999978228217656e-01,1.17131686e-05
77,9.9999978228217656e-01,1.66823423e-05
78,9.9999978228217656e-01,2.70734299e-11
79,9.9999978228217656e-01,2.85163283e-11
80,9.9999978228217656e-01,1.55208285e-17
81,9.9999978228217656e-01,1.69344456e-18
82,9.9999978228217634e-01,4.35486272e-06
83,9.9999978228217634e-01,1.68044628e-05
84,9.9999978228217634e-01,8.10441682e-05
85,9.9999978228217634e-01,1.45396353e-18
86,9.9999978228217634e-01,1.12758950e-18
87,9.9999978228217634e-01,1.99740627e-18
88,9.9999978228217634e-01,1.79464165e-19
89,9.9999978228217634e-01,1.37454335e-18
90,9.9999978228217634e-01,8.48834169e-05
91,9.9999978228217634e-01,3.15122284e-18
92,9.9999978228217634e-01,6.20040434e-06
93,9.9999978228217634e-01,7.11404005e-06
94,9.9999978228217634e-01,4.92202417e-18
95,9.9999978228217634e-01,7.82243947e-19
96,9.9999978228217634e-01,5.55032157e-13
97,9.9999978228217634e-01,4.18824300e-17
98,9.9999978228217634e-01,7.89329869e-18
99,9.9999978228217612e-01,9.96523074e-05
100,9.9999978228217612e-01,3.03039355e-19
101,9.9999978228217612e-01,1.14325394e-18
102,9.9999978228217590e-01,4.49446098e-19
103,9.9999978228217590e-01,2.09586866e-19
104,9.9999978228217590e-01,1.12346616e-17
105,9.9999978228217590e-01,4.14245112e-18
106,9.9999978228217568e-01,8.76236276e-18
107,9.9999978228217568e-01,1.83255378e-06
108,1.9535180638648911e-02,1.47968302e-01
109,1.7917207081138729e-02,1.27258747e-02
110,1.7212206258480193e-02,1.21446846e-01
111,1.5872398104317106e-02,8.04040775e-03
112,1.5293936799975505e-02,1.57657872e-02
113,1.3975007176269299e-02,1.14675250e-01
114,1.3652248655768718e-02,7.44742644e-02
115,1.2633961642741593e-02,6.14851877e-02
116,1.1498927476621309e-02,7.54267250e-02
117,1.0652657029355517e-02,9.39351519e-02
118,1.0483059472567020e-02,1.22839247e-01
119,1.0228236082366235e-02,5.37557503e-02
120,9.9939156508279583e-03,1.04993301e-03
121,9.4782532418828756e-03,1.11824548e-01
122,9.1122281472260959e-03,1.15094661e-02
123,9.0361437606638149e-03,1.43845752e-01
124,8.5126628719745644e-03,1.35263915e-01
125,8.4158762178574396e-03,2.91919223e-02
126,8.3649892430780262e-03,1.72744819e-03
127,8.1588200346569741e-03,5.28084814e-02
128,8.1286926643137254e-03,1.88419712e-02
129,7.9861885997672168e-03,6.42852479e-02
130,7.9277924491543209e-03,2.12886191e-03
131,7.7932400467578085e-03,1.34522920e-03
132,7.7409978056806675e-03,8.69586428e-02
133,7.6165840213885732e-03,2.32195502e-03
134,7.4744888165137937e-03,9.93473972e-03
135,7.4676146508255783e-03,6.34397687e-02
136,7.3585708348029863e-03,6.64083695e-03
137,7.2240167901940688e-03,1.92894409e-02
138,7.2173765728687908e-03,1.40303316e-02
139,7.1116804307927318e-03,7.44180866e-03
140,7.0443999668345055e-03,1.69573181e-02
141,6.8755454614370911e-03,4.83726247e-03
142,6.8669593327682077e-03,1.29774637e-01
143,6.8392342813335706e-03,8.10437148e-03
144,6.7291237715517115e-03,4.74556879e-02
145,6.6611709364119880e-03,1.81860099e-03
146,6.6295576503653678e-03,3.51778713e-03
147,6.4642577005079756e-03,9.63271704e-04
148,6.4577772540493281e-03,1.74856743e-02
149,6.4321881289679823e-03,1.37354626e-03
150,6.3638164069195011e-03,8.23000475e-02
151,6.2832066131108975e-03,4.02008084e-03
152,6.2577721724627472e-03,1.15458950e-01
153,6.2505930190875341e-03,5.47327886e-04
154,6.2116789691686975e-03,1.12424312e-01
155,6.1151951360373415e-03,7.99399922e-03
156,6.0799416160745509e-03,2.69713089e-04
157,5.9626787543563247e-03,1.35387129e-02
158,5.9248965703282584e-03,9.64365580e-04
159,5.8541691469645380e-03,1.24927192e-02
160,5.8250000370165984e-03,2.24742320e-02
161,5.8129810638626496e-03,1.85365493e-02
162,5.7830036582984410e-03,4.01683254e-03
163,5.7828597145967485e-03,1.39019612e-02
164,5.7078035314078639e-03,3.06234754e-02
165,5.6963736782928457e-03,2.19569117e-02
166,5.6616939448811115e-03,1.09128538e-02
167,5.6434647059407754e-03,1.04540385e-02
168,5.6007547087059050e-03,2.78421622e-02
169,5.5770749823314467e-03,7.39810990e-03
170,5.5584704841237613e-03,1.66159375e-02
171,5.5305165515866228e-03,2.65574370e-03
172,5.4826179417478225e-03,1.81784598e-02
173,5.4502144167378154e-03,1.69808364e-03
174,5.4463574111972054e-03,1.59812334e-02
175,5.4082132366136916e-03,5.53963063e-03
176,5.3592052000191693e-03,1.08048761e-02
177,5.3284041178811694e-03,5.64747914e-03
178,5.3253769392615320e-03,1.49077521e-02
179,5.2918611741729548e-03,2.74763932e-03
180,5.2347177529968513e-03,5.87227003e-03
181,5.2226980452113776e-03,6.63912151e-02
182,5.2100119702344098e-03,2.70440806e-02
183,5.2015825293565418e-03,1.49284157e-02
184,5.1807193440864098e-03,2.13201321e-02
185,5.1129733554396723e-03,2.90599174e-03
186,5.1036605757111822e-03,4.15949932e-04
187,5.0801304107907222e-03,1.54452044e-02
188,5.0782047770471916e-03,1.44080142e-02
189,5.0012125601547304e-03,4.19000380e-03
190,4.9921703392091571e-03,5.16266946e-04
191,4.9819292032404648e-03,1.45409479e-02
192,4.9605948213280954e-03,1.70726812e-02
193,4.9220057461225051e-03,3.81577408e-02
194,4.8902219460081773e-03,3.17626739e-02
195,4.8898974141904075e-03,2.50827015e-02
196,4.8740667539243828e-03,1.01385838e-03
197,4.8448922990255048e-03,1.90271713e-02
198,4.8089220781533737e-03,2.95390474e-02
199,4.7959240045900913e-03,1.85655276e-03
200,4.7592390111863593e-03,9.90987877e-04
201,4.7325491353428150e-03,2.10836947e-02
202,4.7275207040291464e-03,2.86067847e-02
203,4.7007277948857840e-03,5.72605386e-04
204,4.6506749347406638e-03,6.55346945e-05
205,4.6434568830834482e-03,2.77797129e-02
206,4.6211563567164892e-03,2.29648237e-02
207,4.6065830928483618e-03,5.08748579e-03
208,4.5658954199038959e-03,5.95713141e-02
209,4.5558537491187066e-03,1.25343624e-03
210,4.5470854452814612e-03,1.94452382e-03
211,4.5111621653692010e-03,1.42007503e-02
212,4.5092461276400528e-03,2.67992204e-02
213,4.4702668850418901e-03,2.28722615e-02
214,4.4464472897609558e-03,5.01815740e-04
215,4.4191839469833443e-03,1.31164580e-02
216,4.4040891947448070e-03,3.15669025e-02
217,4.3831350682684810e-03,2.44651872e-02
218,4.3560671326859134e-03,2.35076239e-03
219,4.3282902202108767e-03,1.74301872e-02
220,4.3044050796303118e-03,3.45473385e-02
221,4.2955120704801812e-03,2.44025037e-02
222,4.2531326876534357e-03,1.58688911e-02
223,4.2390360846765243e-03,1.60675408e-02
224,4.2059017588106226e-03,1.86214135e-02
225,4.1954999882301176e-03,3.02944144e-02
226,4.1508620061028343e-03,2.19225384e-02
227,4.1440222292930340e-03,9.22511126e-03
228,4.1159909338969137e-03,1.83427087e-02
229,4.0901942821089891e-03,4.50910514e-02
230,4.0668865091869231e-03,9.53734684e-03
231,4.0486888198920257e-03,4.38999152e-02
232,4.0319977629726944e-03,9.77059171e-03
233,3.9984540281910019e-03,2.24113260e-02
234,3.9921443667767752e-03,3.66650024e-02
235,3.9730175845747407e-03,1.71332464e-02
236,3.9595105816739671e-03,4.98797999e-03
237,3.9255422007271187e-03,6.09853304e-03
238,3.9079326730983690e-03,4.36628843e-02
239,3.9006647024236495e-03,4.43822247e-02
