node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
0,1.000000,-1,turbulent,te_band,-1.130640e-06,-1.007365e-07,-1.527849e-06,-1.749314e-08,-3.528735e-09,8.304981e-24,1.527849e-06
1,0.000000,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.990105,1,turbulent,te_band,-1.250055e-06,-1.434033e-08,-1.709994e-06,1.463520e-07,-4.358116e-09,6.122839e-25,1.709994e-06
3,0.980207,1,turbulent,te_band,-1.114141e-06,7.826043e-08,-1.506148e-06,1.531952e-07,-4.814175e-09,3.286505e-25,1.506148e-06
4,0.970307,1,turbulent,te_band,-5.423646e-07,-4.448357e-08,-7.825625e-07,-2.269951e-08,-4.140468e-09,1.009260e-24,7.825625e-07
5,0.960405,1,turbulent,te_band,-3.580928e-07,-8.070278e-09,-5.077479e-07,2.487022e-08,-2.192971e-09,6.153543e-25,5.077479e-07
6,0.950500,1,turbulent,te_band,-3.699562e-07,-1.432419e-08,-5.474334e-07,2.019647e-08,-2.268003e-09,1.244932e-24,5.474334e-07
7,0.940593,1,turbulent,te_band,-3.777768e-07,-9.697866e-09,-5.633729e-07,2.390826e-08,-2.138170e-09,1.674597e-24,5.633729e-07
8,0.930683,1,turbulent,te_band,-3.439469e-07,-3.759885e-09,-5.183072e-07,2.671401e-08,-1.834928e-09,1.904726e-24,5.183072e-07
9,0.920772,1,turbulent,te_band,-3.113185e-07,-5.118675e-09,-4.765811e-07,2.198844e-08,-1.589945e-09,2.125613e-24,4.765811e-07
10,0.910858,1,turbulent,te_band,-2.858952e-07,-5.918082e-09,-4.433459e-07,1.809218e-08,-1.338801e-09,2.343622e-24,4.433459e-07
11,0.900943,1,turbulent,te_band,-2.631850e-07,-4.995561e-09,-4.127865e-07,1.761287e-08,-1.131474e-09,2.589546e-24,4.127865e-07
12,0.891026,1,turbulent,mid,-2.442180e-07,-4.283540e-09,-3.874519e-07,1.656172e-08,-9.548878e-10,2.868373e-24,3.874519e-07
13,0.881106,1,turbulent,mid,-2.249712e-07,-1.595862e-09,-3.607663e-07,1.888410e-08,-7.921942e-10,3.179833e-24,3.607663e-07
14,0.871185,1,turbulent,mid,-2.088596e-07,-7.744540e-10,-3.381631e-07,1.882315e-08,-6.547630e-10,3.530737e-24,3.381631e-07
15,0.861262,1,turbulent,mid,-1.971447e-07,-1.139514e-09,-3.222865e-07,1.707588e-08,-5.321892e-10,3.929983e-24,3.222865e-07
16,0.851337,1,turbulent,mid,-1.874282e-07,-9.196237e-10,-3.090384e-07,1.657995e-08,-4.260878e-10,4.384020e-24,3.090384e-07
17,0.841411,1,turbulent,mid,-1.783506e-07,-1.024578e-09,-2.964652e-07,1.564132e-08,-3.259766e-10,4.891966e-24,2.964652e-07
18,0.831483,1,turbulent,mid,-1.700839e-07,-5.179289e-10,-2.849984e-07,1.569729e-08,-2.356599e-10,5.462921e-24,2.849984e-07
19,0.821553,1,turbulent,mid,-1.627004e-07,-6.597715e-10,-2.746473e-07,1.485914e-08,-1.493697e-10,6.107677e-24,2.746473e-07
